...1,Unnamed..0,學校級別,代碼,School,City,鄉鎮市區.x,地址,電話,地區屬性,longitude,latitude,newLat,newLng,isInService_foodpanda,inServiceUber
2158,2158,國民小學,173605,市立八斗國小,基隆市,中正區,[202]基隆市中正區北寧路396巷52號,(02)24693391,NA,121.797204,25.138063,25.1380963,121.797648,1,1
2174,2174,國民小學,173621,市立中山國小,基隆市,中山區,[203]基隆市中山區通仁街28號,(02)24223053,NA,121.737746,25.145886,25.1459704,121.7359392,1,1
2163,2163,國民小學,173610,市立東光國小,基隆市,信義區,[201]基隆市信義區東信路236巷16號,(02)24650329,NA,121.763169,25.129009,25.1295476,121.7630173,1,1
2171,2171,國民小學,173618,市立武崙國小,基隆市,安樂區,[204]基隆市安樂區武崙街203號,(02)24310018,NA,121.707344,25.138812,25.1390547,121.7062418,1,1
2167,2167,國民小學,173614,市立南榮國小,基隆市,仁愛區,[200]基隆市仁愛區南榮路321號,(02)24223038,NA,121.743896,25.119363,25.1196,121.7435939,1,1
2182,2182,國民小學,173629,市立堵南國小,基隆市,七堵區,[206]基隆市七堵區大德路120號,(02)24511339,NA,121.692171,25.083247,25.083334,121.6920705,1,1
2316,2316,國民小學,203618,市立港坪國小,嘉義市,西區,[600]嘉義市四維路63號,(05)2369037,NA,120.424545,23.47935,23.4790693,120.4243752,1,1
2195,2195,國民小學,173642,市立暖西國小,基隆市,暖暖區,[205]基隆市暖暖區暖暖街350號,(02)24588583,NA,121.735197,25.093846,25.0945954,121.734898,1,1
2312,2312,國民小學,203614,市立蘭潭國小,嘉義市,東區,[600]嘉義市東區小雅路419號,(05)2763492,NA,120.47149,23.4753,23.4757094,120.4710064,1,1
1758,1758,國民小學,131601,私立崇華國小,屏東縣,長治鄉,[908]屏東縣長治鄉復興村新興路38號,(08)7626365,NA,120.243335,23.292587,22.6819902,120.5472718,1,1
247,247,國民小學,24633,縣立三民國小,宜蘭縣,礁溪鄉,[262]宜蘭縣礁溪鄉三民村十六結路100號,(03)9882271,NA,121.901517,25.065806,24.8130527,121.7599778,1,1
871,871,國民小學,74625,縣立三春國小,彰化縣,花壇鄉,[503]彰化縣花壇鄉三春村三芬路47號,(04)7862154,NA,120.874367,24.443921,24.0162969,120.5664046,1,1
884,884,國民小學,74638,縣立大同國小,彰化縣,伸港鄉,[509]彰化縣伸港鄉大同村彰新路七段724號,(04)7982307,NA,120.848562,24.337764,24.1600433,120.4919677,1,1
856,856,國民小學,74610,縣立大竹國小,彰化縣,彰化市,[500]彰化縣彰化市彰南路二段164巷41號,(04)7381436,NA,120.894032,24.624249,24.0837997,120.5804658,1,1
1831,1831,國民小學,134676,縣立大明國小,屏東縣,竹田鄉,[911]屏東縣竹田鄉泗洲村洲中路40號,(08)7887780,偏遠,120.348318,22.701362,22.5755662,120.524909,1,1
