,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,updateDate
0,Dream Home,k7i5,1,['歐美'],False,29.0,99.0,20.0,10.0,0.6601364356597113,195,2023-05-23 11:48:33.979633
1,Johnny Bro 強尼兄弟健康廚房 (台北東吳店),gxcs,2,"['便當', '健康餐']",False,29.0,99.0,30.0,5.0,3.4081540590088233,94,2023-05-23 11:48:33.979633
2,幸福食光義大利麵烘培坊,vb6c,2,"['歐美', '麵食']",False,29.0,99.0,25.0,10.0,2.7416956834136164,619,2023-05-23 11:48:33.979633
3,品紀咖哩、蛋包飯、烏龍日式專賣 (台北士林店),j3oz,2,"['咖哩', '日式']",False,29.0,99.0,20.0,10.0,0.867482327134538,1404,2023-05-23 11:48:33.979633
4,(極)黃燜雞米飯 (士林文林店),w7u5,2,['中式'],False,29.0,99.0,30.0,5.0,3.680339687286742,1397,2023-05-23 11:48:33.979633
5,孫東寶 (士林天母店),ybx3,3,"['台式', '牛排']",False,29.0,99.0,20.0,10.0,0.17013099283586783,460,2023-05-23 11:48:33.979633
6,巧味漢堡1號店,e2xy,1,"['早餐', '台式']",False,29.0,99.0,25.0,5.0,3.0236394913772373,10900,2023-05-23 11:48:33.979633
7,達美樂Domino's (天母北路店),ga03,3,"['披薩', '歐美']",False,30.0,199.0,30.0,25.0,0.36409218032078383,22,2023-05-23 11:48:33.979633
8,Louisa 路易莎 (台北芝山店),koeg,1,"['咖啡', '蛋糕', '歐美']",False,29.0,99.0,25.0,5.0,1.9821705328870174,781,2023-05-23 11:48:33.979633
9,老夫妻滷味,maqi,2,['小吃'],False,29.0,99.0,20.0,5.0,1.4656423448706302,68,2023-05-23 11:48:33.979633
10,義ㄇㄞㄇㄞ義大利麵,hw6a,2,"['歐美', '麵食']",False,29.0,99.0,20.0,5.0,1.1454587877700215,29,2023-05-23 11:48:33.979633
11,阿亮小吃店,arss,2,"['湯品', '麵食', '台式']",False,29.0,99.0,25.0,5.0,1.9415514530905797,66,2023-05-23 11:48:33.979633
12,IMOMENT CAFE,afrt,3,"['咖啡', '便當', '歐美', '麵食']",False,29.0,99.0,30.0,15.0,1.653712128440285,2,2023-05-23 11:48:33.979633
13,彈芽麵,sodz,2,"['麵食', '台式']",False,29.0,99.0,30.0,15.0,1.0755019026268307,279,2023-05-23 11:48:33.979633
14,食光機,d4fw,2,"['便當', '健康餐']",False,29.0,99.0,30.0,10.0,2.1545917956591643,3871,2023-05-23 11:48:33.979633
15,食來運轉,i0sh,1,"['便當', '台式']",False,29.0,99.0,30.0,10.0,3.387305109418749,6923,2023-05-23 11:48:33.979633
16,大邱大叔 밥짓는삼촌,x4rr,3,"['韓式', '炸雞']",False,29.0,99.0,25.0,10.0,1.67514560528717,843,2023-05-23 11:48:33.979633
17,MARCUS老倉庫 (台北士林店),atzp,3,"['咖啡', '歐美']",False,29.0,99.0,25.0,10.0,1.88808150404803,125,2023-05-23 11:48:33.979633
18,小倉庫食研所,kncb,3,['歐美'],False,29.0,99.0,25.0,10.0,2.6118202950148337,243,2023-05-23 11:48:33.979633
19,Miss X 秘食,x9id,2,"['咖啡', '歐美']",False,29.0,99.0,35.0,15.0,3.646812395059083,1032,2023-05-23 11:48:33.979633
