,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (彰化鹿港店),bf8t,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,25.0,5.0,3.3220792321756347,930
1,Pizza Hut必勝客 (彰化鹿港店),c5pa,2,"['披薩', '歐美']",True,19.0,79.0,30.0,10.0,3.1469213617451834,2428
2,少爺愛炒飯,f7uh,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,2.969700949953254,2622
3,有滋有味鹽水雞,xzop,2,['小吃'],False,19.0,79.0,25.0,5.0,3.1553705928993367,190
4,讚不絕口 (彰化鹿港店),hag9,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.331038066719452,102
5,南海茶道 (鹿港復興店),f1bj,1,['飲料'],False,19.0,79.0,25.0,5.0,3.374553402308945,3354
6,清心福全 (彰化鹿港店),djp0,1,['飲料'],False,19.0,79.0,25.0,5.0,3.0600871542146986,86
7,清心福全 (福興沿海店),xtt4,2,['飲料'],False,19.0,79.0,25.0,5.0,4.011675103767168,460
8,清心福全 (鹿港民權店),fbrs,1,['飲料'],False,19.0,79.0,25.0,5.0,3.3739821087826063,133
9,三形究藏,g64p,2,"['便當', '日式']",False,19.0,79.0,30.0,10.0,2.8788681156548077,782
10,浮水印牛排館 (彰化鹿港店),gyyn,2,"['歐美', '牛排']",False,19.0,79.0,25.0,5.0,3.395824333139332,588
11,麗卿陽春麵,bh57,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,3.217992693967193,880
12,麥當勞 (S222 鹿港中正店),r8pr,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.762702897621942,12115
13,一鳴義式餐廳,f8yf,2,['歐美'],False,19.0,79.0,25.0,10.0,2.962513687015735,2466
14,大埔鐵板燒 (彰化鹿港店),f7wi,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,3.444784159240585,1261
15,棟記豆漿,lnrg,2,['小吃'],False,19.0,79.0,25.0,5.0,2.6373441736985863,211
16,成功牛排 (彰化鹿港店),r2kr,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,2.9268761885824572,926
17,啼款雞鹹酥雞 (彰化鹿港店),lnp1,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.994991542186233,133
18,滿大碗 (彰化鹿港店),i8lo,2,['小吃'],False,19.0,79.0,25.0,5.0,3.302406568535376,1948
19,先喝道 (彰化鹿港店),o502,2,['飲料'],False,19.0,79.0,25.0,5.0,3.134746007541984,84
20,大苑子 (鹿港中山店),f0oj,2,['飲料'],False,19.0,79.0,25.0,5.0,3.239160977453959,1751
21,烏弄 (鹿港民權店),ku3y,2,['飲料'],False,19.0,79.0,25.0,5.0,2.973030638166756,256
22,鹿港港城豆花,q9bo,1,['甜點'],False,19.0,79.0,25.0,10.0,3.3145431510624497,1336
23,六扇門 (彰化鹿港店),vvxr,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.451265126901592,979
24,炸魂雞排 (鹿港民族店),f9iv,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,3.4213319896056764,1000
25,買辣麻辣燙 (彰化鹿港店),f4fe,2,['小吃'],False,19.0,79.0,25.0,10.0,3.328977836579931,792
26,可不可熟成紅茶 (鹿港鹿東店),tl0n,1,['飲料'],False,19.0,79.0,25.0,5.0,3.08998406925106,335
27,台北小籠包 (彰化鹿港店),f0at,2,"['中式', '湯品', '麵食']",False,19.0,79.0,25.0,5.0,3.4162681726506308,1186
28,迷客夏 Milksha (彰化鹿港店),x6gp,2,['飲料'],False,19.0,79.0,25.0,5.0,3.0631499633700248,1473
29,胖老爹美式炸雞 (彰化鹿港店),i9er,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.226116644853689,1160
30,江滬上海小籠湯包,as0q,2,['中式'],False,19.0,79.0,25.0,5.0,3.860123484645809,177
31,萬波島嶼紅茶 (鹿港復興店),icon,2,['飲料'],False,19.0,79.0,25.0,5.0,3.043351096737622,362
32,3鼎紅麻辣鴨血臭豆腐 (鹿港復興店),o33q,2,['小吃'],False,19.0,79.0,25.0,5.0,3.64851552252736,156
33,85度C (鹿港民族店),c7xc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,25.0,5.0,3.4153438969472685,1538
34,饌囍堂鹿港成功店小火鍋,s8rj,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.21910318603212,2116
35,擄滷胃,tngr,2,['小吃'],False,19.0,79.0,30.0,10.0,3.8061393325797925,353
36,鹿鼎紀三色湯圓,f8fq,1,['甜點'],False,19.0,79.0,25.0,5.0,3.184392417185528,1041
37,劉記原盅燉雞湯,r3yn,2,['台式'],False,19.0,79.0,25.0,5.0,3.152610993734535,456
38,爆Q美式炸雞 (彰化鹿港店),f4qe,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,10.0,3.3449213706244714,1808
39,魔王厚切傳統雞排(林森店),kcfz,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,15.0,2.7275355435495943,379
40,明仁二代目章魚燒 (彰化鹿港店),f3tg,1,['日式'],False,19.0,79.0,25.0,10.0,3.2629043918077776,952
41,爭鮮迴轉壽司 (鹿港店),x2rz,2,['日式'],False,19.0,79.0,25.0,5.0,2.921283609124214,1216
42,御品牛肉麵 (鹿港頂番店),qrot,2,"['麵食', '台式']",True,19.0,79.0,35.0,15.0,3.654634275013474,746
43,棟炸棟炸 炸饅頭炸物,n4ui,2,['台式'],False,19.0,79.0,25.0,10.0,2.6373441736985863,37
44,貢茶 (彰化鹿港店),iepn,2,['飲料'],False,19.0,79.0,25.0,5.0,3.372253688014623,568
