,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (彰化和美店),d4qf,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,3.241458081533785,2403
1,茶湯會 (彰化和美店),b1ka,2,['飲料'],True,15.0,79.0,20.0,5.0,3.309615642197838,3116
2,龜記茗品 (彰化和美店),ptmy,2,['飲料'],False,15.0,79.0,20.0,5.0,3.307228644602571,167
3,大苑子 (和美鹿和店),d0wy,2,['飲料'],False,15.0,79.0,20.0,5.0,2.798608355705484,1132
4,鶴茶樓 (彰化和美店)​,xiio,2,['飲料'],False,15.0,79.0,20.0,5.0,3.2673239654712893,603
5,饗道鷄排-彰化和美創始店,b0vs,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.2328862097170705,1833
6,御品牛肉麵 (鹿港頂番店),qrot,2,"['麵食', '台式']",True,19.0,79.0,25.0,15.0,0.018426374274330845,746
7,杰客雞炸食 (鹿港頂番店),zcrg,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.25974790925346686,57
8,麥當勞 (S259 彰化和美店),g3qa,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.18708156733094,9488
9,小松丼丼（和美總店）,e1cq,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.9038256537185956,1998
10,挑好茶 (彰化頂番店),he0e,2,['飲料'],False,19.0,79.0,15.0,5.0,0.28881178248838585,41
11,珍可口豆漿店,s23v,1,['小吃'],False,15.0,79.0,20.0,5.0,3.1799171201347685,990
12,85度C (鹿港鹿和店),s8oz,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.44546190368267446,512
13,砰砰雞 (彰化和美店),d1vr,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.4174481192451074,2816
14,胖老爹美式炸雞 (彰化和美店),e5jp,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,2.911848042288746,2898
15,大埔鐵板燒 (和美店),d9vt,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,3.0309734697468023,1713
16,滷嚼色,d2mw,2,['小吃'],False,19.0,79.0,20.0,5.0,2.733186459216217,1378
17,奎哥鍋燒意麵,f9zi,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.3385753361499782,1019
18,老客馥粥品專賣連鎖 (彰化和美店),d3jm,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,2.9862651285891517,1272
19,50嵐 (彰化和美店),e6kl,2,['飲料'],False,15.0,79.0,25.0,5.0,3.4233789448407075,1634
20,三十張燒烤 (彰化和美店),b7vz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.1349166511062645,2141
21,六扇門 (彰化和美店),k8ay,2,"['火鍋', '台式']",True,19.0,79.0,35.0,20.0,2.734729757092257,2103
22,三媽臭臭鍋 (和美仁安店),e7no,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.9890197797937375,2187
23,可不可熟成紅茶 (彰化和美店),uxwm,1,['飲料'],False,15.0,79.0,20.0,5.0,2.9096151100695056,1160
24,浮水印大眾牛排館,yoj5,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.258246754289125,314
25,漢林鐵板燒 (彰化和美店),d2xn,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.631206543490616,1226
26,萬波島嶼紅茶 (彰化和美店),nk12,2,['飲料'],False,15.0,79.0,20.0,5.0,2.8537494879707372,438
27,爭鮮迴轉壽司 (和美店),ms0u,2,['日式'],False,15.0,79.0,20.0,5.0,2.7492152402830214,432
28,派克雞排 (彰化和美店),d7kx,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.31095049482882,1923
29,和記麻辣食堂,dhi4,2,['台式'],False,19.0,79.0,20.0,10.0,1.6178729195988324,79
30,TEATOP 第一味 (和美鹿和店),ggbp,2,['飲料'],False,15.0,79.0,20.0,5.0,2.7868181387806383,112
31,Mini蘪秜廚房,d7nh,2,"['湯品', '台式']",False,19.0,79.0,35.0,20.0,2.8747917146548367,1333
32,川醉湘 (彰化和美店),fsvg,2,"['麵食', '小吃']",False,19.0,79.0,25.0,10.0,3.0616429600983026,17
33,大統爌肉飯 (台南擔仔麵),b5pp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.462570960446919,1543
34,明仁二代目章魚燒 (彰化和美店),e7lq,1,['日式'],False,15.0,79.0,20.0,5.0,3.224974335312347,762
35,柏陞鹽酥雞,d9wz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.7401777468367747,1004
36,圓稼嚼感飲品 (彰化和美店),oawn,2,['飲料'],False,19.0,79.0,20.0,5.0,3.339410396763155,1273
37,滷醬人滷味,pvm7,2,['小吃'],False,15.0,79.0,25.0,5.0,3.186415059356828,619
38,茉燒まやき,gwzj,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.36800756668635,473
39,迷客夏 Milksha (彰化和美店),wchc,2,['飲料'],False,15.0,79.0,20.0,5.0,3.208450866517829,271
40,滿大碗 (彰化和美店),jqlt,2,['小吃'],False,15.0,79.0,25.0,5.0,3.3302254069189914,95
41,尚珍滷味料理 (彰化和美店),d98e,2,['小吃'],False,19.0,79.0,25.0,10.0,2.7965390894995483,39
42,阿成火鍋,io0g,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.185898947859418,550
43,麻古茶坊 (彰化和美店),q4mf,2,['飲料'],False,15.0,79.0,25.0,5.0,3.4031062210758374,369
44,七屋,q3hi,1,['飲料'],False,19.0,79.0,15.0,5.0,0.4078272000844507,27
45,戰鬥雞-油雞/醉雞 輕食 (和美永樂店),t3o3,2,"['小吃', '健康餐']",False,15.0,79.0,20.0,5.0,3.265467336249038,112
46,和美尤鹽酥雞大王,d3ir,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.1629003706225713,589
47,多那之 (彰化和美店),f6pq,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,3.3002328536359977,347
48,御品牛肉麵 (鹿港頂番店),qrot,2,"['麵食', '台式']",True,19.0,79.0,25.0,15.0,0.018426374274330845,746
49,杰客雞炸食 (鹿港頂番店),zcrg,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.25974790925346686,57
50,麥當勞 (S259 彰化和美店),g3qa,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.18708156733094,9488
51,小松丼丼（和美總店）,e1cq,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.9038256537185956,1998
52,挑好茶 (彰化頂番店),he0e,2,['飲料'],False,19.0,79.0,15.0,5.0,0.28881178248838585,41
53,珍可口豆漿店,s23v,1,['小吃'],False,15.0,79.0,20.0,5.0,3.1799171201347685,990
54,85度C (鹿港鹿和店),s8oz,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.44546190368267446,512
55,砰砰雞 (彰化和美店),d1vr,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.4174481192451074,2816
56,肯德基KFC炸雞漢堡店 (彰化和美店),d4qf,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,3.241458081533785,2403
57,胖老爹美式炸雞 (彰化和美店),e5jp,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,2.911848042288746,2898
58,大埔鐵板燒 (和美店),d9vt,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,3.0309734697468023,1713
59,滷嚼色,d2mw,2,['小吃'],False,19.0,79.0,20.0,5.0,2.733186459216217,1378
60,奎哥鍋燒意麵,f9zi,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.3385753361499782,1019
61,老客馥粥品專賣連鎖 (彰化和美店),d3jm,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,2.9862651285891517,1272
62,50嵐 (彰化和美店),e6kl,2,['飲料'],False,15.0,79.0,25.0,5.0,3.4233789448407075,1634
63,三十張燒烤 (彰化和美店),b7vz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.1349166511062645,2141
64,六扇門 (彰化和美店),k8ay,2,"['火鍋', '台式']",True,19.0,79.0,35.0,20.0,2.734729757092257,2103
65,三媽臭臭鍋 (和美仁安店),e7no,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.9890197797937375,2187
66,可不可熟成紅茶 (彰化和美店),uxwm,1,['飲料'],False,15.0,79.0,20.0,5.0,2.9096151100695056,1160
67,浮水印大眾牛排館,yoj5,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.258246754289125,314
