,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (彰化和美店),d4qf,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.9837649530918822,2403
1,茶湯會 (彰化和美店),b1ka,2,['飲料'],True,15.0,79.0,20.0,5.0,2.8049947839721825,3116
2,龜記茗品 (彰化和美店),ptmy,2,['飲料'],False,15.0,79.0,20.0,5.0,2.748070378621826,167
3,大苑子 (和美鹿和店),d0wy,2,['飲料'],False,15.0,79.0,20.0,5.0,2.4323492216328613,1132
4,鶴茶樓 (彰化和美店)​,xiio,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6901090158773453,603
5,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,25.0,5.0,4.109668107444397,44
6,吳家紅茶冰 (彰化林森店),z6qz,1,['飲料'],False,19.0,79.0,20.0,5.0,3.0119888138748534,623
7,饗道鷄排-彰化和美創始店,b0vs,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.607791708192242,1833
8,品八方 (彰化金馬店),q7es,3,['港式'],False,19.0,79.0,25.0,5.0,3.524820484681083,12
9,員林南門四神湯 (彰化中正店),p7nr,2,"['湯品', '麵食', '台式']",True,19.0,79.0,25.0,5.0,3.8422424285204126,2012
10,鼎香無骨鹽酥雞,eq9k,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.84801027705368,395
11,不時不食清鍋物,rczj,3,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,2.994600270794113,419
12,联亭泡菜鍋 (彰化永安店),g5fz,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.123073155526215,1969
13,麥當勞 (S259 彰化和美店),g3qa,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,1.9972889733784496,9488
14,小松丼丼（和美總店）,e1cq,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.4893545174611673,1998
15,大埔鐵板燒 (和美店),d9vt,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.0331882376304478,1713
16,珍可口豆漿店,s23v,1,['小吃'],False,15.0,79.0,20.0,5.0,2.698918271339514,990
17,川牛木石亭 (彰化中華店),a8bh,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,3.2884791302511034,2578
18,三媽臭臭鍋 (和美仁安店),e7no,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.0870929583487787,2187
19,50嵐 (彰化和美店),e6kl,2,['飲料'],False,15.0,79.0,20.0,5.0,3.063699572063395,1634
20,胖老爹美式炸雞 (彰化和美店),e5jp,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,2.487928054102943,2898
21,砰砰雞 (彰化和美店),d1vr,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.0508395389571823,2816
22,21PLUS、21風味館 (彰化中正門市),mctj,3,"['歐美', '炸雞']",False,19.0,79.0,25.0,5.0,3.7676103009329767,260
23,老客馥粥品專賣連鎖 (彰化和美店),d3jm,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,2.5803850460201248,1272
24,三十張燒烤 (彰化和美店),b7vz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.6621237969888885,2141
25,滷嚼色,d2mw,2,['小吃'],False,19.0,79.0,20.0,5.0,2.5115133519269843,1378
26,可不可熟成紅茶 (彰化和美店),uxwm,1,['飲料'],False,15.0,79.0,20.0,5.0,2.375145417815252,1160
27,御品牛肉麵 (鹿港頂番店),qrot,2,"['麵食', '台式']",True,19.0,79.0,30.0,15.0,2.218028226917719,746
28,六扇門 (彰化和美店),k8ay,2,"['火鍋', '台式']",True,19.0,79.0,35.0,20.0,2.4697553713375897,2103
