,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,吉鮮火鍋,vuy6,3,"['火鍋', '台式']",False,19.0,79.0,40.0,30.0,1.790722358390608,9
1,麥當勞 (S427 彰化溪湖店),i5or,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.3165614877655734,10764
2,寶貝雞排,pva9,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.4954738825380009,197
3,50嵐 (溪湖員鹿店),yqj2,2,['飲料'],False,19.0,79.0,15.0,5.0,1.2375116805788686,173
4,炸魂專作雞排 (溪湖彰水店),f147,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.9029783329443617,770
5,周鮮魚湯.魯肉飯 (彰化溪湖店),u5ij,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,1.5501415465523152,1218
6,六九拉麵,n9by,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,2.007176952481221,1060
7,麻古茶坊 (彰化溪湖店),oi4l,2,['飲料'],False,19.0,79.0,15.0,5.0,1.8706898382914925,108
8,深海深美食 (彰化溪湖店),g3hh,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,2.0687962332093117,2352
9,食飯弁當,jexj,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,2.193289392234173,128
10,龍哥雞排 (溪湖店),i6gh,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.9069354324154284,1530
11,溪湖果菜市場宵夜炒麵,t5jo,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.3478861326752367,954
12,春日日本料理,i0be,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,1.1896172803640046,497
13,滷學工坊,n9ae,2,['小吃'],False,19.0,79.0,15.0,5.0,1.9372222883044963,1634
14,紅花炸雞 (彰化溪湖店),jzdr,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.7564041732066245,28
15,NU (彰化溪湖店),h4gg,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,1.9567859013478963,941
16,三顧茅廬 (彰化溪湖店),dk1o,2,['小吃'],False,19.0,79.0,20.0,10.0,1.9458195707710397,288
17,85度C (溪湖平和店),r0lp,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,1.876376959534302,1365
18,大苑子 (溪湖店),x6zf,2,['飲料'],False,19.0,79.0,15.0,5.0,1.9135620153475579,2566
19,海尚屋,zttk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.2795848035195885,1736
20,清原芋圓 (彰化溪湖店),m2oq,2,['甜點'],False,19.0,79.0,20.0,10.0,1.836816633206626,1552
21,九把刀麵食館,pwx1,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.6871220977911987,161
22,溪湖饗樂鐵板燒,bcz1,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.0270304384152755,1267
23,迷客夏 Milksha (彰化溪湖店),m9qi,2,['飲料'],False,19.0,79.0,20.0,5.0,2.2157794439385325,1825
24,滷鼎滷味,y141,2,['小吃'],False,19.0,79.0,15.0,5.0,1.980769651739402,511
25,幸福味 (彰化溪湖店),m1up,2,['飲料'],False,19.0,79.0,15.0,5.0,1.9633026838172545,1769
26,可不可熟成紅茶 (彰化溪湖店),j64u,1,['飲料'],False,19.0,79.0,20.0,5.0,2.147572095944602,1018
27,Pizza Hut必勝客 (彰化溪湖店),r2se,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.8397896623067957,1294
28,大碗公冰·甜品 (彰化溪湖店),v9rc,1,['甜點'],False,19.0,79.0,20.0,5.0,1.9452236681943558,907
29,來一客牛排館 (彰化溪湖店),j8gh,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,2.1992606399896286,653
30,食神滷味 (彰化溪湖店),aq9l,2,['小吃'],False,19.0,79.0,20.0,10.0,1.9623671989874805,441
31,藝鍋物 (彰化溪湖店),qbh9,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.5134519225422327,1541
32,爆Q美式炸雞 (彰化溪湖店),t8cg,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,2.7178540005043534,1537
33,麵線糊了 (彰化溪湖二店),dgs7,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.038951601231675,93
34,讚不絕口小火鍋 (溪湖旗艦店),u7ag,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,2.1495165346985052,1500
35,軍茶 (彰化溪湖店),z09m,2,['飲料'],False,19.0,79.0,15.0,5.0,1.8635771515957684,43
36,台北城牛排,lwqd,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,1.9510414126618665,757
37,一濠鵝肉飯,z4vx,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.173316816786674,369
38,食妍所 (彰化溪湖店),iswa,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,20.0,10.0,1.9210148199904153,10
39,嘴愛茶-日月潭18號紅玉,l5gi,2,['飲料'],False,19.0,79.0,20.0,5.0,2.3738408703718297,1926
40,盛香滷味,rim1,2,['小吃'],False,19.0,79.0,20.0,10.0,1.8415762079430915,208
41,吳家紅茶冰 (溪湖彰水店),t5rc,2,['飲料'],False,19.0,79.0,20.0,5.0,2.148050843835768,1316
42,牛皇帝冠品牛肉麵,mbro,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.2996663161457196,78
43,赤甲雞排 (彰化溪湖店),jv6z,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.616046691917362,69
44,神州窯烤,q9ak,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.2299800330537454,1328
