,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (彰化鹿港店),bf8t,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,1.3530781486192898,930
1,Pizza Hut必勝客 (彰化鹿港店),c5pa,2,"['披薩', '歐美']",True,19.0,79.0,25.0,10.0,1.3517181228561375,2428
2,少爺愛炒飯,f7uh,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,1.5234328009327862,2622
3,有滋有味鹽水雞,xzop,2,['小吃'],False,19.0,79.0,20.0,5.0,1.3733475052416906,190
4,讚不絕口 (彰化鹿港店),hag9,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.16489856672541,102
5,南海茶道 (鹿港復興店),f1bj,1,['飲料'],False,19.0,79.0,20.0,5.0,1.12028662295013,3354
6,清心福全 (彰化鹿港店),djp0,1,['飲料'],False,19.0,79.0,20.0,5.0,1.4327031691258576,86
7,清心福全 (福興沿海店),xtt4,2,['飲料'],False,19.0,79.0,20.0,5.0,0.9285232709527373,460
8,清心福全 (鹿港民權店),fbrs,1,['飲料'],False,19.0,79.0,20.0,5.0,1.3378488029283842,133
9,三形究藏,g64p,2,"['便當', '日式']",False,19.0,79.0,25.0,10.0,1.6872050468841129,782
10,浮水印牛排館 (彰化鹿港店),gyyn,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,1.3436871940870632,588
11,麗卿陽春麵,bh57,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,1.3079768579996653,880
12,大埔鐵板燒 (彰化鹿港店),f7wi,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,1.0491246017000075,1261
13,麥當勞 (S222 鹿港中正店),r8pr,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,1.7381246096385436,12115
14,擄滷胃,tngr,2,['小吃'],False,19.0,79.0,20.0,10.0,0.7732184810688002,353
15,江滬上海小籠湯包,as0q,2,['中式'],False,19.0,79.0,20.0,5.0,0.6475411927397868,177
16,滿大碗 (彰化鹿港店),i8lo,2,['小吃'],False,19.0,79.0,20.0,5.0,1.1947493831835736,1948
17,一鳴義式餐廳,f8yf,2,['歐美'],False,19.0,79.0,20.0,10.0,1.5354665402786196,2466
18,炸魂雞排 (鹿港民族店),f9iv,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.170261108776705,1000
19,財記筒仔米糕,c72h,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,0.8302853762475624,407
20,3鼎紅麻辣鴨血臭豆腐 (鹿港復興店),o33q,2,['小吃'],False,19.0,79.0,20.0,5.0,0.8465446671940606,156
21,六扇門 (彰化鹿港店),vvxr,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,1.0729171202072554,979
22,啼款雞鹹酥雞 (彰化鹿港店),lnp1,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.5309523761382164,133
23,鮮雞排,i5my,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,0.9139345228866922,714
24,成功牛排 (彰化鹿港店),r2kr,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,1.5823029729713827,926
