,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,吉鮮火鍋,vuy6,3,"['火鍋', '台式']",False,19.0,79.0,35.0,30.0,1.0406799825115483,9
1,麥當勞 (S427 彰化溪湖店),i5or,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.7988887697179411,10764
2,炸魂專作雞排 (溪湖彰水店),f147,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6107414138377418,770
3,食飯弁當,jexj,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.5622782407206378,128
4,龍哥雞排 (溪湖店),i6gh,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.5037774018069163,1530
5,深海深美食 (彰化溪湖店),g3hh,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.3656260205956645,2352
6,六九拉麵,n9by,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.5858551805936116,1060
7,麻古茶坊 (彰化溪湖店),oi4l,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6203130461518853,108
8,50嵐 (溪湖員鹿店),yqj2,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8523985381790989,173
9,海尚屋,zttk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.6258877337445796,1736
10,周鮮魚湯.魯肉飯 (彰化溪湖店),u5ij,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,0.6838234583466947,1218
11,三顧茅廬 (彰化溪湖店),dk1o,2,['小吃'],False,19.0,79.0,15.0,10.0,0.49625481586325026,288
12,迷客夏 Milksha (彰化溪湖店),m9qi,2,['飲料'],False,19.0,79.0,15.0,5.0,0.47708314564487736,1825
13,可不可熟成紅茶 (彰化溪湖店),j64u,1,['飲料'],False,19.0,79.0,15.0,5.0,0.34364143429694666,1018
14,溪湖饗樂鐵板燒,bcz1,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.6018338538171275,1267
15,來一客牛排館 (彰化溪湖店),j8gh,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.38611454973534265,653
16,大碗公冰·甜品 (彰化溪湖店),v9rc,1,['甜點'],False,19.0,79.0,15.0,5.0,0.22765649566358892,907
17,藝鍋物 (彰化溪湖店),qbh9,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.7643374059987796,1541
18,NU (彰化溪湖店),h4gg,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.5476849867876779,941
19,滷學工坊,n9ae,2,['小吃'],False,19.0,79.0,15.0,5.0,0.635669743513993,1634
20,大苑子 (溪湖店),x6zf,2,['飲料'],False,19.0,79.0,15.0,5.0,0.5369710452597739,2566
21,清原芋圓 (彰化溪湖店),m2oq,2,['甜點'],False,19.0,79.0,15.0,10.0,0.7858267633830004,1552
22,食神滷味 (彰化溪湖店),aq9l,2,['小吃'],False,19.0,79.0,15.0,10.0,0.49784773728634635,441
23,紅花炸雞 (彰化溪湖店),jzdr,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.625138467427021,28
24,溪湖果菜市場宵夜炒麵,t5jo,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7316253198536145,954
25,滷鼎滷味,y141,2,['小吃'],False,19.0,79.0,15.0,5.0,0.4430549765818809,511
26,幸福味 (彰化溪湖店),m1up,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4520314258173544,1769
27,台北城牛排,lwqd,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.1743267995032397,757
28,85度C (溪湖平和店),r0lp,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.9572826131453056,1365
29,麵線糊了 (彰化溪湖二店),dgs7,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.6216286559354196,93
30,爆Q美式炸雞 (彰化溪湖店),t8cg,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,1.1176803405168505,1537
31,讚不絕口小火鍋 (溪湖旗艦店),u7ag,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.8466893916775478,1500
32,吳家紅茶冰 (溪湖彰水店),t5rc,2,['飲料'],False,19.0,79.0,15.0,5.0,0.3595898849398818,1316
33,春日日本料理,i0be,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,0.7985886205271523,497
34,Pizza Hut必勝客 (彰化溪湖店),r2se,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.7886030116126694,1294
35,一濠鵝肉飯,z4vx,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.7704719885913642,369
36,九把刀麵食館,pwx1,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.0280525969997747,161
37,牛皇帝冠品牛肉麵,mbro,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.5681784918339621,78
38,盛香滷味,rim1,2,['小吃'],False,19.0,79.0,15.0,10.0,0.4667780313521444,208
39,軍茶 (彰化溪湖店),z09m,2,['飲料'],False,19.0,79.0,15.0,5.0,0.684352611799513,43
40,食妍所 (彰化溪湖店),iswa,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,20.0,10.0,0.38254234883016525,10
41,街頭G吧鹽水雞,u7tw,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6593939663219012,670
42,神州窯烤,q9ak,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.7129487634080116,1328
43,台北魷魚焿,a3v3,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.6563621739130918,186
44,嘴愛茶-日月潭18號紅玉,l5gi,2,['飲料'],False,19.0,79.0,15.0,5.0,1.403668910317774,1926
45,赤甲雞排 (彰化溪湖店),jv6z,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6093096956371218,69
46,開心點鹽酥雞,hbt8,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.3629293209333475,7
47,寶貝雞排,pva9,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.2737321470048757,197
48,麥當勞 (S427 彰化溪湖店),i5or,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.7988887697179411,10764
49,炸魂專作雞排 (溪湖彰水店),f147,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6107414138377418,770
50,食飯弁當,jexj,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.5622782407206378,128
51,龍哥雞排 (溪湖店),i6gh,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.5037774018069163,1530
52,深海深美食 (彰化溪湖店),g3hh,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.3656260205956645,2352
53,六九拉麵,n9by,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.5858551805936116,1060
54,麻古茶坊 (彰化溪湖店),oi4l,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6203130461518853,108
55,50嵐 (溪湖員鹿店),yqj2,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8523985381790989,173
56,海尚屋,zttk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.6258877337445796,1736
57,周鮮魚湯.魯肉飯 (彰化溪湖店),u5ij,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,0.6838234583466947,1218
58,三顧茅廬 (彰化溪湖店),dk1o,2,['小吃'],False,19.0,79.0,15.0,10.0,0.49625481586325026,288
59,迷客夏 Milksha (彰化溪湖店),m9qi,2,['飲料'],False,19.0,79.0,15.0,5.0,0.47708314564487736,1825
60,可不可熟成紅茶 (彰化溪湖店),j64u,1,['飲料'],False,19.0,79.0,15.0,5.0,0.34364143429694666,1018
61,溪湖饗樂鐵板燒,bcz1,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.6018338538171275,1267
62,來一客牛排館 (彰化溪湖店),j8gh,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.38611454973534265,653
63,大碗公冰·甜品 (彰化溪湖店),v9rc,1,['甜點'],False,19.0,79.0,15.0,5.0,0.22765649566358892,907
64,藝鍋物 (彰化溪湖店),qbh9,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.7643374059987796,1541
