,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,寶貝雞排,pva9,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.6509449887442929,197
1,麥當勞 (S427 彰化溪湖店),i5or,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.2582577043922964,10764
2,圓稼嚼感飲品 (彰化埔心店),fxkr,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6097369584418817,317
3,50嵐 (溪湖員鹿店),yqj2,2,['飲料'],False,19.0,79.0,20.0,5.0,3.1777298092904296,173
4,周鮮魚湯.魯肉飯 (彰化溪湖店),u5ij,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.492552857990371,1218
5,麻古茶坊 (彰化溪湖店),oi4l,2,['飲料'],False,19.0,79.0,20.0,5.0,3.8188918315427514,108
6,六九拉麵,n9by,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.9699911425128414,1060
7,龍哥雞排 (溪湖店),i6gh,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.880690109099983,1530
8,大廟口串燒 (永靖外帶店),p3ov,2,['小吃'],False,19.0,79.0,25.0,10.0,3.8836214779166673,871
9,溪湖果菜市場宵夜炒麵,t5jo,1,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,3.3049395192854845,954
10,春日日本料理,i0be,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,3.1611475334439416,497
11,85度C (溪湖平和店),r0lp,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.731249003236626,1365
12,NU (彰化溪湖店),h4gg,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,3.9242280909192706,941
13,食神滷味 (彰化永靖店),kjbe,2,['小吃'],False,19.0,79.0,20.0,5.0,3.8950359583187333,516
14,我家冰店 複合式餐飲,mm3j,1,['台式'],False,19.0,79.0,20.0,5.0,3.9100706240904657,693
15,咩咩手工蛋餅,nvls,2,['台式'],False,19.0,79.0,20.0,10.0,2.0386517167258176,33
16,讚不絕口小火鍋 (溪湖旗艦店),u7ag,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,4.062149396560632,1500
17,讚不絕口風味小火鍋 (彰化永靖店),o0az,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.8313779712385183,771
18,夯廟口串燒,xwz6,2,['小吃'],False,19.0,79.0,30.0,15.0,3.924551376287907,73
19,老先覺功夫窯燒鍋 (彰化永靖MiNi店),s0sq,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.8427657482789495,649
20,老春芳羊肉爐,n7ql,3,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.0454078517790073,115
21,泰鼎豆花營,vysg,2,['甜點'],False,19.0,79.0,30.0,15.0,3.4755653576131538,73
22,國王的茶 (彰化埔心中興店),sgvf,1,['飲料'],False,19.0,79.0,15.0,5.0,1.7022673847203975,400
23,李記紅茶冰 (彰化永靖店),n3dn,1,['飲料'],False,19.0,79.0,20.0,5.0,3.724788122521004,266
24,新井茶 (彰化溪湖店),n4lg,1,['飲料'],False,19.0,79.0,20.0,5.0,3.7489940290511172,1632
25,鮮茶道 (溪湖平和店),nzim,2,['飲料'],False,19.0,79.0,20.0,5.0,3.9125723684949163,136
26,溪湖阿讚豬腳爌肉飯專賣店,abnt,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.395829955012351,543
27,弘爺漢堡 (彰化東溪店),g2as,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.399682208964529,747
28,早安美芝城 (埔心活力員鹿店),bo5x,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.0226669713952268,398
29,晨間廚房 (溪湖東環店),p5my,2,"['早餐', '歐美']",True,19.0,79.0,40.0,15.0,3.9923336482410243,1998
30,瑞麟美而美早餐店 (埔心中興店),qqbt,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.604043032460675,198
31,A-bao house (溪湖平和店),k7nz,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.8959955571328386,1130
32,德發中西式早午餐,s7dx,1,['台式'],False,19.0,79.0,40.0,15.0,3.3046220011959835,864
33,紫林堂素齋館,j1ig,1,"['麵食', '素食']",False,19.0,79.0,40.0,15.0,2.9919018055532898,461
34,員濃豆漿 (彰化溪湖店),h6if,1,['小吃'],False,19.0,79.0,40.0,15.0,3.4966115121678705,0
35,蒸の湯包(韭菜盒子),vvw4,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,3.7104248830960787,53
36,瑞克斯咖啡 (彰化永靖店),jygg,2,"['咖啡', '歐美']",False,19.0,79.0,40.0,15.0,3.793280536528485,61
37,TEATOP 第一味 (永靖瑚璉店),t6xa,2,['飲料'],False,19.0,79.0,40.0,15.0,3.8509507604366644,894
38,東環排骨便當,r03w,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.625024027851967,69
39,鼎昇鍋燒麵（溪湖店）,h9pm,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.9920354545436108,1003
40,禾佳米糕,rjse,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,2.951917868097099,185
41,顏太煮奶茶 (彰化埔心店),dpxm,2,['飲料'],False,19.0,79.0,40.0,15.0,1.6303718480547564,39
42,享soul食光 (彰化溪湖店),ngrc,2,"['便當', '健康餐']",False,19.0,79.0,40.0,15.0,3.676889398033291,31
