,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,窗口 (烤肉吐司，鬆餅，大腸包小腸),uxsw,2,"['甜點', '三明治 / 吐司']",False,19.0,79.0,20.0,5.0,3.223623938661517,6
1,吳家紅茶冰 (彰化員鹿店),f6tq,2,['飲料'],False,19.0,79.0,25.0,5.0,4.180719503069546,470
2,早安美芝城 (福興活力員鹿店),mtz7,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,4.435219982636933,46
3,弘爺漢堡 (埔鹽中正店),h8hm,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.298221114920263,628
4,晨間廚房 (埔鹽中正店),lnjs,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.342108706606911,645
5,Tea's原味 (彰化埔鹽店),ndoc,2,['飲料'],False,19.0,79.0,40.0,15.0,4.624471814698075,440
6,成茗在望｜職人漩茶專賣店｜埔鹽總部,rnut,2,['飲料'],False,19.0,79.0,40.0,15.0,3.6457373508501285,8
7,土豆園爌肉飯,v7bq,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.6362436513453518,563
8,莊排骨飯 (福興員鹿店),f4la,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.177328059683539,826
9,三七七巷,ji4m,1,['台式'],False,19.0,79.0,40.0,15.0,3.484158906443867,67
10,吳家紅茶冰 (彰化員鹿店),f6tq,2,['飲料'],False,19.0,79.0,25.0,5.0,4.180719503069546,470
11,早安美芝城 (福興活力員鹿店),mtz7,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,4.435219982636933,46
12,弘爺漢堡 (埔鹽中正店),h8hm,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.298221114920263,628
13,晨間廚房 (埔鹽中正店),lnjs,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.342108706606911,645
14,Tea's原味 (彰化埔鹽店),ndoc,2,['飲料'],False,19.0,79.0,40.0,15.0,4.624471814698075,440
15,成茗在望｜職人漩茶專賣店｜埔鹽總部,rnut,2,['飲料'],False,19.0,79.0,40.0,15.0,3.6457373508501285,8
16,土豆園爌肉飯,v7bq,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.6362436513453518,563
17,莊排骨飯 (福興員鹿店),f4la,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.177328059683539,826
18,三七七巷,ji4m,1,['台式'],False,19.0,79.0,40.0,15.0,3.484158906443867,67
