,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,山水茶堂 (屏東廣東店),ecc3,1,['飲料'],False,9.0,79.0,20.0,5.0,4.30639482205738,1296
1,心喜手工茶 (屏東廣東店),h4gk,1,['飲料'],False,9.0,79.0,20.0,5.0,4.406858894925296,1427
2,御品苑火鍋,hxyh,2,"['火鍋', '台式']",False,9.0,79.0,25.0,10.0,3.7067548150505014,347
3,麥當勞 (S355 屏東自由店),b1vo,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,10.0,4.602096270754395,12622
4,永瑄牛排 (屏東廣東店),l0iw,2,"['台式', '牛排']",False,9.0,79.0,20.0,5.0,4.385920886465163,4202
5,大柱羊肉,e3sl,2,"['湯品', '火鍋', '台式']",False,9.0,79.0,20.0,5.0,4.542438602190219,1065
6,好呷味炒飯炒麵,n2ox,1,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,15.0,4.434356416684792,2194
7,阿寶切仔担,owtu,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,4.522016597457171,627
8,茶湯會 (屏東廣東店),a6rl,2,['飲料'],True,9.0,79.0,20.0,5.0,4.406311463451387,2391
9,麻古茶坊 (屏東屏中店),ca91,2,['飲料'],False,9.0,79.0,20.0,5.0,4.140518571739693,896
10,心喜手工茶 (屏東崇蘭店),z116,1,['飲料'],False,9.0,79.0,20.0,5.0,4.262395666178958,161
11,老賴茶棧 (屏東廣東店),ka46,1,['飲料'],False,9.0,79.0,20.0,5.0,4.735873684053964,240
12,小夫妻湯滷販賣所,og3b,2,['小吃'],False,9.0,79.0,20.0,5.0,4.394702262329292,70
13,鮮茶道 (屏東廣東店),d9le,1,['飲料'],False,9.0,79.0,20.0,5.0,4.301282025244277,1295
14,摩斯漢堡Mos Burger (屏東中正店),f8ii,2,"['漢堡', '日式']",False,9.0,79.0,30.0,15.0,4.624475846651286,2354
15,胖爺香香鍋,u7ar,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,4.04776576139705,1540
16,湯師父美味鍋24H (屏東中正店),i9jf,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,4.493090247979074,1815
17,達美樂 (屏東廣東店),fz8t,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,4.313375814476156,92
18,甘蔗の媽媽  (屏東海豐店),s8sw,2,['飲料'],False,9.0,79.0,20.0,5.0,2.8534167194619977,16
19,松本鮮奶茶 (屏東大連店),lmhv,1,['飲料'],False,9.0,79.0,20.0,5.0,4.629880144175789,361
20,伊吉堡 (屏東廣東店),jqdx,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.124977891274032,392
21,廣東999早餐,d2fp,1,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.336594784866993,1281
22,弘爺漢堡 (屏東莊敬店),d6ub,2,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.523958124002377,1444
23,早安派對,yvhk,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.210775007335101,637
24,早壹點早午餐,q3vv,1,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,4.984771116986901,2948
25,麥味登 (屏東忠孝店),cj41,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.9944465442959975,175
26,小叮噹早餐店,hu9y,2,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,4.483638670810613,41
27,咔啦堡快速早餐,clwi,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.543688843628504,250
28,早來找去,p2r9,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.086320983639344,1504
29,早安美芝城 (屏東活力莊敬店),f4mi,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.904137203844176,378
30,早安您好早餐店,b3hf,1,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,3.8250124390657008,1058
31,城蔬巧素-天喜素食 (屏東信義店),if9d,2,"['便當', '素食']",False,9.0,79.0,40.0,15.0,4.218183027386756,146
32,小胖水餃,gbpt,2,"['湯品', '粥', '台式', '餃子']",False,9.0,79.0,40.0,15.0,4.312458695711942,16
33,黃毛ㄚ頭早午餐,a4jp,1,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.297471376114709,3379
34,義朵朵Pasta,b7qr,2,['歐美'],False,9.0,79.0,40.0,10.0,3.92896986298534,3060
35,雙紅經典復刻紅茶 (屏東中正店),b7sr,1,['飲料'],False,9.0,79.0,40.0,10.0,3.6276525175464807,858
36,尼渴紅茶 (屏東海豐店),ex2t,2,['飲料'],False,9.0,79.0,40.0,15.0,2.8704173671277844,12
37,悟饕池上飯包 (屏東自由店),azi7,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,4.628035921142397,757
38,八方雲集 (屏東大連店),e3kt,2,"['台式', '餃子']",False,9.0,79.0,40.0,10.0,4.643948983413556,2287
39,虹美廚坊,hpis,2,"['便當', '健康餐']",False,9.0,79.0,40.0,15.0,5.147533884794317,320
40,鋤肪健康低卡餐盒,pdgx,2,"['便當', '健康餐']",False,9.0,79.0,40.0,15.0,4.391844085702999,56
41,極品回香麵食館,f3hp,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.904137203844176,1313
42,阮丞越南美食,byxp,2,"['麵食', '東南亞']",False,9.0,79.0,40.0,15.0,4.650050404931356,632
43,瑞光現切水果,o542,2,['健康餐'],False,9.0,79.0,40.0,15.0,3.5623535351841302,21
44,巧特思無骨香酥雞,dizn,2,"['小吃', '炸雞']",False,9.0,79.0,40.0,15.0,4.521857737162215,8
45,圓味素食,w7o5,1,"['便當', '素食']",False,9.0,79.0,40.0,15.0,3.710766932271347,534
46,串一串熱炒燒烤,f3we,3,"['便當', '台式']",False,9.0,79.0,40.0,15.0,4.297982450154493,530
47,早安山丘 (屏東華正店),u6xs,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.1936933768589,3038
48,心喜手工茶 (屏東廣東店),h4gk,1,['飲料'],False,9.0,79.0,20.0,5.0,4.406858894925296,1427
49,御品苑火鍋,hxyh,2,"['火鍋', '台式']",False,9.0,79.0,25.0,10.0,3.7067548150505014,347
50,麥當勞 (S355 屏東自由店),b1vo,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,10.0,4.602096270754395,12622
51,永瑄牛排 (屏東廣東店),l0iw,2,"['台式', '牛排']",False,9.0,79.0,20.0,5.0,4.385920886465163,4202
52,大柱羊肉,e3sl,2,"['湯品', '火鍋', '台式']",False,9.0,79.0,20.0,5.0,4.542438602190219,1065
53,好呷味炒飯炒麵,n2ox,1,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,15.0,4.434356416684792,2194
54,阿寶切仔担,owtu,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,4.522016597457171,627
55,茶湯會 (屏東廣東店),a6rl,2,['飲料'],True,9.0,79.0,20.0,5.0,4.406311463451387,2391
56,麻古茶坊 (屏東屏中店),ca91,2,['飲料'],False,9.0,79.0,20.0,5.0,4.140518571739693,896
57,心喜手工茶 (屏東崇蘭店),z116,1,['飲料'],False,9.0,79.0,20.0,5.0,4.262395666178958,161
58,老賴茶棧 (屏東廣東店),ka46,1,['飲料'],False,9.0,79.0,20.0,5.0,4.735873684053964,240
59,小夫妻湯滷販賣所,og3b,2,['小吃'],False,9.0,79.0,20.0,5.0,4.394702262329292,70
60,鮮茶道 (屏東廣東店),d9le,1,['飲料'],False,9.0,79.0,20.0,5.0,4.301282025244277,1295
61,摩斯漢堡Mos Burger (屏東中正店),f8ii,2,"['漢堡', '日式']",False,9.0,79.0,30.0,15.0,4.624475846651286,2354
62,胖爺香香鍋,u7ar,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,4.04776576139705,1540
63,湯師父美味鍋24H (屏東中正店),i9jf,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,4.493090247979074,1815
64,達美樂 (屏東廣東店),fz8t,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,4.313375814476156,92
65,甘蔗の媽媽  (屏東海豐店),s8sw,2,['飲料'],False,9.0,79.0,20.0,5.0,2.8534167194619977,16
66,松本鮮奶茶 (屏東大連店),lmhv,1,['飲料'],False,9.0,79.0,20.0,5.0,4.629880144175789,361
67,伊吉堡 (屏東廣東店),jqdx,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.124977891274032,392
68,廣東999早餐,d2fp,1,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.336594784866993,1281
69,弘爺漢堡 (屏東莊敬店),d6ub,2,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.523958124002377,1444
70,早安派對,yvhk,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.210775007335101,637
71,早壹點早午餐,q3vv,1,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,4.984771116986901,2948
72,麥味登 (屏東忠孝店),cj41,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.9944465442959975,175
73,小叮噹早餐店,hu9y,2,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,4.483638670810613,41
