,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義民族店),z4kq,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.5479303777909383,3832
1,楊排骨酥麵,e0gf,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.6683366772404812,1693
2,一甲子傳統豆花 (嘉義中正店),dczo,1,['甜點'],False,19.0,79.0,20.0,15.0,0.6614619238403416,46
3,客客客 鍋物·小火鍋,b4vb,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.305958948366236,1742
4,阿德現炒,a3fi,2,"['湯品', '麵食', '台式']",True,19.0,79.0,15.0,5.0,1.2695853407127506,2474
5,春日蔬食(素),a0mp,2,['素食'],False,19.0,79.0,20.0,10.0,1.1367463533436202,927
6,提米可可 (嘉義文化店),b5rz,2,['飲料'],False,19.0,79.0,15.0,5.0,0.881715182556537,2434
7,皇家豆花,myyg,2,['甜點'],False,19.0,79.0,15.0,10.0,1.1212699110425763,195
8,四海遊龍 (嘉義維新店),a3wm,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,1.1224275592770023,2516
9,白巷子 (嘉義國華店),o5lz,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0428336212226903,1527
10,燃 手串,z3gg,2,['小吃'],False,19.0,79.0,20.0,15.0,0.8644399619293514,1018
11,黃毛丫頭 (東山鴨頭專賣店),f8fi,2,['小吃'],True,19.0,79.0,15.0,10.0,0.5175905680037959,1447
12,光華愛玉,a7ow,1,['甜點'],True,19.0,79.0,10.0,5.0,0.4737710056833912,965
13,三國饌鴛鴦麻辣鍋 (嘉義鼎神店),f0sj,3,"['中式', '火鍋']",True,19.0,79.0,35.0,25.0,1.4156328479998237,286
14,方櫃仔魯味 (嘉義文化路總店),z7et,1,['小吃'],True,19.0,79.0,10.0,5.0,0.5421867368983643,3754
15,桃城雞排(中正創始店),a5lp,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.154072141591045,1347
16,樂檸漢堡 (嘉義中山市府門市),a6zh,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,0.8549161993324852,5423
17,二丫頭麻辣涼麵,z4ss,2,"['湯品', '麵食', '台式']",True,19.0,79.0,10.0,5.0,0.6040926036928584,1540
18,嘉義品安豆漿豆花,z0ib,1,['甜點'],False,19.0,79.0,15.0,5.0,0.6306676220820008,1920
19,南台灣土魠魚焿 (嘉義吳鳳店),a3gm,2,"['湯品', '便當', '台式']",False,19.0,79.0,10.0,5.0,0.3830257685071649,3497
20,鑫現炒,a5tf,2,['台式'],False,19.0,79.0,25.0,20.0,0.3737438727366141,9346
21,曹家牛肉麵 (嘉義民生店),j4sz,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.5942154545615046,2637
22,肯德基KFC炸雞漢堡店 (嘉義垂楊店),a6lz,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,10.0,5.0,0.4616707046846023,3360
23,滷匠 (嘉義國華店),f6bj,2,['小吃'],False,19.0,79.0,10.0,5.0,0.5304032040261624,1790
24,"鑫丼(咖哩,丼飯,麻婆,烏龍麵)",a0sq,2,"['咖哩', '日式']",False,19.0,79.0,25.0,15.0,0.385239089609768,5750
25,可不可熟成紅茶 (嘉義民族店),ofo2,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4389442912357131,1612
26,麥當勞 (S129 嘉義垂楊店),l4xv,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.48886486293382986,4139
27,圓環火雞大王,d7xs,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,10.0,0.7386880391429977,3479
28,Burger King 漢堡王 (嘉義店),o1em,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,0.9235852981500284,1450
29,五桐號 WooTea (嘉義文化店),pmw3,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8496526747134836,218
30,貳頭雞 (嘉義總店),a7mk,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.104396344682086,3107
31,玲姐滷味,a9ct,2,['小吃'],False,19.0,79.0,15.0,10.0,0.9721132248954851,2321
32,摩斯漢堡Mos Burger (嘉義吳鳳店),gofn,2,"['漢堡', '日式']",False,19.0,79.0,20.0,15.0,0.1292860297164667,1456
33,哈牛排,fhie,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.72409372300247,747
34,響咖哩鐵板,z8ph,2,"['咖哩', '日式']",False,19.0,79.0,15.0,10.0,0.9531927489843491,3743
35,21PLUS、21風味館 (嘉義民族門市),zeci,2,"['歐美', '炸雞']",False,19.0,79.0,10.0,5.0,0.3165734023074817,133
36,釜山崔炸雞 (嘉義吳鳳店),pzmv,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,5.0,1.054331225554235,426
37,焦家好味道,jy6g,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.6297301082476728,172
38,傻師傅湯包 (嘉義民族店),f8jk,2,"['中式', '餃子']",False,19.0,79.0,15.0,5.0,0.5814909173156717,2690
