,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義民族店),z4kq,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.5768248621983485,3832
1,四海遊龍 (嘉義博愛店),z5tg,2,"['台式', '餃子']",False,19.0,79.0,15.0,10.0,1.0100673603205699,4189
2,阿德現炒,a3fi,2,"['湯品', '麵食', '台式']",True,19.0,79.0,15.0,5.0,0.7409109280381315,2474
3,春日蔬食(素),a0mp,2,['素食'],False,19.0,79.0,20.0,10.0,1.1932077753832204,927
4,白巷子 (嘉義國華店),o5lz,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1202952181142036,1527
5,清心福全 (嘉義仁愛店),a9xh,1,['飲料'],False,19.0,79.0,15.0,5.0,1.2543168517950545,1413
6,請ㄋ一ˇ喝奶茶,ycp7,1,['飲料'],False,19.0,79.0,15.0,5.0,2.1576664391011215,34
7,燃 手串,z3gg,2,['小吃'],False,19.0,79.0,25.0,15.0,2.0718572818294354,1018
8,黃毛丫頭 (東山鴨頭專賣店),f8fi,2,['小吃'],True,19.0,79.0,20.0,10.0,1.8077784684513925,1447
9,光華愛玉,a7ow,1,['甜點'],True,19.0,79.0,15.0,5.0,2.123944774579197,965
10,三國饌鴛鴦麻辣鍋 (嘉義鼎神店),f0sj,3,"['中式', '火鍋']",True,19.0,79.0,30.0,25.0,0.47669348921311433,286
11,桃城雞排(中正創始店),a5lp,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.5712512628604811,1347
12,方櫃仔魯味 (嘉義文化路總店),z7et,1,['小吃'],True,19.0,79.0,15.0,5.0,1.8267057407409666,3754
13,樂檸漢堡 (嘉義中山市府門市),a6zh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.3140297007027404,5423
14,嘉義品安豆漿豆花,z0ib,1,['甜點'],False,19.0,79.0,15.0,5.0,2.018588359270868,1920
15,二丫頭麻辣涼麵,z4ss,2,"['湯品', '麵食', '台式']",True,19.0,79.0,15.0,5.0,2.375995196271142,1540
16,嘉義豆奶攤 (嘉義興業店),a6lh,2,['台式'],False,19.0,79.0,10.0,5.0,0.2765368155357724,2056
17,吉祥鐵板燒,b5od,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,10.0,0.29091590203646644,1334
18,曹家牛肉麵 (嘉義民生店),j4sz,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.2626795500209502,2637
19,午夜快車 (嘉義興業店),q2vn,2,['台式'],False,19.0,79.0,15.0,5.0,0.42409165077888855,203
20,三媽臭臭鍋 (嘉義興業店),z2li,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.29464155531573955,5067
21,在義起義大利麵,ud7q,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.8846159527783488,2590
22,紅火鶴鴨魯飯,a8fi,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,1.014079808797345,907
23,豚將日本拉麵 (嘉義興業店),a4pd,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.2951821330440659,918
24,八棧雞湯 (嘉義仁愛店),zqxi,2,['台式'],False,19.0,79.0,15.0,5.0,0.684503030488699,107
25,肯德基KFC炸雞漢堡店 (嘉義垂楊店),a6lz,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.4258261923574411,3360
26,九湯屋日式拉麵 (嘉義光彩店),z2eu,2,"['麵食', '日式']",True,19.0,79.0,15.0,5.0,1.397351458487119,1926
27,麥飯樂,x3kj,2,"['湯品', '便當', '台式']",False,19.0,79.0,35.0,25.0,1.221484226020651,3878
28,阿滿姨什錦麵,iatd,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,0.36605736519312787,946
29,"鑫丼(咖哩,丼飯,麻婆,烏龍麵)",a0sq,2,"['咖哩', '日式']",False,19.0,79.0,25.0,15.0,1.6555814779245561,5750
30,南台灣土魠魚焿 (嘉義吳鳳店),a3gm,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,2.0491970695453716,3497
31,川牛木石亭 (嘉義店),z1xe,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,1.1897713594378467,2089
32,Burger King 漢堡王 (嘉義店),o1em,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,1.8522660357344651,1450
33,五桔鹽酥雞,ji1g,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.2299810385224343,417
34,鑫現炒,a5tf,2,['台式'],False,19.0,79.0,30.0,20.0,1.6834777438575448,9346
