,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,PPD Pasta,zavu,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,4.534378359450214,445
1,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.1117704260381667,1002
2,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,0.7532295637336914,2050
3,叮哥茶飲 東大門店,gwkw,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6709974650860093,19
4,大呼過癮臭臭鍋 (花蓮中正店),f4fm,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.6503212084224905,2134
5,可不可熟成紅茶 (花蓮中正店),hslz,1,['飲料'],False,19.0,79.0,15.0,5.0,0.7898527840759383,1241
6,鮮茶道 (花蓮南埔店),d6ba,2,['飲料'],True,19.0,79.0,15.0,5.0,1.446071274190764,2858
7,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,20.0,5.0,3.9124112977894736,2135
8,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7393262305192098,1278
9,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7500272015975037,3410
10,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,0.7007359474032747,1076
11,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,25.0,20.0,0.8349730447377177,1290
12,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6496963299863097,3747
13,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,1.1138665219280561,258
14,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7361094417542979,5299
15,麥當勞 (S40 花蓮中正店),d9sq,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.9634990596618702,10692
16,彭湃餐車,m0yp,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.3731210047782656,1480
17,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,0.4877810861089521,1069
18,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.5088726143933344,1329
19,博愛街黑白切米粉湯,e8it,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.5538494865813177,4371
20,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,0.77439405859597,295
21,青田壽司,o0vw,2,['日式'],False,19.0,79.0,10.0,5.0,0.41321929407937547,1371
22,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,20.0,15.0,0.8308975820182681,5812
23,E炸G蔥香酥皮大雞排 (花蓮和平店),b4mc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.804547216721028,3027
24,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,0.7338267873858904,437
25,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.0703399247221925,3763
26,醬爆雞排,o2hc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.46083114608779807,804
27,肯德基KFC炸雞漢堡店 (花蓮吉安店),ihq2,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,10.0,1.8924495278698499,1074
28,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,0.9135088833732452,2615
29,多福豆花,b1wm,1,['甜點'],False,19.0,79.0,15.0,10.0,0.6816676181280369,2884
30,小螞蟻咖哩屋,b3uk,2,"['咖哩', '日式']",False,19.0,79.0,25.0,20.0,0.6640526071764217,3697
31,鮮茶道 (花蓮中華店),ynmx,2,['飲料'],False,19.0,79.0,10.0,5.0,0.6243684349694386,216
32,茶湯會 (花蓮民國店),b4ye,2,['飲料'],True,19.0,79.0,15.0,5.0,0.8120323520470225,3271
33,鐵板平價牛排,d0rm,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.4865853274043145,1756
34,小豬很忙蔬果滷味 (花蓮博愛店),iyfl,2,['小吃'],False,19.0,79.0,15.0,5.0,0.8126341371658471,195
35,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.726699259310884,3376
36,黃記關東煮,n5vs,2,['台式'],False,19.0,79.0,15.0,5.0,0.5697016228636949,550
37,大苑子 (花蓮民國店),q6zq,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8392401349440382,2552
38,美味蚵仔煎,n1xu,2,['小吃'],False,19.0,79.0,15.0,5.0,0.7201308915073432,835
39,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,1.6239080933319296,3419
40,正統鹽酥雞,i4rc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.7689207296552804,2008
41,初樂炸雞 (花蓮和平店),erj6,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.0605070923111037,289
42,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,30.0,20.0,1.0227371388859725,4330
43,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,1.6734038506255366,3597
44,法式官財板食品店,s5nm,1,['台式'],False,19.0,79.0,10.0,5.0,0.43697887767390287,621
45,迷客夏 Milksha (花蓮中山店),qm81,2,['飲料'],False,19.0,79.0,15.0,10.0,0.779722227269643,679
46,Winwin成功炸雞,wij1,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.2308519311181,143
47,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,1.6941644477480904,1429
48,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.1117704260381667,1002
49,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,0.7532295637336914,2050
50,叮哥茶飲 東大門店,gwkw,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6709974650860093,19
51,大呼過癮臭臭鍋 (花蓮中正店),f4fm,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.6503212084224905,2134
52,可不可熟成紅茶 (花蓮中正店),hslz,1,['飲料'],False,19.0,79.0,15.0,5.0,0.7898527840759383,1241
53,鮮茶道 (花蓮南埔店),d6ba,2,['飲料'],True,19.0,79.0,15.0,5.0,1.446071274190764,2858
54,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,20.0,5.0,3.9124112977894736,2135
55,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7393262305192098,1278
56,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7500272015975037,3410
57,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,0.7007359474032747,1076
58,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,25.0,20.0,0.8349730447377177,1290
59,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6496963299863097,3747
60,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,1.1138665219280561,258
61,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7361094417542979,5299
62,麥當勞 (S40 花蓮中正店),d9sq,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.9634990596618702,10692
63,彭湃餐車,m0yp,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.3731210047782656,1480
64,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,0.4877810861089521,1069
65,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.5088726143933344,1329
66,博愛街黑白切米粉湯,e8it,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.5538494865813177,4371
67,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,0.77439405859597,295
68,青田壽司,o0vw,2,['日式'],False,19.0,79.0,10.0,5.0,0.41321929407937547,1371
69,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,20.0,15.0,0.8308975820182681,5812
70,E炸G蔥香酥皮大雞排 (花蓮和平店),b4mc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.804547216721028,3027
71,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,0.7338267873858904,437
72,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.0703399247221925,3763
73,醬爆雞排,o2hc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.46083114608779807,804
74,肯德基KFC炸雞漢堡店 (花蓮吉安店),ihq2,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,10.0,1.8924495278698499,1074
75,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,0.9135088833732452,2615
76,多福豆花,b1wm,1,['甜點'],False,19.0,79.0,15.0,10.0,0.6816676181280369,2884
77,小螞蟻咖哩屋,b3uk,2,"['咖哩', '日式']",False,19.0,79.0,25.0,20.0,0.6640526071764217,3697
78,鮮茶道 (花蓮中華店),ynmx,2,['飲料'],False,19.0,79.0,10.0,5.0,0.6243684349694386,216
