,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,丼幻日式丼飯,b6sn,2,"['湯品', '日式']",False,9.0,79.0,20.0,5.0,2.4110497561261877,6179
1,胖老爹美式炸雞 (南投草屯店),eyz0,2,"['歐美', '炸雞']",True,19.0,79.0,30.0,15.0,2.221434956176068,692
2,Pizza Hut必勝客 (南投草屯店),d2ig,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.57752307289099,3658
3,茶海 (草屯大觀店),b3cz,2,['飲料'],False,19.0,79.0,20.0,5.0,2.2328334220545147,2865
4,阿牧家茶AMUSTEA 福山店,b9ca,2,['飲料'],False,9.0,79.0,20.0,5.0,2.849414797468702,571
5,清心福全 (草屯芬草店),b6pb,2,['飲料'],False,9.0,79.0,20.0,5.0,2.2171130419522918,2470
6,喫茶小舖 (草屯中正店),b5wc,1,['飲料'],False,9.0,79.0,20.0,5.0,2.303503178316324,1255
7,喫茶小舖 (草屯碧山店),b5my,1,['飲料'],False,19.0,79.0,20.0,5.0,2.3386400084408465,794
8,曾家純蔗糖天然飲品 (南投草屯店),b8xy,2,['飲料'],False,19.0,79.0,20.0,5.0,2.637362969380783,1122
9,太空冰城&蔥抓餅,fqz2,1,['小吃'],False,9.0,79.0,20.0,5.0,2.6586608834792202,523
10,根源包ㄚ粉圓,nfs0,1,['飲料'],False,9.0,79.0,20.0,5.0,2.7345260728023577,178
11,联亭泡菜鍋 (南投草屯店),x8k3,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.0617992669363496,319
12,麥當勞 (S211 草屯中正店),q4hh,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.442557632190367,15049
13,沙軒炸物飲品,f3zf,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.24397771856438077,1200
14,大漠蒙古麻辣燙,b6au,2,['小吃'],False,9.0,79.0,30.0,15.0,2.5166986576414843,4076
15,炒飯傳人,b4xd,2,"['便當', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.231771721949561,3420
16,古都台南擔仔麵 (南投草屯店),f7um,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.2097159640428656,3231
17,林記臭豆腐,iw0t,2,['台式'],False,9.0,79.0,20.0,10.0,0.2105913138767054,33
18,八方雲集 (草屯碧山店),d6bq,2,"['台式', '餃子']",False,9.0,79.0,25.0,10.0,2.1929080225393314,2272
19,貓太郎,v8ir,2,"['咖哩', '日式']",False,9.0,79.0,20.0,5.0,2.1979690596668724,146
20,大觀陳鍋燒麵,e4ou,1,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.1284135657010874,1750
21,你配我炒 炒飯專賣店,haqb,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,2.181172430165885,420
22,阿呆滷味 (南投草屯店),g7cp,2,['小吃'],False,9.0,79.0,20.0,5.0,2.1071123561879364,85
23,2派克雞排 (草屯碧山店),b3vq,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.586003720767036,2531
24,可不可熟成紅茶 (南投草屯店),gktp,1,['飲料'],False,19.0,79.0,20.0,5.0,2.664983015063707,1162
25,秉峯鍋燒店 (南投草屯店),b6cy,1,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,2.4858620606645774,3084
26,金禾水餃,zf8p,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,2.2327632249690796,764
27,炸 ·飯,xqhz,2,['台式'],False,9.0,79.0,20.0,5.0,2.4762639587127735,178
28,牛排旺,e5xu,2,"['台式', '牛排']",False,19.0,79.0,20.0,10.0,2.067090541943703,666
29,烏弄 (草屯中正店),q0hb,2,['飲料'],False,19.0,79.0,20.0,5.0,2.320482386453005,1409
30,大ㄊ一ㄡ水餃,b5oa,2,"['湯品', '台式', '餃子']",False,9.0,79.0,20.0,5.0,2.5804255755006573,2430
31,戰鬥雞-油雞/醉雞 輕食 (草屯育英店),bxyq,2,['小吃'],False,9.0,79.0,25.0,5.0,2.650555431273222,80
32,TEATOP 第一味 (草屯中山店),f8nw,2,['飲料'],False,9.0,79.0,20.0,5.0,2.4379948560417,2112
33,咚雞咚雞韓式炸雞 (南投草屯店),ccql,2,"['韓式', '炸雞']",False,9.0,79.0,20.0,5.0,2.654188139879382,225
34,小澄市鮮果茶飲 (草屯總店),d0xp,2,['飲料'],False,9.0,79.0,20.0,5.0,2.4357603166602173,2162
35,8兩碳烤雞排 (南投草屯店),d2na,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.123923548506453,1747
36,成功牛排 (南投草屯店),o3ve,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,2.148990108933427,1034
37,魯夫滷味 (南投草屯店),pi3g,2,['小吃'],False,19.0,79.0,25.0,10.0,2.491045816166309,606
38,爭鮮迴轉壽司 (草屯店),o2zg,2,['日式'],False,19.0,79.0,20.0,5.0,2.6494489273541317,1444
39,多那之 (南投草屯店),hysd,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,2.6109859959470083,787
40,味來香,f1ru,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.085042404441502,600
41,宮本武丼 (南投草屯店),ccuh,2,['日式'],False,19.0,79.0,20.0,5.0,2.4084082954006902,503
42,三商巧福 (4319南投草屯店),p5cx,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.5880960084980007,2078
43,市場口爌肉飯,p0gt,2,['台式'],False,19.0,79.0,20.0,5.0,2.5147256792960477,908
44,Mr.Wish 鮮果茶玩家 (草屯中正店),k4ze,2,['飲料'],False,19.0,79.0,20.0,5.0,2.4756251908990405,1289
45,潮麻吉 (草屯中山店),oy8l,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,2.4646849846419374,1331
46,大苑子 (草屯中正店),b9qc,2,['飲料'],False,9.0,79.0,20.0,5.0,2.530084991401647,2189
47,三顧茅廬 (草屯育英店),jt84,2,['小吃'],False,19.0,79.0,20.0,5.0,2.6732527757218327,115
48,胖老爹美式炸雞 (南投草屯店),eyz0,2,"['歐美', '炸雞']",True,19.0,79.0,30.0,15.0,2.221434956176068,692
49,Pizza Hut必勝客 (南投草屯店),d2ig,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.57752307289099,3658
50,茶海 (草屯大觀店),b3cz,2,['飲料'],False,19.0,79.0,20.0,5.0,2.2328334220545147,2865
51,阿牧家茶AMUSTEA 福山店,b9ca,2,['飲料'],False,9.0,79.0,20.0,5.0,2.849414797468702,571
52,清心福全 (草屯芬草店),b6pb,2,['飲料'],False,9.0,79.0,20.0,5.0,2.2171130419522918,2470
53,喫茶小舖 (草屯中正店),b5wc,1,['飲料'],False,9.0,79.0,20.0,5.0,2.303503178316324,1255
54,喫茶小舖 (草屯碧山店),b5my,1,['飲料'],False,19.0,79.0,20.0,5.0,2.3386400084408465,794
55,曾家純蔗糖天然飲品 (南投草屯店),b8xy,2,['飲料'],False,19.0,79.0,20.0,5.0,2.637362969380783,1122
56,太空冰城&蔥抓餅,fqz2,1,['小吃'],False,9.0,79.0,20.0,5.0,2.6586608834792202,523
57,根源包ㄚ粉圓,nfs0,1,['飲料'],False,9.0,79.0,20.0,5.0,2.7345260728023577,178
58,联亭泡菜鍋 (南投草屯店),x8k3,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.0617992669363496,319
59,麥當勞 (S211 草屯中正店),q4hh,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.442557632190367,15049
60,沙軒炸物飲品,f3zf,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.24397771856438077,1200
61,大漠蒙古麻辣燙,b6au,2,['小吃'],False,9.0,79.0,30.0,15.0,2.5166986576414843,4076
62,炒飯傳人,b4xd,2,"['便當', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.231771721949561,3420
63,古都台南擔仔麵 (南投草屯店),f7um,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.2097159640428656,3231
64,林記臭豆腐,iw0t,2,['台式'],False,9.0,79.0,20.0,10.0,0.2105913138767054,33
65,八方雲集 (草屯碧山店),d6bq,2,"['台式', '餃子']",False,9.0,79.0,25.0,10.0,2.1929080225393314,2272
66,貓太郎,v8ir,2,"['咖哩', '日式']",False,9.0,79.0,20.0,5.0,2.1979690596668724,146
67,大觀陳鍋燒麵,e4ou,1,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.1284135657010874,1750
68,你配我炒 炒飯專賣店,haqb,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,2.181172430165885,420
69,阿呆滷味 (南投草屯店),g7cp,2,['小吃'],False,9.0,79.0,20.0,5.0,2.1071123561879364,85
70,2派克雞排 (草屯碧山店),b3vq,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.586003720767036,2531
71,可不可熟成紅茶 (南投草屯店),gktp,1,['飲料'],False,19.0,79.0,20.0,5.0,2.664983015063707,1162
72,秉峯鍋燒店 (南投草屯店),b6cy,1,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,2.4858620606645774,3084
73,金禾水餃,zf8p,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,2.2327632249690796,764
74,炸 ·飯,xqhz,2,['台式'],False,9.0,79.0,20.0,5.0,2.4762639587127735,178
75,牛排旺,e5xu,2,"['台式', '牛排']",False,19.0,79.0,20.0,10.0,2.067090541943703,666
76,烏弄 (草屯中正店),q0hb,2,['飲料'],False,19.0,79.0,20.0,5.0,2.320482386453005,1409
77,大ㄊ一ㄡ水餃,b5oa,2,"['湯品', '台式', '餃子']",False,9.0,79.0,20.0,5.0,2.5804255755006573,2430
78,戰鬥雞-油雞/醉雞 輕食 (草屯育英店),bxyq,2,['小吃'],False,9.0,79.0,25.0,5.0,2.650555431273222,80
79,TEATOP 第一味 (草屯中山店),f8nw,2,['飲料'],False,9.0,79.0,20.0,5.0,2.4379948560417,2112
80,咚雞咚雞韓式炸雞 (南投草屯店),ccql,2,"['韓式', '炸雞']",False,9.0,79.0,20.0,5.0,2.654188139879382,225
81,小澄市鮮果茶飲 (草屯總店),d0xp,2,['飲料'],False,9.0,79.0,20.0,5.0,2.4357603166602173,2162
82,8兩碳烤雞排 (南投草屯店),d2na,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.123923548506453,1747
83,成功牛排 (南投草屯店),o3ve,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,2.148990108933427,1034
84,魯夫滷味 (南投草屯店),pi3g,2,['小吃'],False,19.0,79.0,25.0,10.0,2.491045816166309,606
85,爭鮮迴轉壽司 (草屯店),o2zg,2,['日式'],False,19.0,79.0,20.0,5.0,2.6494489273541317,1444
86,多那之 (南投草屯店),hysd,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,2.6109859959470083,787
87,味來香,f1ru,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.085042404441502,600
88,宮本武丼 (南投草屯店),ccuh,2,['日式'],False,19.0,79.0,20.0,5.0,2.4084082954006902,503
89,三商巧福 (4319南投草屯店),p5cx,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.5880960084980007,2078
90,市場口爌肉飯,p0gt,2,['台式'],False,19.0,79.0,20.0,5.0,2.5147256792960477,908
91,Mr.Wish 鮮果茶玩家 (草屯中正店),k4ze,2,['飲料'],False,19.0,79.0,20.0,5.0,2.4756251908990405,1289
92,潮麻吉 (草屯中山店),oy8l,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,2.4646849846419374,1331
93,大苑子 (草屯中正店),b9qc,2,['飲料'],False,9.0,79.0,20.0,5.0,2.530084991401647,2189
94,三顧茅廬 (草屯育英店),jt84,2,['小吃'],False,19.0,79.0,20.0,5.0,2.6732527757218327,115
95,揪嘻美式炸雞 (南投草屯店),b1ai,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,10.0,2.34527974566845,2452
96,朝正泰南洋料理 (南投草屯店),ngyp,2,"['咖哩', '東南亞']",False,9.0,79.0,20.0,5.0,2.4511780537354384,471
97,朝鮮味韓國料理 (南投草屯店),sewp,2,['韓式'],False,19.0,79.0,25.0,10.0,2.997278250980456,698
98,日船章魚小丸子 (草屯大觀店),e6wo,1,['日式'],False,9.0,79.0,25.0,10.0,2.135612309288176,1168
99,大觀傳統豆花,ur7g,1,['甜點'],False,9.0,79.0,20.0,10.0,2.122638261944273,50
100,美樂福草屯奇雞 (南投草屯店),fn4v,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.48798522818995,744
101,魔王狂爆雞排 (草屯青雲店),b5xp,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.498670438686097,2160
102,大買家 紅薯 山藥 專賣,v5tp,1,['小吃'],False,19.0,79.0,20.0,10.0,2.0761073090081683,315
103,金賀賈百元美食鍋物 (南投草屯店),h2zn,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.33466662091713,1212
104,秘醬滷味 (南投草屯店),rz7a,2,['小吃'],False,9.0,79.0,20.0,5.0,2.5170340197852905,15
105,孫東寶 (草屯太平店),atb0,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,2.8328366708772554,115
106,中山街蚵仔煎,vi3y,1,"['湯品', '小吃']",False,19.0,79.0,20.0,5.0,2.1230949064280686,253
107,品口炒飯,jc4p,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.210978438056862,34
