,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (花蓮中山店),b5vb,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.8207249141325025,2543
1,PPD Pasta,zavu,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,4.531473468566324,445
2,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.2103627020142103,1002
3,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,1.5842814000365995,2050
4,叮哥茶飲 東大門店,gwkw,1,['飲料'],False,19.0,79.0,15.0,5.0,1.854319813540459,19
5,大呼過癮臭臭鍋 (花蓮中正店),f4fm,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,2.2730382931544093,2134
6,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,15.0,5.0,0.7840547271782444,1801
7,和敬清寂 (花蓮建國店),v3hs,1,['飲料'],False,19.0,79.0,15.0,10.0,1.40584622783745,1307
8,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,20.0,5.0,3.179611922653106,2135
9,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5952335743552706,1278
10,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,1.9601555750058026,1076
11,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8374860947923745,3747
12,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,1.2188926471789148,258
13,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,20.0,2.024453589013518,1290
14,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,1.648095328364154,5299
15,麥當勞 (S445 花蓮中山二店),b0qj,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.8002588626242384,18500
16,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,10.0,5.0,0.26106451026879557,975
17,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.812165485905292,3376
18,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,25.0,15.0,0.8773485963063284,3105
19,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,0.8457715000687817,3419
20,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,0.824778243283393,1429
21,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,0.800674791817339,6694
22,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,1.0072136844278872,3597
23,阿潘熱炒,f7sy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,0.30192119824237007,797
24,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.3028411766261663,3763
25,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,10.0,5.0,0.2717718259739521,1472
26,食速列車,rcu7,2,['台式'],False,19.0,79.0,25.0,20.0,1.1843844073155019,609
27,清心福全 (花蓮國連店),ovq6,2,['飲料'],False,19.0,79.0,10.0,5.0,0.30972622958102575,123
28,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,1.5697691180618187,295
29,戰鬥雞-油雞/醉雞 輕食 (花蓮國聯店),a78t,2,"['健康餐', '台式']",True,19.0,79.0,10.0,5.0,0.28597612906329306,520
30,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.1788704270343893,3379
31,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,1.4878046499562654,2615
32,八方雲集 (花蓮後站店),e6yc,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,1.178231897978134,1952
33,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,25.0,15.0,1.5037243626175751,5812
34,E炸G蔥香酥皮大雞排 (花蓮和平店),b4mc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.789306993855328,3027
35,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,15.0,5.0,1.1502538972698246,1327
36,味味鮮の極品壽司,awpe,2,['日式'],False,19.0,79.0,15.0,5.0,0.8095507987925044,262
37,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,1.7541653220639033,437
38,炸鷄大獅 (花蓮中山店),t77y,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.0666539163737194,220
39,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,30.0,20.0,1.3560357665729164,4330
40,廣欽堂美食廚房,o6s5,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.34000638064999533,188
41,博愛街黑白切米粉湯,e8it,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.7804562807683664,4371
42,彭湃餐車,m0yp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.9827368909097376,1480
43,麻辣天后炒香鍋 (花蓮中山店),g2n9,2,"['麵食', '台式']",False,19.0,79.0,25.0,20.0,1.0307757984119128,69
44,茶湯會 (花蓮民國店),b4ye,2,['飲料'],True,19.0,79.0,15.0,5.0,1.5326672625651812,3271
45,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6714416714023033,3410
46,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,2.0138408977220705,1069
47,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.8655091972496491,1329
48,PPD Pasta,zavu,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,4.531473468566324,445
49,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.2103627020142103,1002
50,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,1.5842814000365995,2050
