,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,可不可熟成紅茶 (花蓮中美店),vsv5,1,['飲料'],False,19.0,79.0,10.0,5.0,0.5472763636430719,186
1,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,2.0964039980285487,2050
2,江記鹹水雞 (花蓮中正店),n6n6,2,['小吃'],False,19.0,79.0,15.0,5.0,2.1758483338273176,259
3,鮮茶道 (花蓮華西店),b0mp,2,['飲料'],True,19.0,79.0,15.0,5.0,2.3280311965122746,1125
4,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,2.112886692670363,1278
5,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,2.4809336277484615,3410
6,鮮茶道 (花蓮後站店),hglq,2,['飲料'],True,19.0,79.0,15.0,5.0,2.3478985548703784,435
7,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,15.0,5.0,1.7132966633019973,1472
8,茶朵木 (花蓮中華店),b8vq,2,['飲料'],False,19.0,79.0,20.0,5.0,4.709208610373773,1765
9,SHARE TEA歇腳亭 (花蓮中正店),g5nc,2,['飲料'],False,19.0,79.0,20.0,10.0,1.9997399444024153,241
10,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,2.1028877804843216,1076
11,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,2.114076728453828,3747
12,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,2.0735775238935474,258
13,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,20.0,2.9471752713459893,1290
14,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.0586001371595475,5299
15,麥當勞 (S40 花蓮中正店),d9sq,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.8488725491510085,10692
16,何食堂古早味小吃攤,i7zb,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.6649474518102746,2679
17,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,2.0685837074778064,295
18,家鄉碳烤雞排 (花蓮店),r5fb,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6185502211655882,998
19,大呼過癮臭臭鍋 (花蓮美崙店),iytk,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.9403136417929451,266
20,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,2.2095063093820833,3763
21,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,1.898142082010423,2615
22,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,2.1013319616414985,3419
23,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,15.0,5.0,1.7125683514502863,975
24,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,25.0,15.0,2.441991925475286,3105
25,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,2.135626509136219,1429
26,木槿軒韓國料理,ocp6,2,"['韓式', '火鍋']",False,19.0,79.0,25.0,20.0,0.7859112478025746,1277
27,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.145326598925141,3376
28,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,2.1998504500359632,6694
29,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,30.0,20.0,1.8339418592170025,4330
30,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,25.0,15.0,2.2477763696268496,5812
31,彭湃餐車,m0yp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,2.398138486416426,1480
32,博愛街黑白切米粉湯,e8it,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.260789944468526,4371
33,辣匠精緻小火鍋 (花蓮店),q0rd,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.20184519992365058,567
34,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,2.5879109856516433,437
35,Pizza Hut必勝客 (花蓮美崙店),v2sk,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.7173094464957837,64
36,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,20.0,10.0,2.3407127937006775,3597
37,炸鷄大獅 (花蓮中山店),t77y,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,2.016092275147183,220
38,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,2.5427720473786555,1329
39,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,2.7357074262972887,1069
40,茶湯會 (花蓮民國店),b4ye,2,['飲料'],True,19.0,79.0,15.0,5.0,2.289873925626253,3271
41,小豬很忙蔬果滷味 (花蓮博愛店),iyfl,2,['小吃'],False,19.0,79.0,15.0,5.0,2.2313334853710103,195
42,阿潘熱炒,f7sy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,1.7142469499769593,797
43,美味蚵仔煎,n1xu,2,['小吃'],False,19.0,79.0,15.0,5.0,2.0732604248995252,835
44,大苑子 (花蓮民國店),q6zq,2,['飲料'],False,19.0,79.0,15.0,5.0,2.222124907701691,2552
45,正統鹽酥雞,i4rc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,2.095929237260287,2008
46,多福豆花,b1wm,1,['甜點'],False,19.0,79.0,20.0,10.0,2.1238310083033127,2884
47,超美烘焙廚房,jg4j,1,['歐美'],False,19.0,79.0,15.0,10.0,0.2305533920388437,262
48,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,2.0964039980285487,2050
49,江記鹹水雞 (花蓮中正店),n6n6,2,['小吃'],False,19.0,79.0,15.0,5.0,2.1758483338273176,259
50,鮮茶道 (花蓮華西店),b0mp,2,['飲料'],True,19.0,79.0,15.0,5.0,2.3280311965122746,1125
51,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,2.112886692670363,1278
52,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,2.4809336277484615,3410
53,鮮茶道 (花蓮後站店),hglq,2,['飲料'],True,19.0,79.0,15.0,5.0,2.3478985548703784,435
54,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,15.0,5.0,1.7132966633019973,1472
55,茶朵木 (花蓮中華店),b8vq,2,['飲料'],False,19.0,79.0,20.0,5.0,4.709208610373773,1765
56,SHARE TEA歇腳亭 (花蓮中正店),g5nc,2,['飲料'],False,19.0,79.0,20.0,10.0,1.9997399444024153,241
57,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,2.1028877804843216,1076
58,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,2.114076728453828,3747
59,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,2.0735775238935474,258
60,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,20.0,2.9471752713459893,1290
61,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.0586001371595475,5299
62,麥當勞 (S40 花蓮中正店),d9sq,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.8488725491510085,10692
63,何食堂古早味小吃攤,i7zb,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.6649474518102746,2679
64,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,2.0685837074778064,295
65,家鄉碳烤雞排 (花蓮店),r5fb,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6185502211655882,998
66,大呼過癮臭臭鍋 (花蓮美崙店),iytk,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.9403136417929451,266
67,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,2.2095063093820833,3763
68,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,1.898142082010423,2615
69,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,2.1013319616414985,3419
70,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,15.0,5.0,1.7125683514502863,975
71,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,25.0,15.0,2.441991925475286,3105
72,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,2.135626509136219,1429
73,木槿軒韓國料理,ocp6,2,"['韓式', '火鍋']",False,19.0,79.0,25.0,20.0,0.7859112478025746,1277
74,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.145326598925141,3376
