,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,丼幻日式丼飯,b6sn,2,"['湯品', '日式']",False,9.0,79.0,15.0,5.0,0.7045422048565513,6179
1,胖老爹美式炸雞 (南投草屯店),eyz0,2,"['歐美', '炸雞']",True,19.0,79.0,25.0,15.0,0.4373728509370639,692
2,Pizza Hut必勝客 (南投草屯店),d2ig,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.8257198545023172,3658
3,炒飯傳人,b4xd,2,"['便當', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.0404565743887704,3420
4,阿牧家茶AMUSTEA 福山店,b9ca,2,['飲料'],False,9.0,79.0,20.0,5.0,1.0946046152614888,571
5,茶海 (草屯中山店),b2oo,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6425808869105716,2530
6,清心福全 (草屯芬草店),b6pb,2,['飲料'],False,9.0,79.0,15.0,5.0,0.7058830780942075,2470
7,喫茶小舖 (草屯中正店),b5wc,1,['飲料'],False,9.0,79.0,15.0,5.0,0.7215393263367529,1255
8,喫茶小舖 (草屯碧山店),b5my,1,['飲料'],False,19.0,79.0,15.0,5.0,0.5621933381966057,794
9,喫茶小舖 (草屯虎山店),b9is,1,['飲料'],False,9.0,79.0,20.0,5.0,1.87158519693297,1117
10,太空冰城&蔥抓餅,fqz2,1,['小吃'],False,9.0,79.0,15.0,5.0,0.9215366204500077,523
11,根源包ㄚ粉圓,nfs0,1,['飲料'],False,9.0,79.0,20.0,5.0,0.9793401507145552,178
12,联亭泡菜鍋 (南投草屯店),x8k3,3,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.3151021858154237,319
13,麥當勞 (S211 草屯中正店),q4hh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,0.7457218524843608,15049
14,大漠蒙古麻辣燙,b6au,2,['小吃'],False,9.0,79.0,25.0,15.0,0.8757104519942117,4076
15,古都台南擔仔麵 (南投草屯店),f7um,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.42758160237025566,3231
16,八方雲集 (草屯碧山店),d6bq,2,"['台式', '餃子']",False,9.0,79.0,20.0,10.0,0.4146904701953106,2272
17,可不可熟成紅茶 (南投草屯店),gktp,1,['飲料'],False,19.0,79.0,15.0,5.0,0.8945666568647672,1162
18,2派克雞排 (草屯碧山店),b3vq,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.8761923023003456,2531
19,大觀陳鍋燒麵,e4ou,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.6470364354006564,1750
20,阿呆滷味 (南投草屯店),g7cp,2,['小吃'],False,9.0,79.0,15.0,5.0,0.6320493152034443,85
21,秉峯鍋燒店 (南投草屯店),b6cy,1,"['麵食', '台式']",False,9.0,79.0,25.0,15.0,0.8668509399491067,3084
22,大ㄊ一ㄡ水餃,b5oa,2,"['湯品', '台式', '餃子']",False,9.0,79.0,15.0,5.0,0.8685606459709448,2430
23,戰鬥雞-油雞/醉雞 輕食 (草屯育英店),bxyq,2,['小吃'],False,9.0,79.0,20.0,5.0,0.8996384232017439,80
24,烏弄 (草屯中正店),q0hb,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7193715627809165,1409
25,TEATOP 第一味 (草屯中山店),f8nw,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6828423570652202,2112
26,金禾水餃,zf8p,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,0.7791675055061659,764
27,貓太郎,v8ir,2,"['咖哩', '日式']",False,9.0,79.0,20.0,5.0,0.6926183567984389,146
28,你配我炒 炒飯專賣店,haqb,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,0.6869703182199344,420
29,咚雞咚雞韓式炸雞 (南投草屯店),ccql,2,"['韓式', '炸雞']",False,9.0,79.0,15.0,5.0,0.9511829111597618,225
30,炸 ·飯,xqhz,2,['台式'],False,9.0,79.0,20.0,5.0,0.7110565431338439,178
31,小澄市鮮果茶飲 (草屯總店),d0xp,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6846205142377131,2162
32,魯夫滷味 (南投草屯店),pi3g,2,['小吃'],False,19.0,79.0,20.0,10.0,0.8033957703515743,606
33,多那之 (南投草屯店),hysd,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.8283875526647213,787
34,爭鮮迴轉壽司 (草屯店),o2zg,2,['日式'],False,19.0,79.0,15.0,5.0,0.8855720749811735,1444
35,三商巧福 (4319南投草屯店),p5cx,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.8336200968423304,2078
36,市場口爌肉飯,p0gt,2,['台式'],False,19.0,79.0,15.0,5.0,0.7878413494832418,908
37,宮本武丼 (南投草屯店),ccuh,2,['日式'],False,19.0,79.0,15.0,5.0,0.7350207524494945,503
38,8兩碳烤雞排 (南投草屯店),d2na,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.6402411561212729,1747
39,牛排旺,e5xu,2,"['台式', '牛排']",False,19.0,79.0,20.0,10.0,0.6188585576399717,666
40,潮麻吉 (草屯中山店),oy8l,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.7021896220582895,1331
41,Mr.Wish 鮮果茶玩家 (草屯中正店),k4ze,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7975815510898713,1289
42,大苑子 (草屯中正店),b9qc,2,['飲料'],False,9.0,79.0,15.0,5.0,0.8634979861426635,2189
43,揪嘻美式炸雞 (南投草屯店),b1ai,2,"['歐美', '炸雞']",False,9.0,79.0,20.0,10.0,0.5705089566436533,2452
44,三顧茅廬 (草屯育英店),jt84,2,['小吃'],False,19.0,79.0,15.0,5.0,0.9226706771127806,115
45,朝正泰南洋料理 (南投草屯店),ngyp,2,"['咖哩', '東南亞']",False,9.0,79.0,15.0,5.0,0.6917271441601227,471
46,朝鮮味韓國料理 (南投草屯店),sewp,2,['韓式'],False,19.0,79.0,20.0,10.0,1.2348272120715167,698
47,孫東寶 (草屯太平店),atb0,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,1.0485796279501975,115
48,胖老爹美式炸雞 (南投草屯店),eyz0,2,"['歐美', '炸雞']",True,19.0,79.0,25.0,15.0,0.4373728509370639,692
49,Pizza Hut必勝客 (南投草屯店),d2ig,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.8257198545023172,3658
50,炒飯傳人,b4xd,2,"['便當', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.0404565743887704,3420
51,阿牧家茶AMUSTEA 福山店,b9ca,2,['飲料'],False,9.0,79.0,20.0,5.0,1.0946046152614888,571
52,茶海 (草屯中山店),b2oo,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6425808869105716,2530
53,清心福全 (草屯芬草店),b6pb,2,['飲料'],False,9.0,79.0,15.0,5.0,0.7058830780942075,2470
54,喫茶小舖 (草屯中正店),b5wc,1,['飲料'],False,9.0,79.0,15.0,5.0,0.7215393263367529,1255
55,喫茶小舖 (草屯碧山店),b5my,1,['飲料'],False,19.0,79.0,15.0,5.0,0.5621933381966057,794
56,喫茶小舖 (草屯虎山店),b9is,1,['飲料'],False,9.0,79.0,20.0,5.0,1.87158519693297,1117
57,太空冰城&蔥抓餅,fqz2,1,['小吃'],False,9.0,79.0,15.0,5.0,0.9215366204500077,523
58,根源包ㄚ粉圓,nfs0,1,['飲料'],False,9.0,79.0,20.0,5.0,0.9793401507145552,178
59,联亭泡菜鍋 (南投草屯店),x8k3,3,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.3151021858154237,319
60,麥當勞 (S211 草屯中正店),q4hh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,0.7457218524843608,15049
