,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (基隆七堵店),b8bf,2,"['披薩', '歐美']",False,25.0,79.0,30.0,10.0,0.2679616175707099,2896
1,四海遊龍 (基隆七堵店),z4op,2,"['台式', '餃子']",False,25.0,79.0,30.0,10.0,0.19383701972787853,3721
2,超大杯 (基隆七堵店),a8nf,1,['甜點'],False,25.0,79.0,30.0,5.0,0.07335528668618574,3000
3,火風鼎餛飩意麵,j4f8,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.04757719346446305,657
4,文湯武醬 (七堵永富店),o5kp,2,['小吃'],False,25.0,79.0,30.0,5.0,0.14750246246372653,1087
5,大眾味鹹酥雞,b9xd,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,10.0,0.2055389178630361,809
6,金滿客,v0cg,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.13100218607625505,301
7,CoCo都可 (基隆七堵店),nt1a,2,['飲料'],False,25.0,79.0,30.0,5.0,0.08141626900948865,166
8,港記廣東粥鍋燒麵 (基隆七堵店),o5yf,2,"['中式', '麵食', '粥']",False,25.0,79.0,30.0,5.0,0.11350681651118498,627
9,舞奇雞炸雞 (七堵東新店),k1eh,2,"['歐美', '炸雞']",False,25.0,79.0,30.0,10.0,0.5290617642099922,999
10,三媽臭臭鍋 (七堵明德店),hbwp,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.3142192928128876,535
11,好雞匯鹹水雞 (基隆七堵店),j6x3,2,['小吃'],False,25.0,79.0,30.0,10.0,0.07842425478322329,358
12,快樂QQ球 (基隆七堵店),s2br,1,['甜點'],False,25.0,79.0,30.0,5.0,0.10279091348923103,222
13,魯都香 (七堵店),jxmv,2,['小吃'],True,25.0,79.0,30.0,5.0,0.5913587071483605,272
14,披薩客,t4tt,3,"['披薩', '歐美']",False,25.0,79.0,35.0,10.0,0.6318451460863449,212
15,職人麵工坊 (七堵開元店) x 四海遊龍集團,mo3v,2,"['麵食', '台式']",False,25.0,79.0,40.0,20.0,0.18133321228555752,78
16,水雲朵DrinkStore (七堵明德店),fqxx,2,['飲料'],False,25.0,79.0,30.0,10.0,0.06793733265157371,80
17,Comebuy (基隆七堵店),a3bd,2,['飲料'],False,25.0,79.0,30.0,5.0,0.12290421000050769,3026
18,瑞麟美而美 (七堵站前店),qlxs,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.5242693738882751,185
