,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (基隆仁一店),z6og,2,"['披薩', '歐美']",False,25.0,79.0,35.0,10.0,0.6784433804468081,2509
1,肯德基KFC炸雞漢堡店 (基隆仁一店),z8hv,2,"['甜點', '漢堡', '歐美', '炸雞']",True,25.0,79.0,30.0,5.0,0.43134567576298494,2863
2,聚川園餡餅粥,k2n7,3,['台式'],False,25.0,79.0,40.0,15.0,0.40400504212008204,825
3,Burger King 漢堡王 (基隆仁二店),y6hf,2,"['漢堡', '歐美']",False,25.0,79.0,30.0,5.0,0.21835742799201183,2914
4,厚鍋石頭火鍋,advl,2,"['火鍋', '台式']",False,25.0,79.0,55.0,30.0,0.43415710777608907,61
5,美香齋滷味 (基隆仁一店),z6xm,2,['小吃'],False,25.0,79.0,30.0,5.0,0.3465527151783274,2886
6,大苑子 (基隆義二店),y9ng,2,['飲料'],False,25.0,79.0,35.0,5.0,0.40657404233693645,3442
7,水雲朵DrinkStore (水雲堂義二店),y7xp,2,['飲料'],False,25.0,79.0,35.0,5.0,0.4201700654490456,5479
8,仁愛冰室,z9js,2,['甜點'],False,25.0,79.0,35.0,10.0,0.5260781262429206,1230
9,內湖737豬血糕,d9cv,2,['小吃'],False,25.0,79.0,35.0,10.0,0.8165081709508778,488
10,頂呱呱TKK (基隆愛二店),ytf4,2,"['歐美', '炸雞']",False,25.0,79.0,35.0,10.0,0.49403043664797824,457
11,鮮牧火鍋 (基隆仁愛店),upsj,3,"['火鍋', '台式']",False,25.0,79.0,60.0,30.0,0.6138890759161787,5
12,遠東泡泡冰,f6ze,2,['甜點'],True,25.0,79.0,30.0,5.0,0.19469651663586524,941
13,Bistro Ares 愛力士餐酒館,ivag,2,"['歐美', '麵食']",False,25.0,79.0,40.0,15.0,0.4076899527164301,48
14,臭到府麻辣火鍋,z1yd,3,"['中式', '火鍋']",True,25.0,79.0,35.0,10.0,0.540303847680215,76
15,三兄弟豆花,z1vj,2,['甜點'],False,25.0,79.0,40.0,15.0,0.307080794892079,1928
16,刈堡BAO,z2nk,2,"['湯品', '小吃']",False,25.0,79.0,35.0,5.0,0.6975277542351339,708
17,麥當勞 (S566 基隆義六店),fw5o,2,"['漢堡', '歐美']",False,25.0,79.0,35.0,10.0,0.4661258965487378,647
18,牛丁次郎坊 (基隆廟口支店),a9xg,2,['日式'],False,25.0,79.0,30.0,5.0,0.18106696301186917,1767
19,胡椒香塩酥雞 (基隆精一店)(原永亨),z3yr,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,5.0,0.5465216946334122,2821
20,好運殿日式炸物,y7yp,2,"['小吃', '炸雞', '日式']",False,25.0,79.0,35.0,10.0,0.42939254191048226,2347
21,合家鐵板燒,b1qf,2,"['鐵板燒', '台式']",False,25.0,79.0,30.0,5.0,0.4589001401247712,1582
22,閣樓麵館,z8bp,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,10.0,0.5855749884930547,3083
23,鬼匠拉麵 (基隆廟口店),tny8,2,"['麵食', '日式']",False,25.0,79.0,35.0,5.0,0.3888011930676219,109
24,鴨肉松,z3ok,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,0.7052932179144645,2901
25,車站美香齋滷味 (基隆創始店),t2ll,2,['小吃'],False,25.0,79.0,35.0,5.0,0.7841024008674824,2677
26,摩斯漢堡Mos Burger (基隆仁二店),y3qu,2,"['漢堡', '日式']",False,25.0,79.0,45.0,15.0,0.291479919038494,4341
27,沁茶悅 (基隆義二店),z1os,2,['飲料'],False,25.0,79.0,30.0,5.0,0.4357299365908442,3442
28,拿坡里 (基隆店8105),tg0j,3,"['披薩', '歐美', '炸雞']",False,25.0,79.0,35.0,10.0,0.17448837120280228,1578
29,成功鵝肉麵食館,e8kx,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,1.0121889148575898,3568
30,福勝亭 (基隆店4615),s8ts,2,"['咖哩', '日式']",False,25.0,79.0,35.0,5.0,0.33557446255680273,1272
31,TRUEWIN初韻 (基隆廟口店),z8ch,2,['飲料'],False,25.0,79.0,35.0,5.0,0.3741737744643303,2349
32,黑武藏壽司 (基隆廟口店),f0wq,2,['日式'],False,25.0,79.0,35.0,5.0,0.30881011088015026,807
33,焦糖楓串燒漢方無烟撒粉 (基隆廟口店),xxnk,2,['小吃'],False,25.0,79.0,35.0,5.0,0.3420848946504254,128
34,潮味決．湯滷專門店 (基隆仁二分社),hxxl,2,['台式'],False,25.0,79.0,30.0,5.0,0.226598769209255,58
35,迷客夏 Milksha (基隆廟口店),z39e,2,['飲料'],False,25.0,79.0,35.0,10.0,0.48420523837111096,367
36,Subway (基隆仁愛店),vext,2,['歐美'],False,25.0,79.0,35.0,5.0,0.5146855515326202,2347
37,沖宵人升,ykue,2,"['漢堡', '麵食', '台式']",False,25.0,79.0,35.0,10.0,0.29988380671599424,44
38,三媽臭臭鍋 (基隆仁一店),c0wt,2,"['火鍋', '台式']",False,25.0,79.0,45.0,20.0,0.14405282390844437,1671
39,爭鮮迴轉壽司 (基隆店),q7pd,2,['日式'],False,25.0,79.0,35.0,5.0,0.37279904455237756,1255
40,大眾滷味 (基隆總店),hlgh,2,['小吃'],False,25.0,79.0,35.0,5.0,0.7666887297127796,1363
41,清心福全 (基隆安一店),b2xi,2,['飲料'],False,25.0,79.0,35.0,5.0,1.1419119524023895,1703
42,すき家 Sukiya (基隆港前店),f0fo,2,"['便當', '日式']",False,25.0,79.0,55.0,25.0,0.49658215568626723,8368
43,原彰銀阿環雞排鹹酥雞,e60h,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,5.0,0.34310242025209003,85
44,胖老爹美式炸雞 (基隆仁愛店),kzjq,2,"['歐美', '炸雞']",False,25.0,79.0,40.0,15.0,0.5158533470373534,908
45,麗葉麻辣臭豆腐,z6ae,2,['小吃'],False,25.0,79.0,35.0,5.0,0.2897002658766373,1202
46,八方雲集 (基隆義二店),b5qs,2,"['台式', '餃子']",False,25.0,79.0,35.0,10.0,0.3995392091789045,859
47,月見拉麵．丼飯專賣店,f9cr,2,"['麵食', '日式']",False,25.0,79.0,35.0,10.0,0.3200130279321188,667
48,肯德基KFC炸雞漢堡店 (基隆仁一店),z8hv,2,"['甜點', '漢堡', '歐美', '炸雞']",True,25.0,79.0,30.0,5.0,0.43134567576298494,2863
49,聚川園餡餅粥,k2n7,3,['台式'],False,25.0,79.0,40.0,15.0,0.40400504212008204,825
50,Burger King 漢堡王 (基隆仁二店),y6hf,2,"['漢堡', '歐美']",False,25.0,79.0,30.0,5.0,0.21835742799201183,2914
51,厚鍋石頭火鍋,advl,2,"['火鍋', '台式']",False,25.0,79.0,55.0,30.0,0.43415710777608907,61
52,美香齋滷味 (基隆仁一店),z6xm,2,['小吃'],False,25.0,79.0,30.0,5.0,0.3465527151783274,2886
53,大苑子 (基隆義二店),y9ng,2,['飲料'],False,25.0,79.0,35.0,5.0,0.40657404233693645,3442
54,水雲朵DrinkStore (水雲堂義二店),y7xp,2,['飲料'],False,25.0,79.0,35.0,5.0,0.4201700654490456,5479
55,仁愛冰室,z9js,2,['甜點'],False,25.0,79.0,35.0,10.0,0.5260781262429206,1230
56,內湖737豬血糕,d9cv,2,['小吃'],False,25.0,79.0,35.0,10.0,0.8165081709508778,488
57,頂呱呱TKK (基隆愛二店),ytf4,2,"['歐美', '炸雞']",False,25.0,79.0,35.0,10.0,0.49403043664797824,457
58,鮮牧火鍋 (基隆仁愛店),upsj,3,"['火鍋', '台式']",False,25.0,79.0,60.0,30.0,0.6138890759161787,5
59,遠東泡泡冰,f6ze,2,['甜點'],True,25.0,79.0,30.0,5.0,0.19469651663586524,941
60,Bistro Ares 愛力士餐酒館,ivag,2,"['歐美', '麵食']",False,25.0,79.0,40.0,15.0,0.4076899527164301,48
61,臭到府麻辣火鍋,z1yd,3,"['中式', '火鍋']",True,25.0,79.0,35.0,10.0,0.540303847680215,76
62,三兄弟豆花,z1vj,2,['甜點'],False,25.0,79.0,40.0,15.0,0.307080794892079,1928
63,刈堡BAO,z2nk,2,"['湯品', '小吃']",False,25.0,79.0,35.0,5.0,0.6975277542351339,708
64,麥當勞 (S566 基隆義六店),fw5o,2,"['漢堡', '歐美']",False,25.0,79.0,35.0,10.0,0.4661258965487378,647
65,牛丁次郎坊 (基隆廟口支店),a9xg,2,['日式'],False,25.0,79.0,30.0,5.0,0.18106696301186917,1767
66,胡椒香塩酥雞 (基隆精一店)(原永亨),z3yr,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,5.0,0.5465216946334122,2821
67,好運殿日式炸物,y7yp,2,"['小吃', '炸雞', '日式']",False,25.0,79.0,35.0,10.0,0.42939254191048226,2347
68,合家鐵板燒,b1qf,2,"['鐵板燒', '台式']",False,25.0,79.0,30.0,5.0,0.4589001401247712,1582
69,閣樓麵館,z8bp,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,10.0,0.5855749884930547,3083
70,鬼匠拉麵 (基隆廟口店),tny8,2,"['麵食', '日式']",False,25.0,79.0,35.0,5.0,0.3888011930676219,109
71,鴨肉松,z3ok,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,0.7052932179144645,2901
72,車站美香齋滷味 (基隆創始店),t2ll,2,['小吃'],False,25.0,79.0,35.0,5.0,0.7841024008674824,2677
73,摩斯漢堡Mos Burger (基隆仁二店),y3qu,2,"['漢堡', '日式']",False,25.0,79.0,45.0,15.0,0.291479919038494,4341
74,沁茶悅 (基隆義二店),z1os,2,['飲料'],False,25.0,79.0,30.0,5.0,0.4357299365908442,3442
75,拿坡里 (基隆店8105),tg0j,3,"['披薩', '歐美', '炸雞']",False,25.0,79.0,35.0,10.0,0.17448837120280228,1578
76,成功鵝肉麵食館,e8kx,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,1.0121889148575898,3568
77,福勝亭 (基隆店4615),s8ts,2,"['咖哩', '日式']",False,25.0,79.0,35.0,5.0,0.33557446255680273,1272
78,TRUEWIN初韻 (基隆廟口店),z8ch,2,['飲料'],False,25.0,79.0,35.0,5.0,0.3741737744643303,2349
79,黑武藏壽司 (基隆廟口店),f0wq,2,['日式'],False,25.0,79.0,35.0,5.0,0.30881011088015026,807
80,焦糖楓串燒漢方無烟撒粉 (基隆廟口店),xxnk,2,['小吃'],False,25.0,79.0,35.0,5.0,0.3420848946504254,128
81,潮味決．湯滷專門店 (基隆仁二分社),hxxl,2,['台式'],False,25.0,79.0,30.0,5.0,0.226598769209255,58
82,迷客夏 Milksha (基隆廟口店),z39e,2,['飲料'],False,25.0,79.0,35.0,10.0,0.48420523837111096,367
83,Subway (基隆仁愛店),vext,2,['歐美'],False,25.0,79.0,35.0,5.0,0.5146855515326202,2347
84,沖宵人升,ykue,2,"['漢堡', '麵食', '台式']",False,25.0,79.0,35.0,10.0,0.29988380671599424,44
85,三媽臭臭鍋 (基隆仁一店),c0wt,2,"['火鍋', '台式']",False,25.0,79.0,45.0,20.0,0.14405282390844437,1671
86,爭鮮迴轉壽司 (基隆店),q7pd,2,['日式'],False,25.0,79.0,35.0,5.0,0.37279904455237756,1255
87,大眾滷味 (基隆總店),hlgh,2,['小吃'],False,25.0,79.0,35.0,5.0,0.7666887297127796,1363
88,清心福全 (基隆安一店),b2xi,2,['飲料'],False,25.0,79.0,35.0,5.0,1.1419119524023895,1703
89,すき家 Sukiya (基隆港前店),f0fo,2,"['便當', '日式']",False,25.0,79.0,55.0,25.0,0.49658215568626723,8368
90,原彰銀阿環雞排鹹酥雞,e60h,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,5.0,0.34310242025209003,85
91,胖老爹美式炸雞 (基隆仁愛店),kzjq,2,"['歐美', '炸雞']",False,25.0,79.0,40.0,15.0,0.5158533470373534,908
92,麗葉麻辣臭豆腐,z6ae,2,['小吃'],False,25.0,79.0,35.0,5.0,0.2897002658766373,1202
93,八方雲集 (基隆義二店),b5qs,2,"['台式', '餃子']",False,25.0,79.0,35.0,10.0,0.3995392091789045,859
94,月見拉麵．丼飯專賣店,f9cr,2,"['麵食', '日式']",False,25.0,79.0,35.0,10.0,0.3200130279321188,667
95,富士佳滷味 (基隆仁愛店),a1ad,2,['小吃'],False,25.0,79.0,35.0,5.0,0.3193924909191074,496
96,春陽茶事 (基隆廟口店),wdgs,2,['飲料'],False,25.0,79.0,35.0,5.0,0.313351337719624,1310
97,永亨無骨炸雞 (基隆愛三店),l1f0,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,10.0,0.42550415536401487,40
98,馬家手桿麵 (牛肉麵 水餃),a1js,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,1.4610527756578533,2070
