,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥味登 (基隆新豐店),y8s4,2,"['早餐', '台式']",False,29.0,79.0,35.0,10.0,1.1384604591509266,2847
1,茶老大 (基隆新豐店),z7dn,1,"['咖啡', '飲料']",False,29.0,79.0,30.0,5.0,1.0217081668906562,3950
2,口味香炸雞 (基隆新豐店),b9cq,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.0292875955239686,1487
3,麥當勞 (S452 基隆新豐店),z3fm,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.9424841868703507,14954
4,清心福全 (基隆八斗子店),b2sj,2,['飲料'],False,25.0,79.0,30.0,5.0,0.1907689082909441,3684
5,珍好味永和豆漿,jkrj,2,['小吃'],False,29.0,79.0,30.0,5.0,1.1938316394018191,1082
6,八方雲集 (基隆新豐店),b2th,2,"['台式', '餃子']",False,25.0,79.0,30.0,5.0,1.0869917183788054,2441
7,豪大大雞排,jwei,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.2322817530059327,364
8,Louisa 路易莎 (基隆新豐店),d2ch,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,30.0,5.0,0.9235410913700113,4127
9,浩克健身早餐宵夜 (基隆新豐店),exki,2,['健康餐'],False,29.0,79.0,30.0,5.0,0.8696870245082274,761
10,新豐街鹹水雞 (基隆新豐店),d7if,2,['小吃'],False,29.0,79.0,30.0,5.0,1.163483013842313,1065
11,CoCo都可 (基隆海豐店),woyt,2,['飲料'],False,29.0,79.0,30.0,5.0,1.0481703986446653,308
12,山海屋鐵板燒料理,a9nz,2,"['鐵板燒', '台式']",False,25.0,79.0,30.0,5.0,1.1577342808785849,2363
13,85度C (基隆新豐店),z9yx,2,"['甜點', '咖啡', '蛋糕']",False,29.0,79.0,30.0,5.0,1.0359316290969467,1638
14,包子商行 BAO SO HARD (基隆新豐店),hwoq,2,['小吃'],False,25.0,79.0,30.0,5.0,0.9256754019196404,68
15,「億」蝦仁羹.雞絲肉飯,nz98,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.8885516356183271,77
16,華記無骨鹽酥雞,g3i9,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,5.0,0.9267484306524317,24
17,基隆廟口排骨麵 (基隆新豐店),d5qh,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.9935353732731267,538
18,山海屋2.0,zvk9,2,['台式'],False,25.0,79.0,30.0,5.0,1.1499739570474492,271
19,郎家牛肉麵,v5sn,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,1.096603190344106,16
20,港記鍋燒麵廣東粥,zt56,2,"['麵食', '粥', '台式']",False,25.0,79.0,30.0,5.0,1.108022943090639,126
21,一直來素食酥炸臭豆腐,ae74,2,"['湯品', '素食']",False,29.0,79.0,30.0,5.0,0.977151313434604,118
22,勒卡。德式熱狗堡,izpp,2,['歐美'],False,29.0,79.0,35.0,10.0,1.0985316374913403,74
