,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,清心福全 (基隆麥金店),b2ep,2,['飲料'],False,25.0,79.0,35.0,5.0,0.587696189369155,2209
1,鍋燒麵麵,y2os,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.3765889290278373,3182
2,鮮天下 (基隆麥金店),z4hy,2,"['台式', '餃子']",False,25.0,79.0,30.0,5.0,0.2539804691476707,2988
3,日船章魚小丸子 (基隆麥金店),mffm,2,['甜點'],False,25.0,79.0,30.0,5.0,0.2156066296974518,71
4,Pizza Hut必勝客 (基隆長庚店),z6sd,2,"['披薩', '歐美']",False,25.0,79.0,35.0,10.0,0.6543948625102443,3011
5,八方雲集 (基隆長庚店),b8t1,2,"['台式', '餃子']",False,25.0,79.0,35.0,5.0,0.37709276642524914,304
6,嘉樂炸雞美食,suqa,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,5.0,0.3793427656099577,104
7,麥味登 (基隆麥金店),lywm,2,['台式'],False,25.0,79.0,35.0,5.0,1.0524560211116314,128
8,魯都香 (基隆麥金店),i2mx,2,['小吃'],False,25.0,79.0,35.0,10.0,0.2969361332985155,255
9,85度C (基隆長庚店),z6hi,2,"['甜點', '咖啡', '蛋糕']",False,25.0,79.0,30.0,5.0,0.4171943435824775,797
10,小連蚵仔煎,jemr,2,"['麵食', '小吃']",False,25.0,79.0,35.0,5.0,0.4921600032091836,40
11,達美樂 (基隆復興店),fj5x,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,2.1938241052431406,78
12,夢想網路休閒館 (基隆安樂店),o95k,2,['小吃'],False,25.0,79.0,35.0,10.0,0.3703361065624355,49
13,小阿姨珍珠奶茶,a7ca,1,['飲料'],False,25.0,79.0,35.0,10.0,0.3795237810063409,400
14,STARBUCKS 星巴克 (基隆麥金門市),r5cr,2,"['歐美', '飲料']",False,25.0,79.0,35.0,5.0,0.37614717174637213,1488
15,梅治紅燒肉,y563,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.539959219105871,92
16,安樂美而美,z6nl,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,1.1607603258887607,2217
17,北方大陸餅 (基隆樂利店),kkkj,1,['台式'],False,25.0,79.0,40.0,15.0,0.23795355194713821,60
18,東方美麥金店 (霸味薑母鴨旁),r5sq,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.2337870871609064,526
19,麥味登 (國家新城店),q00p,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.694483605704482,1051
20,東方美 (基隆長庚店),b9dh,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.4562040831979735,1864
21,培福炭烤精緻早餐,gi9j,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,0.41235915867279654,2
22,Haoshih 好實饅頭專賣店,nvqp,2,['小吃'],False,25.0,79.0,40.0,15.0,0.2998840480481165,228
23,亞米早午餐,v5eu,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.4854421347477579,521
24,Louisa 路易莎 (基隆城上城店),f5md,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,40.0,15.0,0.3229052335640585,2870
25,城上城長庚店麥味登,kc4t,2,['台式'],False,25.0,79.0,40.0,15.0,0.30338213158750144,816
26,金仙魯肉飯 (基隆安樂店),y7sk,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,0.40493749201632745,2407
27,幸運草海苔手捲,r7rk,2,['台式'],False,25.0,79.0,40.0,15.0,0.3786313072738021,270
28,滬家自助餐 (基隆安樂店),nbkn,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.378731251459721,443
29,龍記燒臘 (基隆店),y4pg,2,"['便當', '港式']",False,25.0,79.0,40.0,15.0,0.37093678599923163,240
30,悟饕池上飯包 (基隆長庚店),h7r3,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.48819196898157025,15
31,三商巧福 (4272基隆長庚店),c5kn,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,0.44317056613430866,1970
32,輕鬆吃-健身餐盒（基隆長庚店）,io8g,2,"['便當', '健康餐']",False,25.0,79.0,40.0,15.0,0.484320393118122,440
33,懿品小珍 (基隆城上城店),a3pt,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.2902822359802397,1464
34,轉角義式廚坊,b3af,2,['歐美'],False,25.0,79.0,40.0,10.0,0.3818714110055896,1012
35,178美味灶咖,z2ov,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.27116016761441625,444
36,木野和風家庭料理,z7cd,2,['日式'],False,25.0,79.0,40.0,10.0,0.38046491868065235,958
37,薰衣草簡餐,tyo7,3,['台式'],False,25.0,79.0,40.0,15.0,0.3167482316063344,76
38,橋本壽司,d5fc,2,['日式'],False,25.0,79.0,40.0,10.0,0.4162775433926168,459
39,品長安麻辣酸辣粉 (基隆長庚店),lx3z,2,"['中式', '麵食']",False,25.0,79.0,40.0,15.0,0.4955596141170597,5
40,火鍋世家 (基隆長庚店),dsrm,3,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.3102467964896236,35
41,吳記鍋燒麵.火鍋,z1hs,2,"['麵食', '火鍋', '台式']",False,25.0,79.0,40.0,10.0,0.1949382417197327,752
42,春和茶水攤 (基隆市麥金店),zb97,1,['飲料'],False,25.0,79.0,40.0,15.0,0.19153662977702754,6
43,小綠人鹹水雞,nixb,1,['小吃'],False,25.0,79.0,40.0,15.0,0.31977875007605616,0
44,圓圓饞嘴ㄚ,jtbf,2,['小吃'],False,25.0,79.0,40.0,15.0,0.25198732839586413,5
45,何家當歸,d6fl,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.0141488955815765,328
46,基隆廟口鴨肉飯 (基隆仁愛分店),k6rs,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,1.9624870211430328,785
47,QQ烤鴨 (基隆西定店),pd0d,3,['中式'],False,25.0,79.0,40.0,15.0,1.5543355084242856,351
48,鍋燒麵麵,y2os,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.3765889290278373,3182
49,鮮天下 (基隆麥金店),z4hy,2,"['台式', '餃子']",False,25.0,79.0,30.0,5.0,0.2539804691476707,2988
50,日船章魚小丸子 (基隆麥金店),mffm,2,['甜點'],False,25.0,79.0,30.0,5.0,0.2156066296974518,71
51,Pizza Hut必勝客 (基隆長庚店),z6sd,2,"['披薩', '歐美']",False,25.0,79.0,35.0,10.0,0.6543948625102443,3011
52,八方雲集 (基隆長庚店),b8t1,2,"['台式', '餃子']",False,25.0,79.0,35.0,5.0,0.37709276642524914,304
53,嘉樂炸雞美食,suqa,2,"['小吃', '炸雞']",False,25.0,79.0,30.0,5.0,0.3793427656099577,104
54,麥味登 (基隆麥金店),lywm,2,['台式'],False,25.0,79.0,35.0,5.0,1.0524560211116314,128
55,魯都香 (基隆麥金店),i2mx,2,['小吃'],False,25.0,79.0,35.0,10.0,0.2969361332985155,255
56,85度C (基隆長庚店),z6hi,2,"['甜點', '咖啡', '蛋糕']",False,25.0,79.0,30.0,5.0,0.4171943435824775,797
57,小連蚵仔煎,jemr,2,"['麵食', '小吃']",False,25.0,79.0,35.0,5.0,0.4921600032091836,40
58,達美樂 (基隆復興店),fj5x,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,2.1938241052431406,78
59,夢想網路休閒館 (基隆安樂店),o95k,2,['小吃'],False,25.0,79.0,35.0,10.0,0.3703361065624355,49
60,小阿姨珍珠奶茶,a7ca,1,['飲料'],False,25.0,79.0,35.0,10.0,0.3795237810063409,400
61,STARBUCKS 星巴克 (基隆麥金門市),r5cr,2,"['歐美', '飲料']",False,25.0,79.0,35.0,5.0,0.37614717174637213,1488
62,梅治紅燒肉,y563,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.539959219105871,92
63,安樂美而美,z6nl,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,1.1607603258887607,2217
64,北方大陸餅 (基隆樂利店),kkkj,1,['台式'],False,25.0,79.0,40.0,15.0,0.23795355194713821,60
65,東方美麥金店 (霸味薑母鴨旁),r5sq,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.2337870871609064,526
66,麥味登 (國家新城店),q00p,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.694483605704482,1051
67,東方美 (基隆長庚店),b9dh,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.4562040831979735,1864
68,培福炭烤精緻早餐,gi9j,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,0.41235915867279654,2
69,Haoshih 好實饅頭專賣店,nvqp,2,['小吃'],False,25.0,79.0,40.0,15.0,0.2998840480481165,228
70,亞米早午餐,v5eu,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.4854421347477579,521
71,Louisa 路易莎 (基隆城上城店),f5md,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,40.0,15.0,0.3229052335640585,2870
72,城上城長庚店麥味登,kc4t,2,['台式'],False,25.0,79.0,40.0,15.0,0.30338213158750144,816
73,金仙魯肉飯 (基隆安樂店),y7sk,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,0.40493749201632745,2407
74,幸運草海苔手捲,r7rk,2,['台式'],False,25.0,79.0,40.0,15.0,0.3786313072738021,270
75,滬家自助餐 (基隆安樂店),nbkn,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.378731251459721,443
76,龍記燒臘 (基隆店),y4pg,2,"['便當', '港式']",False,25.0,79.0,40.0,15.0,0.37093678599923163,240
77,悟饕池上飯包 (基隆長庚店),h7r3,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,0.48819196898157025,15
78,三商巧福 (4272基隆長庚店),c5kn,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,0.44317056613430866,1970
79,輕鬆吃-健身餐盒（基隆長庚店）,io8g,2,"['便當', '健康餐']",False,25.0,79.0,40.0,15.0,0.484320393118122,440
80,懿品小珍 (基隆城上城店),a3pt,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.2902822359802397,1464
81,轉角義式廚坊,b3af,2,['歐美'],False,25.0,79.0,40.0,10.0,0.3818714110055896,1012
82,178美味灶咖,z2ov,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.27116016761441625,444
83,木野和風家庭料理,z7cd,2,['日式'],False,25.0,79.0,40.0,10.0,0.38046491868065235,958
84,薰衣草簡餐,tyo7,3,['台式'],False,25.0,79.0,40.0,15.0,0.3167482316063344,76
85,橋本壽司,d5fc,2,['日式'],False,25.0,79.0,40.0,10.0,0.4162775433926168,459
86,品長安麻辣酸辣粉 (基隆長庚店),lx3z,2,"['中式', '麵食']",False,25.0,79.0,40.0,15.0,0.4955596141170597,5
87,火鍋世家 (基隆長庚店),dsrm,3,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.3102467964896236,35
88,吳記鍋燒麵.火鍋,z1hs,2,"['麵食', '火鍋', '台式']",False,25.0,79.0,40.0,10.0,0.1949382417197327,752
89,春和茶水攤 (基隆市麥金店),zb97,1,['飲料'],False,25.0,79.0,40.0,15.0,0.19153662977702754,6
90,小綠人鹹水雞,nixb,1,['小吃'],False,25.0,79.0,40.0,15.0,0.31977875007605616,0
91,圓圓饞嘴ㄚ,jtbf,2,['小吃'],False,25.0,79.0,40.0,15.0,0.25198732839586413,5
92,何家當歸,d6fl,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.0141488955815765,328
