,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥味登 (基隆新豐店),y8s4,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,0.9174871935790819,2847
1,Pizza Hut必勝客 (基隆深溪店),z8or,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.6165638295186733,3464
2,饗吃丼 (基隆深美店),r7rn,2,"['便當', '日式']",False,25.0,79.0,30.0,5.0,0.34886952213186506,1627
3,茶老大 (基隆新豐店),z7dn,1,"['咖啡', '飲料']",False,29.0,79.0,35.0,5.0,1.027676828158371,3950
4,口味香炸雞 (基隆新豐店),b9cq,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,5.0,1.0256186666122074,1487
5,萬丹紅豆餅 (基隆深溪店),z1cm,2,['甜點'],False,29.0,79.0,30.0,5.0,0.7714488361675944,662
6,麥當勞 (S452 基隆新豐店),z3fm,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,1.0819114900998898,14954
7,珍好味永和豆漿,jkrj,2,['小吃'],False,29.0,79.0,30.0,5.0,0.8737456402901779,1082
8,六扇門 (基隆信義店),v0fj,2,"['火鍋', '台式']",True,29.0,79.0,45.0,20.0,0.8373875302991862,3826
9,豪大大雞排,jwei,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.8321072352196389,364
10,口福美鐵板燒,p4cy,2,"['鐵板燒', '台式']",False,29.0,79.0,30.0,5.0,0.7361806450757885,233
11,八方雲集 (基隆新豐店),b2th,2,"['台式', '餃子']",False,25.0,79.0,35.0,5.0,0.9648707595439784,2441
12,新豐街鹹水雞 (基隆新豐店),d7if,2,['小吃'],False,29.0,79.0,30.0,5.0,0.8951674336350709,1065
13,亨得利 (基隆深澳店),d7ri,2,['小吃'],False,29.0,79.0,35.0,5.0,1.4217139326302322,2350
14,山海屋鐵板燒料理,a9nz,2,"['鐵板燒', '台式']",False,25.0,79.0,30.0,5.0,0.8971626231514638,2363
15,基隆半桶水魯肉飯,gl4z,2,"['湯品', '台式']",False,25.0,79.0,40.0,15.0,0.7554981531970396,506
16,大眾滷味 (基隆新豐店),z8mr,2,['小吃'],False,25.0,79.0,35.0,5.0,1.0359412406379753,1959
17,阿全烤肉,b1vz,2,['小吃'],False,25.0,79.0,30.0,5.0,0.44180211460914387,830
18,CoCo都可 (基隆海豐店),woyt,2,['飲料'],False,29.0,79.0,35.0,5.0,1.0027076825752728,308
19,艋舺雞排 (基隆深溪店),x8jq,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,0.7691577182256244,2423
20,Louisa 路易莎 (基隆新豐店),d2ch,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,35.0,5.0,1.0914049542514868,4127
21,十全藥燉排骨,wyi9,2,['台式'],False,25.0,79.0,30.0,5.0,0.6251194562579541,19
22,Corner 66 轉角六六咖啡鬆餅舖,b2xt,2,"['甜點', '咖啡']",False,25.0,79.0,30.0,10.0,0.2474463690462407,1035
23,浩克健身早餐宵夜 (基隆新豐店),exki,2,['健康餐'],False,29.0,79.0,35.0,5.0,1.1385904957270363,761
24,川醉湘麻辣燙滷味-深溪店 (川霸子食品),b0iz,2,['小吃'],False,25.0,79.0,35.0,10.0,0.7288355062939637,771
25,爭鮮迴轉壽司 (基隆愛買店),ecas,2,['日式'],False,29.0,79.0,35.0,5.0,0.7023289436379827,357
26,吉野家 Yoshinoya (基隆愛買店),yca1,2,"['便當', '日式']",False,29.0,79.0,35.0,5.0,0.6924787019016649,660
27,拿坡里 (基隆愛買店8164),rg1j,3,"['披薩', '歐美', '炸雞']",False,25.0,79.0,40.0,10.0,0.6797259049697392,676
28,85度C (基隆新豐店),z9yx,2,"['甜點', '咖啡', '蛋糕']",False,29.0,79.0,35.0,5.0,1.0148036747017262,1638
29,老司雞炸全雞專賣店,z6wd,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,10.0,0.4016965867200201,1226
30,包子商行 BAO SO HARD (基隆新豐店),hwoq,2,['小吃'],False,25.0,79.0,35.0,5.0,1.0909931879426567,68
31,山海屋2.0,zvk9,2,['台式'],False,25.0,79.0,30.0,5.0,0.906984448989702,271
32,「億」蝦仁羹.雞絲肉飯,nz98,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,1.1218383517555428,77
33,華記無骨鹽酥雞,g3i9,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,5.0,1.0886379004152322,24
34,基隆廟口排骨麵 (基隆新豐店),d5qh,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,1.0433239256157185,538
35,馬祖奶茶 (基隆深溪店),h3ys,2,['飲料'],False,25.0,79.0,30.0,5.0,0.6169606919065849,264
36,勒卡。德式熱狗堡,izpp,2,['歐美'],False,29.0,79.0,35.0,10.0,1.0082154897949938,74
37,陳家涼麵 炒泡麵,uefy,2,"['麵食', '台式']",False,29.0,79.0,45.0,20.0,0.6299540522203027,187
38,郎家牛肉麵,v5sn,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,0.9637379862032375,16
39,港記鍋燒麵廣東粥,zt56,2,"['麵食', '粥', '台式']",False,25.0,79.0,35.0,5.0,0.9438004429209391,126
40,熊熊可麗餅 (基隆新豐店),u0zx,2,['甜點'],False,29.0,79.0,35.0,10.0,0.9449004067390261,292
41,鍋之日take out-迷你鍋/丼飯專賣,wbov,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,0.756968031369105,177
42,一直來素食酥炸臭豆腐,ae74,2,"['湯品', '素食']",False,29.0,79.0,35.0,5.0,1.0534970567884352,118
43,海滷王,d5lz,2,"['火鍋', '小吃']",False,25.0,79.0,40.0,15.0,1.1186829845919668,957
44,冷滷味（鴨頭、鴨翅、雞腳）,kn87,2,"['火鍋', '台式']",False,25.0,79.0,35.0,5.0,1.040493747915483,42
45,泰正點泰式料理,p0vk,2,"['咖哩', '東南亞']",False,29.0,79.0,40.0,10.0,0.9938946769159186,250
46,饗烏龍 (基隆深美店),xy36,2,"['麵食', '日式']",False,25.0,79.0,30.0,5.0,0.3473330637428623,33
