,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,炒飯國度,lhu2,2,"['湯品', '麵食', '台式']",False,25.0,79.0,25.0,5.0,0.20567218703546572,1857
1,吮指王 (基隆暖暖店),g1ct,2,"['台式', '炸雞']",False,25.0,79.0,30.0,5.0,0.11300476373106746,1351
2,魯都香 (暖暖碇內店),lvrj,2,['小吃'],False,25.0,79.0,30.0,5.0,0.4056912930584737,83
3,清心福全 (基隆暖暖店),b0iq,2,['飲料'],False,25.0,79.0,30.0,5.0,1.831502375033315,4389
4,人義小吃便當,v0un,2,"['湯品', '便當', '台式']",False,25.0,79.0,30.0,10.0,0.35052718561889534,812
5,飯曰食堂,g9sr,2,['台式'],False,25.0,79.0,30.0,10.0,0.25669914240712444,92
6,三媽臭臭鍋 (基隆暖暖店),n5fh,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.5285272327629457,801
7,大呼過癮 (基隆暖暖店),d7br,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,1.7906164508972868,2213
8,牛曰先生,ub3t,2,"['麵食', '台式']",False,25.0,79.0,40.0,20.0,0.24839205857816138,133
9,苗栗客家菜館,b1vh,2,"['麵食', '台式']",False,25.0,79.0,50.0,30.0,0.4596734518059775,1076
10,邱記龍鳳腿,o5tv,2,['小吃'],False,25.0,79.0,30.0,10.0,0.7108394812432469,192
11,乙凡凡咖啡,zerg,1,"['咖啡', '飲料']",False,25.0,79.0,30.0,5.0,0.24932052684964512,111
12,唯莓主義 (基隆暖暖店),l8ls,2,['飲料'],False,29.0,79.0,30.0,5.0,0.44031671216357554,131
13,火炎焱夯肉料理,zno4,2,['小吃'],False,29.0,79.0,40.0,15.0,0.4313464505516195,3
14,諸城水煎包 (基隆暖暖店),lzsk,2,"['湯品', '小吃']",False,25.0,79.0,40.0,15.0,1.595835347656818,289
15,煜前早餐店,e8ca,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,0.12584981921569136,1785
16,陳家早點,d81k,1,"['小吃', '素食']",False,29.0,79.0,40.0,15.0,0.0836447821381942,48
