,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,聚川園餡餅粥,k2n7,3,['台式'],False,25.0,79.0,45.0,15.0,1.3199016713977447,825
1,安樂帕司達,pgjm,2,"['歐美', '麵食']",False,25.0,79.0,35.0,5.0,0.4568667488078505,296
2,仁愛冰室,z9js,2,['甜點'],False,25.0,79.0,35.0,10.0,1.1639800430043326,1230
3,內湖737豬血糕,d9cv,2,['小吃'],False,25.0,79.0,35.0,10.0,0.845592971319829,488
4,茶老大 (基隆孝三店),z9ct,2,['飲料'],False,25.0,79.0,35.0,5.0,0.8374259289933401,2537
5,清心福全 (基隆安一店),b2xi,2,['飲料'],False,25.0,79.0,30.0,5.0,0.5342109507131756,1703
6,頂呱呱TKK (基隆愛二店),ytf4,2,"['歐美', '炸雞']",False,25.0,79.0,35.0,10.0,1.1343553303519862,457
7,鮮牧火鍋 (基隆仁愛店),upsj,3,"['火鍋', '台式']",False,25.0,79.0,60.0,30.0,1.0025511833241405,5
8,順伯三輪車肉圓,f3dp,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.4137861722398046,1928
9,三兄弟豆花,z1vj,2,['甜點'],False,25.0,79.0,45.0,15.0,1.3216999648644945,1928
10,刈堡BAO,z2nk,2,"['湯品', '小吃']",False,25.0,79.0,35.0,5.0,1.0041753305430101,708
11,八方雲集 (基隆西定店),d2mt,2,"['台式', '餃子']",False,25.0,79.0,30.0,5.0,0.24105947769754782,2567
12,蔥鄉牛肉捲餅,wbsb,2,"['湯品', '台式', '餃子']",False,25.0,79.0,30.0,5.0,0.11453039961181415,527
13,雞雞炸炸 (基隆安一店),y8uv,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,5.0,0.41006613731764985,3195
14,基隆古早味 大腸圈，米粉湯 (基隆安一店),hlsm,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,0.4131758697567107,3163
15,肯德基KFC炸雞漢堡店 (基隆忠二店),z7ni,2,"['甜點', '漢堡', '歐美', '炸雞']",True,25.0,79.0,35.0,5.0,0.9213209729269729,3855
16,鴨肉松,z3ok,2,"['湯品', '麵食', '台式']",False,25.0,79.0,35.0,5.0,0.9264203413571986,2901
17,車站美香齋滷味 (基隆創始店),t2ll,2,['小吃'],False,25.0,79.0,35.0,5.0,0.8281630320574489,2677
