,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (宜蘭中山店),b5wo,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,4.061065764641246,2486
1,清原芋圓 (宜蘭東港店),t9nz,2,['甜點'],False,19.0,79.0,25.0,10.0,2.9680889258816316,1124
2,清心福全 (宜蘭中山店),e6ac,2,['飲料'],False,19.0,79.0,20.0,5.0,4.063298063295158,2733
3,85度C (陽明轉運店),qnjr,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.524525846030238,341
4,阿宏魯肉飯,rf3j,2,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,4.154094635927647,929
5,彭蔥油餅,popk,1,['小吃'],False,19.0,79.0,20.0,5.0,3.501431611057583,75
6,麥當勞 (S97 宜蘭新興店),t8wn,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.566084623184545,20009
7,麥香小吃部,dand,2,['台式'],False,19.0,79.0,20.0,5.0,2.932807094664768,521
8,肯德基KFC炸雞漢堡店 (宜蘭舊城店),b3ix,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.9666054575972094,5253
9,元爵味黃燜雞米飯 (宜蘭中山店),amqe,2,['中式'],False,19.0,79.0,20.0,5.0,4.071057349198964,407
10,五路鍋聖 (宜蘭東門店),b1at,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.5450305505925717,4738
11,香亭日式料理,r7ku,2,['日式'],False,19.0,79.0,20.0,5.0,3.5321646650312726,1100
12,東門夜市心心牛排,b9ag,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.502812713585739,2492
13,Burger King 漢堡王 (宜蘭光復店),fc4x,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.644390349141996,1646
14,E炸G (宜蘭延平店),zsiz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.84490439287249,240
15,善美燒仙草,b8hq,1,['甜點'],False,19.0,79.0,20.0,10.0,3.4986979726112084,2034
16,潮麻吉香雞潮牌 (舊城東門店),q3oy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.7445959432524654,273
17,胖老爹美式炸雞 (宜蘭壯圍店),l0q6,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,1.51078890565863,493
18,龜記茗品 (宜蘭中山店),g00b,2,['飲料'],False,19.0,79.0,20.0,5.0,4.055887755240313,293
19,貴族派脆皮雞排 (宜蘭復興總店),b1hl,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,4.575761649474987,5535
20,友情碳烤香雞排,v2cj,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.5583769584992,729
21,可不可熟成紅茶 (宜蘭中山店),zzaq,1,['飲料'],False,19.0,79.0,20.0,5.0,4.054395017100149,2098
22,冰雪 (宜蘭爾本店),t279,2,['甜點'],False,19.0,79.0,20.0,5.0,3.7826204896195494,144
23,牛匠太郎x直火炙燒丼飯 (宜蘭新興店),ieyk,2,"['麵食', '日式']",False,19.0,79.0,20.0,10.0,3.5154943482359142,707
24,東港碳烤王,f8bi,2,['小吃'],False,19.0,79.0,20.0,10.0,3.0612677290248844,1000
25,吮指王 (宜蘭東港店),qcz9,2,"['台式', '炸雞']",False,19.0,79.0,30.0,15.0,3.1594715347358564,387
26,眷村味手工水餃,q5u9,2,"['湯品', '台式', '餃子']",False,19.0,79.0,25.0,10.0,4.163964836494122,567
27,阿春哥雞排,m6rf,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.504327398903934,1233
28,清心福全 (宜蘭陽明店),e9jm,2,['飲料'],False,19.0,79.0,20.0,5.0,3.511838811065532,1935
29,粥粥頌,a2zu,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,4.5677266589327346,3703
30,傳香臭臭鍋,b7dw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.541706288893495,1962
31,牛師父牛排館,m2mg,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,3.542620914408811,920
32,東門夜市沙茶魷魚羹,b9cd,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,3.543242630765847,1169
33,全家牛排,zon1,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,3.509561889292238,835
34,SUBWAY (宜蘭中山店),d1gh,2,['歐美'],True,19.0,79.0,20.0,5.0,4.175717900083704,3202
35,沙茶大王,q9oy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.5328759020562175,725
36,佐藤咖哩 (宜蘭國榮店),e2gy,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,4.43478365108634,1596
37,日船章魚小丸子 (宜蘭宜興店),f0rh,1,"['小吃', '日式']",True,19.0,79.0,20.0,5.0,3.5223197682120486,583
38,餓霸三杯滷味 (宜蘭延平店),fffo,2,['小吃'],False,19.0,79.0,20.0,10.0,3.086336231196371,341
39,85度C (宜蘭壯圍店),q8mg,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,1.6139288856926903,427
40,夜市痛風粥,kfjw,2,"['麵食', '粥', '台式']",False,19.0,79.0,20.0,5.0,4.117024619168534,80
41,地攤牛排,bf10,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,3.799905459377799,72
42,巧義食坊,b5wn,2,"['歐美', '麵食']",False,19.0,79.0,30.0,15.0,4.033458027920831,2450
43,山之水叉燒肉焿,l2lc,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.147687458153744,897
44,喜歡的小龍湯包,wqpg,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.10306638885886,254
45,東山鴨頭 (宜蘭東門夜市店),b8ue,2,['小吃'],False,19.0,79.0,20.0,5.0,3.5190934581040216,1499
46,阿智痛風粥,crx0,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,4.1019875353162725,118
47,石頭牛肉麵,knu6,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.600881667831408,700
48,清原芋圓 (宜蘭東港店),t9nz,2,['甜點'],False,19.0,79.0,25.0,10.0,2.9680889258816316,1124
49,清心福全 (宜蘭中山店),e6ac,2,['飲料'],False,19.0,79.0,20.0,5.0,4.063298063295158,2733
50,85度C (陽明轉運店),qnjr,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.524525846030238,341
51,阿宏魯肉飯,rf3j,2,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,4.154094635927647,929
52,彭蔥油餅,popk,1,['小吃'],False,19.0,79.0,20.0,5.0,3.501431611057583,75
53,麥當勞 (S97 宜蘭新興店),t8wn,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.566084623184545,20009
54,麥香小吃部,dand,2,['台式'],False,19.0,79.0,20.0,5.0,2.932807094664768,521
55,肯德基KFC炸雞漢堡店 (宜蘭舊城店),b3ix,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.9666054575972094,5253
56,元爵味黃燜雞米飯 (宜蘭中山店),amqe,2,['中式'],False,19.0,79.0,20.0,5.0,4.071057349198964,407
57,五路鍋聖 (宜蘭東門店),b1at,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.5450305505925717,4738
58,香亭日式料理,r7ku,2,['日式'],False,19.0,79.0,20.0,5.0,3.5321646650312726,1100
59,東門夜市心心牛排,b9ag,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.502812713585739,2492
60,Burger King 漢堡王 (宜蘭光復店),fc4x,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.644390349141996,1646
