,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,夢想Bar,iab0,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.4780153406577137,16
1,米歐牛排,cq3u,2,"['台式', '牛排']",False,19.0,79.0,30.0,15.0,3.4955191219910153,290
2,Pizza Hut必勝客 (宜蘭外送店),b2zr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.927057743815093,3165
3,鶴茶樓 (宜蘭復興店),yra9,2,['飲料'],False,19.0,79.0,20.0,10.0,2.976347488519264,678
4,阿宏魯肉飯,rf3j,2,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,3.7096050687190836,929
5,魔術廚房,r4ys,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.8278757153367726,3189
6,輕熟女極品鹽水雞,v9yl,2,['小吃'],False,19.0,79.0,20.0,5.0,2.90918124703908,1562
7,彭蔥油餅,popk,1,['小吃'],False,19.0,79.0,20.0,5.0,3.7626728997249264,75
8,麥當勞 (S97 宜蘭新興店),t8wn,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.615416933213202,20009
9,宜蘭阿亮雞排,b1ys,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9232414074306017,6133
10,貴族派脆皮雞排 (宜蘭復興總店),b1hl,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.011666047946218,5535
11,肯德基KFC炸雞漢堡店 (宜蘭舊城店),b3ix,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.4701543331397238,5253
12,高師傅滷味 (宜蘭店),k1sq,2,['小吃'],False,19.0,79.0,20.0,10.0,2.7074206623880452,1247
13,陽光田園牛排Pasta (宜蘭店),a8jo,3,"['歐美', '麵食', '牛排']",False,19.0,79.0,20.0,10.0,2.646459724506492,2626
14,粥粥頌,a2zu,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,2.9447024592808964,3703
15,魯都香 (宜蘭女中店),b5cj,2,['小吃'],False,19.0,79.0,20.0,10.0,2.6923513271123007,2332
16,元爵味黃燜雞米飯 (宜蘭中山店),amqe,2,['中式'],False,19.0,79.0,20.0,5.0,4.018336489634599,407
17,陳記香濃麻辣臭豆腐,b2hl,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,25.0,15.0,3.009841072286645,2653
18,迷客夏 Milksha (宜蘭神農店),b3oj,2,['飲料'],False,19.0,79.0,20.0,5.0,2.731491356493653,3444
19,傻師傅湯包 (宜蘭女中店),a5kl,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,5.0,2.6512696207332396,2940
20,石頭牛肉麵,knu6,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.0268819423263937,700
21,Burger King 漢堡王 (宜蘭光復店),fc4x,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.4534283381424706,1646
22,五路鍋聖 (宜蘭東門店),b1at,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.7834287891879375,4738
23,韓食韓式小吃,nexc,2,"['韓式', '麵食']",False,19.0,79.0,20.0,10.0,3.014055915350037,972
24,喜歡的小龍湯包,wqpg,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.6698595862451406,254
25,胖老爹美式炸雞 (宜蘭宜大店),d1sd,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,2.703551004726114,3011
26,朱仔小餐館,afsj,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.615765609883092,168
27,冰雪 (宜蘭爾本店),t279,2,['甜點'],False,19.0,79.0,20.0,5.0,3.1931553040079663,144
28,香亭日式料理,r7ku,2,['日式'],False,19.0,79.0,20.0,5.0,3.7800911193171913,1100
29,您好雞排,wzct,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.961984012814695,103
30,龍角 Dragon Horn (宜蘭宜大店),vxbr,2,['飲料'],False,19.0,79.0,20.0,5.0,2.882326133687627,157
31,潮麻吉 (宜蘭神農店),j1zm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.724761508334951,2906
32,佐藤咖哩 (宜蘭國榮店),e2gy,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,3.453520185589629,1596
33,東門夜市心心牛排,b9ag,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.7645480654972774,2492
34,麥香小吃部,dand,2,['台式'],False,19.0,79.0,20.0,5.0,3.973773499622063,521
35,清心福全 (宜蘭陽明店),e9jm,2,['飲料'],False,19.0,79.0,20.0,5.0,2.940474524324629,1935
36,水雲朵DrinkStore (宜蘭宜大店),zucs,2,['飲料'],False,19.0,79.0,20.0,5.0,2.892060497281152,264
37,龜記茗品 (宜蘭中山店),g00b,2,['飲料'],False,19.0,79.0,20.0,5.0,4.101184953249845,293
38,文湯武醬 (宜蘭神農店),z75i,2,['小吃'],False,19.0,79.0,20.0,5.0,2.957020782229464,122
39,SUBWAY (宜蘭中山店),d1gh,2,['歐美'],True,19.0,79.0,20.0,5.0,3.460637769339918,3202
40,復興飲料鹹酥雞店,tmji,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.202071055020918,203
41,蕃茄義式廚房 (宜蘭總店),c7oj,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.635827041627016,578
42,玉品軒,i1di,2,['飲料'],False,19.0,79.0,20.0,5.0,2.971299872190874,1678
43,牛媽媽牛肉麵,ku4y,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,2.9935998717666363,358
44,老賴茶棧 (宜蘭店),a3jq,2,['飲料'],False,19.0,79.0,20.0,5.0,2.9036082921191517,2298
45,可不可熟成紅茶 (宜蘭中山店),zzaq,1,['飲料'],False,19.0,79.0,20.0,5.0,4.111828161108364,2098
46,七盞茶 (宜蘭神農店),w41v,2,['飲料'],False,19.0,79.0,20.0,10.0,2.8840511481496796,753
47,大學城滷味,v0gg,2,['小吃'],False,19.0,79.0,25.0,15.0,2.9671639942776857,1334
48,米歐牛排,cq3u,2,"['台式', '牛排']",False,19.0,79.0,30.0,15.0,3.4955191219910153,290
49,Pizza Hut必勝客 (宜蘭外送店),b2zr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.927057743815093,3165
50,鶴茶樓 (宜蘭復興店),yra9,2,['飲料'],False,19.0,79.0,20.0,10.0,2.976347488519264,678
51,阿宏魯肉飯,rf3j,2,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,3.7096050687190836,929
52,魔術廚房,r4ys,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.8278757153367726,3189
53,輕熟女極品鹽水雞,v9yl,2,['小吃'],False,19.0,79.0,20.0,5.0,2.90918124703908,1562
54,彭蔥油餅,popk,1,['小吃'],False,19.0,79.0,20.0,5.0,3.7626728997249264,75
55,麥當勞 (S97 宜蘭新興店),t8wn,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.615416933213202,20009
56,宜蘭阿亮雞排,b1ys,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9232414074306017,6133
57,貴族派脆皮雞排 (宜蘭復興總店),b1hl,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.011666047946218,5535
58,肯德基KFC炸雞漢堡店 (宜蘭舊城店),b3ix,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.4701543331397238,5253
59,高師傅滷味 (宜蘭店),k1sq,2,['小吃'],False,19.0,79.0,20.0,10.0,2.7074206623880452,1247
60,陽光田園牛排Pasta (宜蘭店),a8jo,3,"['歐美', '麵食', '牛排']",False,19.0,79.0,20.0,10.0,2.646459724506492,2626
61,粥粥頌,a2zu,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,2.9447024592808964,3703
62,魯都香 (宜蘭女中店),b5cj,2,['小吃'],False,19.0,79.0,20.0,10.0,2.6923513271123007,2332
63,元爵味黃燜雞米飯 (宜蘭中山店),amqe,2,['中式'],False,19.0,79.0,20.0,5.0,4.018336489634599,407
64,陳記香濃麻辣臭豆腐,b2hl,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,25.0,15.0,3.009841072286645,2653
65,迷客夏 Milksha (宜蘭神農店),b3oj,2,['飲料'],False,19.0,79.0,20.0,5.0,2.731491356493653,3444
66,傻師傅湯包 (宜蘭女中店),a5kl,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,5.0,2.6512696207332396,2940
67,石頭牛肉麵,knu6,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.0268819423263937,700
68,Burger King 漢堡王 (宜蘭光復店),fc4x,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.4534283381424706,1646
69,五路鍋聖 (宜蘭東門店),b1at,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.7834287891879375,4738
