,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Burger King 漢堡王 (淡水新市店),b4bs,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,5.0,1.5722756334988688,3555
1,鐘予原味當歸鴨 (淡水大忠店),klq7,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.0599483388414668,1286
2,K.S Food Court,chhp,2,"['麵食', '台式']",False,29.0,79.0,40.0,20.0,1.1048915098036431,496
3,Pizza Hut必勝客 (淡水新市店),z6fi,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,0.48115567661293546,4059
4,孫東寶 (淡水英專店),ot70,2,"['台式', '牛排']",False,29.0,79.0,35.0,10.0,1.5678271297386088,523
5,夏果子-派對系鮮果飲品,g484,2,['飲料'],False,29.0,79.0,30.0,5.0,0.9917722360534358,86
6,A邁-御軒 (淡水大忠店),e5zr,2,['飲料'],False,29.0,79.0,25.0,5.0,0.9693579393922002,1847
7,士林廟口阿輝麵線 (淡江大學店),f0sr,2,"['麵食', '小吃']",False,29.0,79.0,25.0,5.0,1.0549418165416091,2991
8,泰雲閣雲泰料理,z2bi,3,['東南亞'],True,29.0,79.0,35.0,10.0,1.5634162085719336,536
9,TNT美式炭烤牛排,q8ve,3,"['歐美', '牛排']",False,29.0,79.0,35.0,10.0,1.9495530746528154,767
10,台北永和豆漿大王 (淡水新春店),r0mf,1,['小吃'],False,29.0,79.0,25.0,5.0,0.5577256563960916,7828
11,麥當勞 (S447 淡水新市店),z4ef,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.47593527414328246,12856
12,鬍鬚張魯肉飯 (淡水新市店),a0vq,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,0.35067217484350843,5917
13,董家炒飯,kn7l,2,"['麵食', '台式']",False,29.0,79.0,40.0,20.0,1.1870193705061043,1766
14,楊家豆花,b0ce,1,['甜點'],False,29.0,79.0,30.0,10.0,0.6600029652399039,5090
15,味滿食堂 (家樂福淡新店),p9lp,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,0.24788405555275578,1485
16,無刺虱目魚肚粥,b9rf,2,"['湯品', '粥', '台式']",False,29.0,79.0,25.0,5.0,0.921342758407708,1602
17,Louisa 路易莎 (淡水新市店),hwiy,2,"['咖啡', '蛋糕', '歐美']",False,29.0,79.0,25.0,5.0,0.39066518355999336,953
18,小鮮味快炒,t4ch,3,['台式'],False,29.0,79.0,25.0,5.0,0.9422250801279648,1403
19,琉球山日式拉麵店,z0pi,2,"['麵食', '日式']",False,29.0,79.0,30.0,10.0,1.0106468071352435,3870
20,龍鹽酥雞 (新北淡大店),r89n,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.0590222947454548,422
21,雞跩哥狂野韓式炸雞,i8hg,2,"['韓式', '炸雞']",False,29.0,79.0,25.0,5.0,1.0349014623240649,1597
