,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,功夫茶KUNGFUTEA (蘆洲民族店),vrft,2,['飲料'],False,29.0,79.0,30.0,5.0,1.025897427420402,212
1,好客雞肉飯無刺虱目魚專賣店 (新北蘆洲店),cpxi,2,"['湯品', '台式']",False,29.0,79.0,40.0,15.0,0.8405418378389125,446
2,小鍋仔 (蘆洲長安店),e3xc,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,1.5433693390663337,4117
3,孫東寶 (蘆洲復興店),p6hq,2,"['台式', '牛排']",False,29.0,79.0,30.0,5.0,0.6672754575818137,64
4,大呼過癮 (蘆洲得勝店),a7fc,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,0.8946881342989518,1006
5,上紅臭臭鍋 (蘆洲信義店),kvrl,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,0.8974993190420465,1304
6,Burger King 漢堡王 (新北蘆洲店),y4rt,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,5.0,1.277613350947656,6307
7,萬波島嶼紅茶 (蘆洲光華店),vnep,2,['飲料'],False,29.0,79.0,30.0,5.0,0.9390102031865072,553
8,陳先生麵線、臭豆腐、咖哩飯、甜不辣、牛肉麵,a7xw,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.7752666677308894,9637
9,口吅品麻辣臭豆腐 (新北蘆洲成功店),a6yw,2,['台式'],True,29.0,79.0,30.0,5.0,0.9837224429322605,1851
10,That's ok 괜찮아 韓式餐酒館,jkna,3,"['韓式', '麵食', '炸雞']",False,29.0,79.0,50.0,25.0,1.083682204129118,2
11,甘釜京韓日燒肉料理,vjhv,2,['韓式'],False,29.0,79.0,40.0,15.0,1.0841019007977055,1
12,幸福生炒花枝,kbln,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.1511372806902354,98
13,鏊屋串燒·壽司·酒場 (新北蘆洲店),z0ea,3,['日式'],False,29.0,79.0,30.0,5.0,0.5055520646485594,405
14,樂釜極上鍋物 (蘆洲長榮店),jmgd,3,"['中式', '火鍋']",False,29.0,79.0,50.0,25.0,1.2437022875869443,66
15,燈來拉麵,en9o,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.8762263939069538,39
16,正官木桶鍋 (蘆洲總店),m5yy,3,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.3613516895604514,198
17,文岩文 (新北蘆洲店),oma2,3,"['火鍋', '台式']",False,29.0,79.0,35.0,10.0,1.296108216836673,28
18,すき家 Sukiya (蘆洲三民店),z5tw,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.5078984097259938,16873
19,龍鹽酥雞 (新北蘆洲店),y7qp,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.3874505521425546,3144
20,深夜未歸 (新北蘆洲店) 早餐 中餐 晚餐 宵夜,aivj,2,['台式'],False,29.0,79.0,30.0,5.0,0.7340807283570402,1115
21,鬼匠拉麵 (蘆洲店),a4uf,2,"['麵食', '日式']",True,29.0,79.0,30.0,5.0,1.179336669505309,3835
22,麥當勞 (S517 蘆洲長榮店),y1ld,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,1.2205101325788918,12776
23,搶雞王,f0xe,2,"['便當', '台式', '炸雞']",False,29.0,79.0,30.0,5.0,0.6878134493433156,1750
24,鬍鬚張魯肉飯 (蘆洲長榮店),y4cg,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,1.2429869110674907,5917
25,螢河義大利麵,a1lb,2,"['歐美', '麵食']",False,29.0,79.0,30.0,5.0,1.0401460603728307,2389
26,流氓雞排 (蘆洲光華店),b7vs,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.0979260235165995,3589
27,超好吃東山鴨頭,pcuf,2,['小吃'],False,29.0,79.0,30.0,5.0,0.23636777714397503,85
28,九湯屋日式拉麵 (蘆洲復興店),y7ru,2,"['麵食', '日式']",True,29.0,79.0,30.0,5.0,0.7097767100177671,2372
29,享樂義廚,y6wg,2,"['披薩', '歐美']",False,29.0,79.0,30.0,5.0,1.3167792736328214,4036
30,阿鴻魚翅肉羹便當,z2sz,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,0.9108828824314935,2185
31,口吅品麻辣臭豆腐 (蘆洲光華店),a9yu,2,['台式'],True,29.0,79.0,30.0,5.0,1.1622751262163724,1545
32,肯德基KFC炸雞漢堡店 (三重三和店),y4gx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,35.0,5.0,1.7770568447774497,4916
33,雞優穀養生藥膳 (新北蘆洲店),a3gu,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.002151928367092,2596
34,北大牛排 (新北蘆洲店),k5ka,2,"['台式', '牛排']",False,29.0,79.0,30.0,10.0,0.6850685638330859,836
35,阿芳魯肉飯創始店,l5te,2,"['湯品', '台式']",False,29.0,79.0,40.0,15.0,1.2450282590731434,1012
36,豪大大雞排 (新北蘆洲三民店),a4sd,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.6701565598207785,2743
