,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (羅東外送店),b5ki,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.2681291441674348,2763
1,昕丼一碗小羊肉,k3ff,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.4912129955864332,1133
2,筷饌平價熱炒,ayq9,3,['台式'],False,15.0,79.0,15.0,5.0,1.057189638633142,116
3,Burger King 漢堡王 (羅東興東店),kx8i,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,0.32086447498380505,775
4,就要醬滷 (羅東國華店),l6wa,2,['小吃'],False,15.0,79.0,15.0,5.0,0.6193058419131382,53
5,水雲朵DrinkStore (羅東公正店),edkh,2,['飲料'],False,19.0,79.0,15.0,5.0,0.3603296063367102,454
6,鶴茶樓-鶴頂紅茶商店 (羅東成功店),q2ho,2,['飲料'],False,15.0,79.0,15.0,5.0,0.9174871448742544,2054
7,清心福全 (羅東維揚店),f8uu,1,['飲料'],False,15.0,79.0,15.0,5.0,0.9438213315254826,1756
8,小春糕渣卜肉 (羅東郵局店),h6zp,2,['小吃'],True,19.0,79.0,15.0,10.0,0.3027644880224031,364
9,石頭屋牛排專賣店,o9vo,3,"['歐美', '牛排']",False,19.0,79.0,20.0,10.0,1.0869296331154636,423
10,冰雪冷飲部 (羅東總店),jyzk,2,['甜點'],False,19.0,79.0,15.0,5.0,0.5012708773027125,1296
11,愛情海佰元熱炒,xkcg,3,"['湯品', '台式']",False,19.0,79.0,40.0,25.0,1.2162131237037952,815
12,麥當勞 (S75 羅東興東店),r2oh,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.2805997478715659,16606
13,鷄邀鷄肉飯,urzy,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,15.0,0.6117031338816075,5993
14,肯德基KFC炸雞漢堡店 (羅東興東店),b8jv,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,0.2676517778269677,5950
15,皇家貴族派 (羅東大同店),wqjm,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.6256747336153271,1781
16,八方雲集 (羅東民權店),v7j8,2,"['台式', '餃子']",False,15.0,79.0,15.0,5.0,0.3615334427774929,382
17,鬼匠拉麵 (羅東中華店),njay,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.12115362898394107,951
18,喬培義式廚房 (宜蘭羅東店),d3yz,2,['歐美'],False,19.0,79.0,15.0,5.0,0.7418171494539879,4886
19,永利廣東粥 (羅東店),e2sa,1,"['中式', '粥']",False,19.0,79.0,15.0,5.0,0.35805279157768444,2918
20,食至名龜 (宜蘭羅東店),ls8o,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,15.0,5.0,0.7147318677185306,93
21,芳香食坊 (夜市民權店),q8os,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.4823890559489158,1942
22,麻將麻辣臭豆腐 (宜蘭羅東店),ulr2,2,['小吃'],False,19.0,79.0,15.0,5.0,0.3525161690714303,787
23,可不可熟成紅茶 (羅東民權店),gqb4,1,['飲料'],False,19.0,79.0,15.0,5.0,0.37120761931683627,1816
24,王記炒飯,d6o4,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.30066170883130267,493
25,五桐號 WooTea (羅東公正店),q5wr,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6820341427129025,145
26,粉食韓式小吃店 (羅東店),b5kf,2,['韓式'],False,19.0,79.0,15.0,5.0,0.7218195775342983,2936
27,極鮮雞雞排專賣店,b7jp,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.18665268126512635,2844
28,皇家貴族派 (宜蘭羅商店),g6jc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.9736831204728562,1422
29,爭鮮迴轉壽司 (羅東店),d019,2,['日式'],False,19.0,79.0,15.0,5.0,0.22226316594955392,745
