,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (汐止大同店),z9vc,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,30.0,5.0,0.7333943916657724,4143
1,迷客夏 Milksha (新北汐止店),b5ne,2,['飲料'],False,29.0,79.0,35.0,5.0,0.8676415505007212,2691
2,茶湯會 (汐止新台五店),aa9x,2,['飲料'],False,29.0,79.0,30.0,5.0,0.29637769817185466,982
3,水雲朵DrinkStore (汐止店),z5ql,2,['飲料'],False,29.0,79.0,30.0,5.0,0.47367083056156417,3105
4,水雲朵DrinkStore (汐止忠孝店),m5g5,2,['飲料'],False,29.0,79.0,35.0,5.0,0.9100658752917065,160
5,京茶山飲料店 (汐止大同店),y9qq,2,['飲料'],False,29.0,79.0,35.0,5.0,0.6146443753426811,6080
6,Burger King 漢堡王 (新北汐止店),y1oz,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,5.0,0.7596112197253412,3777
7,鬍鬚張魯肉飯 (汐止新台五店),y3dq,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.4021335571977992,8026
8,周胖子 (新北汐止店),zipi,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,0.34498801575929605,1632
9,九湯屋日式拉麵 (新北汐止店),a6pu,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.45961513189815656,2336
10,真粥到,z3bm,2,"['粥', '台式']",False,29.0,79.0,35.0,5.0,1.0753639204324386,5766
11,長昇小吃店炒泡麵中式蓋飯,faew,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5814995268618637,553
12,麥當勞 (S334 汐止新台五店),p0sh,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.32342155413258544,3297
13,50嵐 (汐止大同店),d2xm,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6123557479807908,5734
14,吉野家 Yoshinoya (汐止新台五店),y9qa,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.4124415194766965,4594
15,噴射雞鹹水雞,h6cs,2,['小吃'],False,29.0,79.0,30.0,5.0,0.0854823317500769,833
16,阿榮肉圓,sn3f,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5276675931677409,385
17,摩斯漢堡Mos Burger (汐止台五店),y4lt,2,"['漢堡', '日式']",False,29.0,79.0,45.0,15.0,0.32362829192345693,6317
18,呷呼霸佰元鍋物 (新北汐止店),q4ns,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,0.33882021691981407,2798
19,北味香永和豆漿,fzpl,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6676018948003417,2355
20,潮味決．湯滷專門店 (汐止大同分社),brfb,2,['台式'],False,29.0,79.0,30.0,5.0,0.5811047846054493,962
21,圓多立鐵板燒,y4ao,2,"['鐵板燒', '台式']",False,29.0,79.0,35.0,5.0,0.8561744285591708,1432
22,粥族廣東粥海鮮麵,p4ov,2,"['中式', '粥']",False,29.0,79.0,30.0,5.0,0.27734566690866524,1665
23,功夫大帝 南洋麵食,ia8k,2,"['麵食', '東南亞']",False,29.0,79.0,35.0,5.0,0.5479912924434354,142
24,車頭永和豆漿,nbo3,2,['小吃'],False,29.0,79.0,35.0,5.0,1.0002687822052363,393
25,爭鮮迴轉壽司 (汐止店),m0ds,2,['日式'],False,29.0,79.0,30.0,5.0,0.33555140777573667,829
26,Pizza Hut必勝客 (汐止大同店),z9xw,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.7026061717658751,2856
27,三媽臭臭鍋 (汐止大同店),o6bd,2,"['火鍋', '台式']",False,29.0,79.0,45.0,15.0,0.5973685569240789,4156
28,爆Q美式炸雞 (汐止店),y5jb,3,"['歐美', '炸雞']",False,29.0,79.0,40.0,10.0,0.6389107417808659,3152
29,焦糖楓串燒漢方無烟 (新北汐止店),gwme,2,['小吃'],False,29.0,79.0,35.0,10.0,1.0014006599282876,662
30,烤霸串燒,b9da,2,['小吃'],False,29.0,79.0,35.0,10.0,0.761746558081585,2293
31,7號鬆餅屋 (汐止仁愛店),d3jz,2,['甜點'],False,29.0,79.0,30.0,5.0,0.43647783177577243,1415
32,拾壹香牛肉麵食館 (新北汐止店),ca2v,2,"['麵食', '台式']",False,29.0,79.0,30.0,5.0,0.47225569364263803,55
33,男子漢拉麵食堂 (汐止站前店),j9fa,2,"['麵食', '日式']",False,29.0,79.0,35.0,5.0,0.9047019847016948,999
34,Louisa 路易莎 (汐止大同店),fg1s,2,"['咖啡', '蛋糕', '歐美']",False,29.0,79.0,35.0,5.0,0.5625561760416675,859
35,滿大碗 麻辣燙炒滷味,czn4,2,['小吃'],False,29.0,79.0,40.0,15.0,0.6346899144916891,595
36,清心福全 (汐止連興店),b1yl,2,['飲料'],False,29.0,79.0,30.0,5.0,0.31107652073771275,1396
37,敘舊日式平價串燒,ngjo,2,['日式'],False,29.0,79.0,35.0,5.0,0.5704064585861419,37
38,八方雲集 (汐止新台五店),b5zq,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.31107652073771275,1067
39,SUBWAY (IFG遠雄店),y5td,2,['歐美'],False,29.0,79.0,35.0,5.0,0.8831694268717946,2679
40,狀元香滷味 (汐止忠孝東路店),d703,2,['小吃'],False,29.0,79.0,40.0,10.0,0.9881609574338439,595
41,CoCo都可 (汐止忠孝店),ufp6,2,['飲料'],False,29.0,79.0,35.0,5.0,0.9408489951024139,275
42,OMP創義廚房 (汐止店),y6mr,3,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.41529999461868217,987
43,可不可熟成紅茶 (汐止忠孝店),ee4o,2,['飲料'],False,29.0,79.0,40.0,10.0,0.977458378789943,1017
44,老先覺功夫窯燒鍋 (汐止連興MiNi店),zcvx,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,0.3825054219658693,823
45,超大杯 (汐止忠孝店),a0no,1,['甜點'],False,29.0,79.0,35.0,5.0,0.953042710060357,2597
46,蔡頭小吃店,cck2,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.714999597007566,524
47,17號古早味豬腸冬粉,s6dw,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.5504960492385198,42
48,迷客夏 Milksha (新北汐止店),b5ne,2,['飲料'],False,29.0,79.0,35.0,5.0,0.8676415505007212,2691
49,茶湯會 (汐止新台五店),aa9x,2,['飲料'],False,29.0,79.0,30.0,5.0,0.29637769817185466,982
50,水雲朵DrinkStore (汐止店),z5ql,2,['飲料'],False,29.0,79.0,30.0,5.0,0.47367083056156417,3105
51,水雲朵DrinkStore (汐止忠孝店),m5g5,2,['飲料'],False,29.0,79.0,35.0,5.0,0.9100658752917065,160
52,京茶山飲料店 (汐止大同店),y9qq,2,['飲料'],False,29.0,79.0,35.0,5.0,0.6146443753426811,6080
53,Burger King 漢堡王 (新北汐止店),y1oz,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,5.0,0.7596112197253412,3777
54,鬍鬚張魯肉飯 (汐止新台五店),y3dq,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.4021335571977992,8026
55,周胖子 (新北汐止店),zipi,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,0.34498801575929605,1632
56,九湯屋日式拉麵 (新北汐止店),a6pu,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.45961513189815656,2336
57,真粥到,z3bm,2,"['粥', '台式']",False,29.0,79.0,35.0,5.0,1.0753639204324386,5766
58,長昇小吃店炒泡麵中式蓋飯,faew,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5814995268618637,553
59,麥當勞 (S334 汐止新台五店),p0sh,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.32342155413258544,3297
60,50嵐 (汐止大同店),d2xm,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6123557479807908,5734
61,吉野家 Yoshinoya (汐止新台五店),y9qa,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.4124415194766965,4594
62,噴射雞鹹水雞,h6cs,2,['小吃'],False,29.0,79.0,30.0,5.0,0.0854823317500769,833
63,阿榮肉圓,sn3f,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5276675931677409,385
64,摩斯漢堡Mos Burger (汐止台五店),y4lt,2,"['漢堡', '日式']",False,29.0,79.0,45.0,15.0,0.32362829192345693,6317
65,呷呼霸佰元鍋物 (新北汐止店),q4ns,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,0.33882021691981407,2798
66,北味香永和豆漿,fzpl,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6676018948003417,2355
67,潮味決．湯滷專門店 (汐止大同分社),brfb,2,['台式'],False,29.0,79.0,30.0,5.0,0.5811047846054493,962
68,圓多立鐵板燒,y4ao,2,"['鐵板燒', '台式']",False,29.0,79.0,35.0,5.0,0.8561744285591708,1432
69,粥族廣東粥海鮮麵,p4ov,2,"['中式', '粥']",False,29.0,79.0,30.0,5.0,0.27734566690866524,1665
70,功夫大帝 南洋麵食,ia8k,2,"['麵食', '東南亞']",False,29.0,79.0,35.0,5.0,0.5479912924434354,142
71,車頭永和豆漿,nbo3,2,['小吃'],False,29.0,79.0,35.0,5.0,1.0002687822052363,393
72,爭鮮迴轉壽司 (汐止店),m0ds,2,['日式'],False,29.0,79.0,30.0,5.0,0.33555140777573667,829
73,Pizza Hut必勝客 (汐止大同店),z9xw,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.7026061717658751,2856
74,三媽臭臭鍋 (汐止大同店),o6bd,2,"['火鍋', '台式']",False,29.0,79.0,45.0,15.0,0.5973685569240789,4156
75,爆Q美式炸雞 (汐止店),y5jb,3,"['歐美', '炸雞']",False,29.0,79.0,40.0,10.0,0.6389107417808659,3152
76,焦糖楓串燒漢方無烟 (新北汐止店),gwme,2,['小吃'],False,29.0,79.0,35.0,10.0,1.0014006599282876,662
77,烤霸串燒,b9da,2,['小吃'],False,29.0,79.0,35.0,10.0,0.761746558081585,2293
78,7號鬆餅屋 (汐止仁愛店),d3jz,2,['甜點'],False,29.0,79.0,30.0,5.0,0.43647783177577243,1415
79,拾壹香牛肉麵食館 (新北汐止店),ca2v,2,"['麵食', '台式']",False,29.0,79.0,30.0,5.0,0.47225569364263803,55
80,男子漢拉麵食堂 (汐止站前店),j9fa,2,"['麵食', '日式']",False,29.0,79.0,35.0,5.0,0.9047019847016948,999
81,Louisa 路易莎 (汐止大同店),fg1s,2,"['咖啡', '蛋糕', '歐美']",False,29.0,79.0,35.0,5.0,0.5625561760416675,859
82,滿大碗 麻辣燙炒滷味,czn4,2,['小吃'],False,29.0,79.0,40.0,15.0,0.6346899144916891,595
83,清心福全 (汐止連興店),b1yl,2,['飲料'],False,29.0,79.0,30.0,5.0,0.31107652073771275,1396
84,敘舊日式平價串燒,ngjo,2,['日式'],False,29.0,79.0,35.0,5.0,0.5704064585861419,37
85,八方雲集 (汐止新台五店),b5zq,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.31107652073771275,1067
86,SUBWAY (IFG遠雄店),y5td,2,['歐美'],False,29.0,79.0,35.0,5.0,0.8831694268717946,2679
87,狀元香滷味 (汐止忠孝東路店),d703,2,['小吃'],False,29.0,79.0,40.0,10.0,0.9881609574338439,595
