,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (宜蘭礁溪店),zjln,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,4.912978213500891,1224
1,麥當勞 (S511 頭城青雲店),yv5n,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.8681738115704074,707
2,珍湘碳烤,i5zl,2,['小吃'],False,19.0,79.0,20.0,10.0,3.6425415325642376,1231
3,CoCo都可 (宜蘭頭城店),uavy,2,['飲料'],False,19.0,79.0,15.0,5.0,3.6144024736482834,271
4,潮麻吉香雞潮牌 (頭城開蘭店),wij6,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.5183650889623803,189
5,八方雲集 (宜蘭礁溪店),e0lt,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,4.987307136208574,2701
6,礁溪大碗公牛肉麵,b1fi,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,5.0930020936365645,2722
7,小酌食趣熱炒,q6qz,2,['台式'],False,19.0,79.0,15.0,5.0,3.482140498375077,740
8,陽光田園牛排pasta (宜蘭頭城店),l76t,3,"['歐美', '麵食', '牛排']",False,19.0,79.0,20.0,5.0,4.040570263131994,593
9,胖老爹美式炸雞 (宜蘭頭城店),r8se,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,3.7178464202342467,1429
10,七嘴八舌 (宜蘭頭城店),p4eb,2,['小吃'],True,19.0,79.0,20.0,10.0,3.5699014692212434,331
11,蕃茄義式廚房 (宜蘭頭城店),rwff,2,['歐美'],False,19.0,79.0,20.0,10.0,4.1971135448218355,227
12,小龍湯包 (宜蘭礁溪店),v2pj,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,5.071632005634905,2480
13,快樂小吃,b5tl,1,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,5.078616007646758,1856
14,邊間brunch,a3fl,2,['甜點'],False,19.0,79.0,20.0,10.0,4.301965348727174,866
15,摩斯漢堡Mos Burger (宜蘭礁溪店),f7qn,2,"['漢堡', '日式']",False,19.0,79.0,30.0,15.0,4.947669509501039,1920
16,紅茶洋行 (頭城民鋒店),c4eh,1,['飲料'],False,19.0,79.0,20.0,5.0,3.6895510496612047,646
17,STARBUCKS 星巴克 (宜蘭頭城門市),i3o1,2,"['歐美', '飲料']",False,19.0,79.0,20.0,5.0,4.129844447059534,122
18,COMEBUY (宜蘭礁溪店),b3xg,2,['飲料'],False,19.0,79.0,20.0,5.0,4.738895070947061,4748
19,瑞麟美而美早餐 (晨美早餐屋),sopo,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,5.030611138777965,1106
20,早安有約早午餐,k4vs,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,5.205079098964577,427
