,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,慕婕麵店,i512,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.2856772070656789,372
1,南方澳倫記臭豆腐,f7t4,2,['小吃'],False,15.0,79.0,20.0,5.0,0.46478912505753345,135
2,萬里香茶坊&皇家貴族派雞排,p0ca,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.831468903399567,2573
3,胖少爺夜宵,wywg,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.353824060892678,466
4,水巷茶弄 (蘇澳中山店),x3hj,2,['飲料'],False,19.0,79.0,20.0,5.0,2.565619337221519,1004
5,CoCo都可 (宜蘭蘇澳店),xz01,2,['飲料'],False,19.0,79.0,25.0,5.0,2.58222084208594,273
6,陽光田園牛排pasta (宜蘭蘇澳店),j7nc,3,"['歐美', '麵食', '牛排']",False,19.0,79.0,25.0,10.0,2.9848814983146514,1117
7,胖老爹美式炸雞 (宜蘭蘇澳店),c2dr,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,5.0,2.673614840389021,1456
8,黑瀧堂 (宜蘭蘇澳店),hw85,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5661027678115254,130
9,E炸G (宜蘭蘇澳店),h1ud,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.5637511281443226,1728
10,吮指王 (蘇澳中山店),jk9j,2,"['台式', '炸雞']",False,19.0,79.0,25.0,5.0,2.5296029090136214,479
11,羅莎牛排館,i3ot,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,2.7284031113067755,988
12,八方雲集 (宜蘭蘇澳店),bxzh,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.479885743251974,100
13,玖茶,fjou,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.655552480060854,54
14,港口小販,henw,2,"['披薩', '歐美', '麵食', '咖哩']",False,15.0,79.0,25.0,10.0,2.451075853038063,22
15,太祖魷魚羹 (宜蘭蘇澳店),czc6,1,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.5041697320914595,86
16,華姐黑輪,nzk0,2,['小吃'],False,15.0,79.0,25.0,5.0,2.4284530123126586,64
17,夜宵食堂,krzp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,2.6631332426345025,9
18,85度C (宜蘭蘇澳店),v5iz,2,"['甜點', '咖啡', '蛋糕', '飲料']",False,15.0,79.0,25.0,5.0,2.4761941376671976,8
19,三八海鮮,cczs,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,0.45503751372244094,79
20,鴨炸 (宜蘭蘇澳店),e3d8,2,['小吃'],False,19.0,79.0,25.0,10.0,2.4558397661113722,101
21,雙醬咖哩 (宜蘭蘇澳店),agm7,2,"['咖哩', '日式']",False,19.0,79.0,30.0,10.0,2.7018821962624235,250
22,晴雨家私房料理,utky,1,"['咖哩', '台式']",False,15.0,79.0,30.0,15.0,2.7855535284962056,2
23,紅茶洋行 (蘇澳中山店),t8zy,1,['飲料'],False,19.0,79.0,20.0,5.0,2.501132793817138,1943
24,麥味登 (宜蘭蘇澳店),zi1y,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.9302709690643947,317
25,美而美早餐店 (宜蘭蘇澳店),u5ba,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.1210996977270398,1301
26,日升豆漿,zhkm,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,2.9080502365114653,16
27,東家食坊 (意麵、廣東粥),v2si,2,"['早餐', '粥', '台式']",False,15.0,79.0,40.0,15.0,3.1199074566972547,1449
28,海安早午餐,pimh,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.283424303688375,284
29,樂窩早午餐,m1by,1,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.06293083550137,2529
30,拉亞漢堡 (蘇澳中山店),j7yy,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.5335781501182733,158
31,壽司亭,fr7d,2,['日式'],False,15.0,79.0,40.0,15.0,0.5570722768519291,8
32,陳舍早午餐,c3so,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.844494226224716,930
33,重口味鍋燒麵,h1lt,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.45017356657935764,253
34,白巷子 (宜蘭蘇澳店),ijlp,2,['飲料'],False,15.0,79.0,40.0,15.0,2.8188600462308155,65
35,梁社漢排骨 (蘇澳中山店),ckhq,2,"['便當', '台式']",False,15.0,79.0,40.0,15.0,2.5878250335386777,10
36,悟饕池上飯包 (宜蘭蘇澳店),j5lz,2,"['便當', '台式']",True,15.0,79.0,40.0,15.0,2.6703187006929126,96
37,蘇澳佐食坊,p3wv,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,2.7412860394247573,931
38,粉食韓式小吃 (宜蘭蘇澳店),ljnk,2,['韓式'],False,15.0,79.0,40.0,15.0,2.5257933610817482,75
39,阿火師食坊,k9kw,2,['台式'],False,15.0,79.0,40.0,15.0,0.31019840509473984,58
40,六扇門 (宜蘭蘇澳店),lnai,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.2914943820263884,403
41,京坊牛排,uqf3,2,"['台式', '牛排']",False,19.0,79.0,40.0,15.0,2.745630695593622,282
42,路得小火鍋,r2gi,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.999211897467564,223
43,舞食鍋物,u48m,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.92540274823669,107
44,馬蔥餅 (宜蘭蘇澳店),m2dj,1,['小吃'],False,19.0,79.0,40.0,15.0,2.9584528716179834,375
45,蘇嘻餐飲 SUSI_CAFE,yyrd,2,"['咖啡', '蛋糕', '台式']",False,19.0,79.0,40.0,15.0,2.6514225702358587,49
46,蘇澳營養三明治,n2pc,1,"['小吃', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.7784270300393143,836
47,蟹老闆10元壽司 (蘇澳中山店),bhyy,2,['日式'],False,15.0,79.0,40.0,15.0,2.5196112130494748,12
48,南方澳倫記臭豆腐,f7t4,2,['小吃'],False,15.0,79.0,20.0,5.0,0.46478912505753345,135
49,萬里香茶坊&皇家貴族派雞排,p0ca,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.831468903399567,2573
50,胖少爺夜宵,wywg,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.353824060892678,466
51,水巷茶弄 (蘇澳中山店),x3hj,2,['飲料'],False,19.0,79.0,20.0,5.0,2.565619337221519,1004
52,CoCo都可 (宜蘭蘇澳店),xz01,2,['飲料'],False,19.0,79.0,25.0,5.0,2.58222084208594,273
53,陽光田園牛排pasta (宜蘭蘇澳店),j7nc,3,"['歐美', '麵食', '牛排']",False,19.0,79.0,25.0,10.0,2.9848814983146514,1117
54,胖老爹美式炸雞 (宜蘭蘇澳店),c2dr,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,5.0,2.673614840389021,1456
55,黑瀧堂 (宜蘭蘇澳店),hw85,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5661027678115254,130
56,E炸G (宜蘭蘇澳店),h1ud,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.5637511281443226,1728
57,吮指王 (蘇澳中山店),jk9j,2,"['台式', '炸雞']",False,19.0,79.0,25.0,5.0,2.5296029090136214,479
58,羅莎牛排館,i3ot,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,2.7284031113067755,988
59,八方雲集 (宜蘭蘇澳店),bxzh,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.479885743251974,100
60,玖茶,fjou,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.655552480060854,54
61,港口小販,henw,2,"['披薩', '歐美', '麵食', '咖哩']",False,15.0,79.0,25.0,10.0,2.451075853038063,22
62,太祖魷魚羹 (宜蘭蘇澳店),czc6,1,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.5041697320914595,86
63,華姐黑輪,nzk0,2,['小吃'],False,15.0,79.0,25.0,5.0,2.4284530123126586,64
64,夜宵食堂,krzp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,2.6631332426345025,9
65,85度C (宜蘭蘇澳店),v5iz,2,"['甜點', '咖啡', '蛋糕', '飲料']",False,15.0,79.0,25.0,5.0,2.4761941376671976,8
66,三八海鮮,cczs,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,0.45503751372244094,79
67,鴨炸 (宜蘭蘇澳店),e3d8,2,['小吃'],False,19.0,79.0,25.0,10.0,2.4558397661113722,101
68,雙醬咖哩 (宜蘭蘇澳店),agm7,2,"['咖哩', '日式']",False,19.0,79.0,30.0,10.0,2.7018821962624235,250
69,晴雨家私房料理,utky,1,"['咖哩', '台式']",False,15.0,79.0,30.0,15.0,2.7855535284962056,2
70,紅茶洋行 (蘇澳中山店),t8zy,1,['飲料'],False,19.0,79.0,20.0,5.0,2.501132793817138,1943
71,麥味登 (宜蘭蘇澳店),zi1y,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.9302709690643947,317
72,美而美早餐店 (宜蘭蘇澳店),u5ba,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.1210996977270398,1301
73,日升豆漿,zhkm,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,2.9080502365114653,16
74,東家食坊 (意麵、廣東粥),v2si,2,"['早餐', '粥', '台式']",False,15.0,79.0,40.0,15.0,3.1199074566972547,1449
75,海安早午餐,pimh,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.283424303688375,284
76,樂窩早午餐,m1by,1,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.06293083550137,2529
77,拉亞漢堡 (蘇澳中山店),j7yy,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.5335781501182733,158
78,壽司亭,fr7d,2,['日式'],False,15.0,79.0,40.0,15.0,0.5570722768519291,8
79,陳舍早午餐,c3so,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.844494226224716,930
80,重口味鍋燒麵,h1lt,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.45017356657935764,253
81,白巷子 (宜蘭蘇澳店),ijlp,2,['飲料'],False,15.0,79.0,40.0,15.0,2.8188600462308155,65
82,梁社漢排骨 (蘇澳中山店),ckhq,2,"['便當', '台式']",False,15.0,79.0,40.0,15.0,2.5878250335386777,10
83,悟饕池上飯包 (宜蘭蘇澳店),j5lz,2,"['便當', '台式']",True,15.0,79.0,40.0,15.0,2.6703187006929126,96
84,蘇澳佐食坊,p3wv,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,2.7412860394247573,931
85,粉食韓式小吃 (宜蘭蘇澳店),ljnk,2,['韓式'],False,15.0,79.0,40.0,15.0,2.5257933610817482,75
86,阿火師食坊,k9kw,2,['台式'],False,15.0,79.0,40.0,15.0,0.31019840509473984,58
87,六扇門 (宜蘭蘇澳店),lnai,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.2914943820263884,403
88,京坊牛排,uqf3,2,"['台式', '牛排']",False,19.0,79.0,40.0,15.0,2.745630695593622,282
89,路得小火鍋,r2gi,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.999211897467564,223
90,舞食鍋物,u48m,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.92540274823669,107
91,馬蔥餅 (宜蘭蘇澳店),m2dj,1,['小吃'],False,19.0,79.0,40.0,15.0,2.9584528716179834,375
92,蘇嘻餐飲 SUSI_CAFE,yyrd,2,"['咖啡', '蛋糕', '台式']",False,19.0,79.0,40.0,15.0,2.6514225702358587,49
93,蘇澳營養三明治,n2pc,1,"['小吃', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.7784270300393143,836
94,蟹老闆10元壽司 (蘇澳中山店),bhyy,2,['日式'],False,15.0,79.0,40.0,15.0,2.5196112130494748,12
95,TEATOP 第一味 (蘇澳中山店),r7od,2,['飲料'],False,15.0,79.0,40.0,15.0,3.5196290921637163,39
96,咔必娜就是炸雞 (宜蘭蘇澳店),ua4x,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,2.936426988751388,118
97,戰鬥雞-油雞/醉雞 輕食 (宜蘭蘇澳店),cz90,2,"['小吃', '健康餐']",False,15.0,79.0,40.0,15.0,3.061157933472369,86
98,KLG (宜蘭蘇澳店),t8fm,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,15.0,2.8488041330035174,184
99,ToDo早午餐 (宜蘭蘇澳店),ixgo,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.791564572460129,2623
