,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,皇家貴族派雞排 (宜蘭冬山店),e2oz,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.994348102522817,1257
1,來來刈包 (宜蘭冬山店),e1xm,1,"['湯品', '小吃']",False,19.0,79.0,15.0,5.0,0.964644150238911,778
2,么捌捌滷味,ndd9,2,['小吃'],False,19.0,79.0,30.0,20.0,0.3985205359492959,73
3,吃香喝辣,l0fa,2,"['麵食', '台式']",False,19.0,79.0,15.0,10.0,0.992255831793522,482
4,正大雞排/尼可食坊,x6dv,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,10.0,0.9813094836316638,1010
5,小風箏雪花冰,e5za,1,['甜點'],False,19.0,79.0,15.0,5.0,1.094624776447761,421
6,金讚羊肉爐,kbeo,3,"['火鍋', '台式']",False,19.0,79.0,15.0,10.0,0.8017961063644591,13
7,E炸G (宜蘭成興店),p8rd,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.187765499573609,1053
8,甜心餐館,gqa5,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,3.936661033739817,809
9,一番食坊,t9rn,2,"['麵食', '台式']",False,15.0,79.0,35.0,25.0,4.172245888833425,1288
10,COMEBUY (宜蘭冬山店),l8wn,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0133692214513974,1613
11,全盛飯麵館,u1b6,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.145597159821631,829
12,和力堡早午餐,fims,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.260351074981704,488
13,麥味登 (宜蘭冬山店),krx9,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.9245464365895781,848
14,梅菇通心麵,ujfz,1,['台式'],False,19.0,79.0,40.0,15.0,0.6024781544830179,99
15,龍鳳堡 (宜蘭永興店),h7ii,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.152766532529489,1339
16,食六號早午餐,txfk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,4.164443471645881,2097
17,花現華夏早餐店,g8nn,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,4.164305040529512,1137
18,豆漿姑 (宜蘭冬山店),ovfo,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,0.9843991036942995,33
19,港覺廣式腸粉,f4yw,2,"['湯品', '港式']",False,19.0,79.0,40.0,15.0,0.5341245754621483,499
20,利澤豆漿店,h9ko,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,5.222958016998181,14
21,一口福魷魚羹,n4dj,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,1.24236360438906,1106
22,铁支路早午餐,e7rf,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,1.1039758599997318,885
