,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,烤北邊,oz1r,2,['小吃'],False,29.0,79.0,30.0,10.0,0.6986645417610274,22
1,27號炒牛羊肉x特色炒飯,yi62,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.7770003286970323,4264
2,首爾韓食館,y6ep,2,"['韓式', '火鍋']",False,29.0,79.0,40.0,15.0,0.451296672086449,2654
3,Skylark洋食.芳鄰 (新店家樂福店),e7fz,3,"['歐美', '麵食']",False,29.0,79.0,45.0,15.0,0.35765904917743435,739
4,四海遊龍 (新店中正店),y7sn,2,"['台式', '餃子']",False,29.0,79.0,30.0,10.0,0.369621407208819,6188
5,七盞茶 (新店中正店),c9sa,2,['飲料'],False,29.0,79.0,40.0,15.0,0.43173855545223944,449
6,Louisa 路易莎 (新店耕莘店),nk10,2,"['咖啡', '歐美']",False,29.0,79.0,30.0,5.0,0.920472498723778,30
7,清心福全 (新店五峰店),z6gs,2,['飲料'],False,29.0,79.0,30.0,5.0,0.49038264942901605,1437
8,默沫手作飲品 (新北北新店),tb36,2,['飲料'],False,29.0,79.0,30.0,5.0,1.007452083284548,172
9,清心福全 (新店民族店),a7xu,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7471792017420777,1566
10,旺達熱炒,n3d2,2,"['湯品', '台式']",False,29.0,79.0,40.0,15.0,0.3713519020783822,268
11,粥師傅廣東粥 (新店中正店),f1gc,2,"['中式', '粥']",True,29.0,79.0,30.0,5.0,0.3825529754510907,3258
12,朱記餡餅粥 (新北新店店),rxes,2,"['中式', '麵食', '粥']",False,29.0,79.0,30.0,5.0,0.32303814477970444,254
13,鬍鬚張魯肉飯 (新店中正店),y7fl,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.323759796279777,5760
14,永和大世界豆漿大王,pkeb,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6363412595923534,761
15,麥當勞 (S22 新店北新店),d0qf,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.05570073434724996,10190
16,Burger King 漢堡王 (新北七張店),y7zm,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.11532872188489604,11406
17,初原麵場 (新店北新店),d5b4,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.12777358055883262,869
18,星島海南雞飯 (新店中正店),jpej,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,0.3305013069435266,630
19,林蜀塾川味麵堂,z4lc,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.06768255963694655,1660
20,四季永和豆漿,k99l,2,['小吃'],False,29.0,79.0,30.0,5.0,0.7702814470804549,697
21,七張米粉湯,y7xc,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.9243370584240861,8219
22,周胖子 (新北北新店),k8gp,2,"['湯品', '台式', '餃子']",False,29.0,79.0,35.0,10.0,0.3025849622161808,864
23,犇頂牛排 (新店中華店),f8lj,2,"['台式', '牛排']",False,29.0,79.0,30.0,5.0,0.6918708110739401,1158
24,炸老大鹹酥雞 (新店北新店),b3wh,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.7169280426031371,2322
25,迷客夏 Milksha (新北新店店),e3qy,2,['飲料'],False,29.0,79.0,30.0,5.0,0.13635760274192948,2844
26,肯德基KFC炸雞漢堡店 (新店北新店),z7gj,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.10736381322135281,3099
27,阿扁麵線專賣店,d7gh,2,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.4358703810412003,2216
28,龜記茗品 (新店家樂福店),i4ml,2,['飲料'],False,29.0,79.0,30.0,5.0,0.40889727563145056,1314
29,一生懸鷄 (新北中正店),p9vz,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.6468398708153623,1059
30,台茶1号 (新店七張店),d8pt,2,['飲料'],False,29.0,79.0,30.0,5.0,0.2703611547795304,1129
31,韓笑味韓式餐廳,ir5b,3,"['韓式', '麵食']",False,29.0,79.0,30.0,5.0,0.7486986954119038,896
32,SUBWAY (新北七張店),y9hp,2,['歐美'],False,29.0,79.0,30.0,5.0,0.20444434314074456,5982
33,可不可熟成紅茶 (新店寶橋店),daz3,2,['飲料'],False,29.0,79.0,30.0,5.0,0.12374002172462335,1163
34,Mrs. Mapo 麻婆豆腐 (家樂福新店店),qjkr,2,['中式'],False,29.0,79.0,30.0,5.0,0.39369846072206416,56
35,鳳梨達人當季水果&鮮榨果汁,q8x8,2,['健康餐'],False,29.0,79.0,30.0,5.0,0.36251348736386313,373
36,五匠集吃吃鍋,w0gc,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,0.9369028307621676,7455
37,三顧茅廬 (新北新店店),g0pd,2,['小吃'],False,29.0,79.0,30.0,10.0,0.36328061232209335,891
38,通化街米粉湯 (輝哥米粉湯),qzbk,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,1.0468774602221445,2238
39,口吅品麻辣臭豆腐 (新北中正店),b8hx,2,['台式'],False,29.0,79.0,30.0,5.0,0.4083406097440895,882
40,青青豆花,a1lp,2,['甜點'],False,29.0,79.0,35.0,10.0,0.14832566448526027,1386
41,Jinsu korean Brunch,d6ty,2,['韓式'],False,29.0,79.0,30.0,5.0,0.620102532666366,1918
42,口吅品麻辣臭豆腐平價牛排複合店 (新北新店光明店),a7wp,2,"['台式', '牛排']",False,29.0,79.0,30.0,5.0,1.0837461763405216,2037
43,周莊涼麵 金華肉羹,y9ku,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.8603168210718217,2244
44,梁社漢排骨 (新店建國店),n7tb,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.6967490945026227,1519
45,三商巧福 (4224新店店),m3yq,2,"['麵食', '台式']",False,29.0,79.0,35.0,15.0,0.3418067802062754,1025
46,13古早味大腸麵線 (新北新店店),w00q,2,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.647709981852719,429
47,搖滾披薩Pizza Rock (新北新店店),b8ay,3,"['披薩', '歐美']",False,29.0,79.0,30.0,5.0,0.32622682500897837,1525
48,27號炒牛羊肉x特色炒飯,yi62,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.7770003286970323,4264
49,首爾韓食館,y6ep,2,"['韓式', '火鍋']",False,29.0,79.0,40.0,15.0,0.451296672086449,2654
50,Skylark洋食.芳鄰 (新店家樂福店),e7fz,3,"['歐美', '麵食']",False,29.0,79.0,45.0,15.0,0.35765904917743435,739
51,四海遊龍 (新店中正店),y7sn,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.369621407208819,6188
52,七盞茶 (新店中正店),c9sa,2,['飲料'],False,29.0,79.0,40.0,15.0,0.43173855545223944,449
53,Louisa 路易莎 (新店耕莘店),nk10,2,"['咖啡', '歐美']",False,29.0,79.0,35.0,5.0,0.920472498723778,30
54,清心福全 (新店五峰店),z6gs,2,['飲料'],False,29.0,79.0,30.0,5.0,0.49038264942901605,1437
55,默沫手作飲品 (新北北新店),tb36,2,['飲料'],False,29.0,79.0,30.0,5.0,1.007452083284548,172
56,清心福全 (新店民族店),a7xu,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7471792017420777,1566
57,旺達熱炒,n3d2,2,"['湯品', '台式']",False,29.0,79.0,40.0,15.0,0.3713519020783822,268
58,粥師傅廣東粥 (新店中正店),f1gc,2,"['中式', '粥']",True,29.0,79.0,30.0,5.0,0.3825529754510907,3258
59,朱記餡餅粥 (新北新店店),rxes,2,"['中式', '麵食', '粥']",False,29.0,79.0,30.0,5.0,0.32303814477970444,254
60,鬍鬚張魯肉飯 (新店中正店),y7fl,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.323759796279777,5760
61,永和大世界豆漿大王,pkeb,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6363412595923534,761
62,麥當勞 (S22 新店北新店),d0qf,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.05570073434724996,10190
63,Burger King 漢堡王 (新北七張店),y7zm,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.11532872188489604,11406
64,初原麵場 (新店北新店),d5b4,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.12777358055883262,869
65,星島海南雞飯 (新店中正店),jpej,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,0.3305013069435266,630
66,林蜀塾川味麵堂,z4lc,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.06768255963694655,1660
67,四季永和豆漿,k99l,2,['小吃'],False,29.0,79.0,30.0,5.0,0.7702814470804549,697
68,七張米粉湯,y7xc,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.9243370584240861,8219
69,周胖子 (新北北新店),k8gp,2,"['湯品', '台式', '餃子']",False,29.0,79.0,35.0,10.0,0.3025849622161808,864
70,犇頂牛排 (新店中華店),f8lj,2,"['台式', '牛排']",False,29.0,79.0,30.0,5.0,0.6918708110739401,1158
71,炸老大鹹酥雞 (新店北新店),b3wh,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.7169280426031371,2322
72,迷客夏 Milksha (新北新店店),e3qy,2,['飲料'],False,29.0,79.0,30.0,5.0,0.13635760274192948,2844
73,肯德基KFC炸雞漢堡店 (新店北新店),z7gj,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.10736381322135281,3099
74,阿扁麵線專賣店,d7gh,2,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.4358703810412003,2216
75,龜記茗品 (新店家樂福店),i4ml,2,['飲料'],False,29.0,79.0,30.0,5.0,0.40889727563145056,1314
76,一生懸鷄 (新北中正店),p9vz,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.6468398708153623,1059
77,台茶1号 (新店七張店),d8pt,2,['飲料'],False,29.0,79.0,30.0,5.0,0.2703611547795304,1129
78,韓笑味韓式餐廳,ir5b,3,"['韓式', '麵食']",False,29.0,79.0,30.0,5.0,0.7486986954119038,896
79,SUBWAY (新北七張店),y9hp,2,['歐美'],False,29.0,79.0,30.0,5.0,0.20444434314074456,5982
80,可不可熟成紅茶 (新店寶橋店),daz3,2,['飲料'],False,29.0,79.0,30.0,5.0,0.12374002172462335,1163
81,Mrs. Mapo 麻婆豆腐 (家樂福新店店),qjkr,2,['中式'],False,29.0,79.0,30.0,5.0,0.39369846072206416,56
