,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好客雞肉飯無刺虱目魚專賣店 (新北蘆洲店),cpxi,2,"['湯品', '台式']",False,29.0,79.0,35.0,15.0,0.2503772367953401,446
1,小鍋仔 (蘆洲長安店),e3xc,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,1.1561707518531883,4117
2,大呼過癮 (蘆洲得勝店),a7fc,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.22104873594085,1006
3,Burger King 漢堡王 (新北蘆洲店),y4rt,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,5.0,0.8124541577007163,6307
4,萬波島嶼紅茶 (蘆洲光華店),vnep,2,['飲料'],False,29.0,79.0,30.0,5.0,0.8619884681028201,553
5,陳先生麵線、臭豆腐、咖哩飯、甜不辣、牛肉麵,a7xw,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,1.3841637260762045,9637
6,口吅品麻辣臭豆腐 (新北蘆洲成功店),a6yw,2,['台式'],True,29.0,79.0,30.0,5.0,1.1139284705521497,1851
7,上紅臭臭鍋 (蘆洲光華店),b8bu,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,0.8076677995339856,4760
8,紅茶洋行 (蘆洲民族店),l1fx,2,['飲料'],False,29.0,79.0,30.0,5.0,0.9778480920676843,389
9,口吅品麻辣臭豆腐 (蘆洲光華店),a9yu,2,['台式'],True,29.0,79.0,30.0,5.0,0.8109061929536535,1545
10,甘釜京韓日燒肉料理,vjhv,2,['韓式'],False,29.0,79.0,35.0,15.0,0.326377725014222,1
11,That's ok 괜찮아 韓式餐酒館,jkna,3,"['韓式', '麵食', '炸雞']",False,29.0,79.0,50.0,25.0,0.3259702946206767,2
12,幸福生炒花枝,kbln,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.635621331409656,98
13,鏊屋串燒·壽司·酒場 (新北蘆洲店),z0ea,3,['日式'],False,29.0,79.0,30.0,5.0,0.8592288562753201,405
14,樂釜極上鍋物 (蘆洲長榮店),jmgd,3,"['中式', '火鍋']",False,29.0,79.0,45.0,25.0,0.7199989259245643,66
15,燈來拉麵,en9o,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.540669924609199,39
16,文岩文 (新北蘆洲店),oma2,3,"['火鍋', '台式']",False,29.0,79.0,35.0,10.0,0.6780322399894257,28
17,龍鹽酥雞 (新北蘆洲店),y7qp,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.6347864518050654,3144
18,麥當勞 (S517 蘆洲長榮店),y1ld,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.4676827870048454,12776
19,すき家 Sukiya (蘆洲三民店),z5tw,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.7994718694425732,16873
