,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (八里外送店),h2lb,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,2.2258398121404483,1281
1,清心福全 (八里中山店),m0ng,2,['飲料'],False,29.0,79.0,25.0,10.0,1.8542117682340347,3431
2,臭臉加熱滷味,cu71,2,['小吃'],False,29.0,79.0,15.0,10.0,0.5052733965753131,13
3,鍋台銘 (八里中山店),ohbd,2,"['火鍋', '台式']",False,29.0,79.0,30.0,20.0,0.6836022290365248,699
4,梁社漢排骨 (八里中華店),ji76,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,2.4389553278099965,529
5,龍鹽酥雞 (新北八里店),l8kx,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,1.8569727417675057,1301
6,吃香喝辣平價串烤,u4vg,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,2.7487448292288255,1425
7,半田燒烤,o6iv,2,"['小吃', '日式']",False,29.0,79.0,25.0,15.0,1.5973757476460542,502
8,豚將日本拉麵 (新北八里店),n2cc,2,"['麵食', '日式']",False,29.0,79.0,20.0,5.0,2.5593757519312987,922
9,川醉湘麻辣燙 (新北八里店),h6ko,2,['小吃'],False,29.0,79.0,20.0,5.0,2.06496915089445,47
10,50嵐 (新北八里店),q6hv,2,['飲料'],False,29.0,79.0,20.0,5.0,2.4574646792884365,1486
11,達美樂 (八里中華路店),ac63,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,0.8201777248695168,52
12,CoCo都可 (新北八里店),bp8y,2,['飲料'],False,29.0,79.0,20.0,5.0,2.6153325013090494,229
13,可不可熟成紅茶 (新北八里店),wrr9,2,['飲料'],False,29.0,79.0,20.0,5.0,2.765716744552895,363
14,五丼饕 (新北八里店),ywf0,2,['日式'],False,29.0,79.0,20.0,5.0,1.8658376034803839,199
15,怪獸小雞排 (新北八里店),n53v,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,2.545098520834715,86
16,獨家羊肉羹,xjzq,2,"['湯品', '台式']",False,29.0,79.0,25.0,15.0,2.0798404898852145,230
17,小豬很忙蔬果滷味 (新北八里店),u9uw,2,['小吃'],False,29.0,79.0,20.0,10.0,2.523817788256821,698
18,Nu pasta (新北八里店),k0xi,3,"['歐美', '麵食']",False,29.0,79.0,20.0,5.0,2.6799708582672723,924
19,逢甲阿郎鹹酥雞 (新北八里店),j5en,2,"['小吃', '炸雞']",True,29.0,79.0,20.0,5.0,2.3342559223428436,728
20,佰間加熱滷味,c54v,2,['小吃'],False,29.0,79.0,20.0,5.0,2.3934077275094015,25
21,潮味決．湯滷專門店 (新北八里分社),gjed,2,['台式'],False,29.0,79.0,25.0,10.0,2.735873661845561,107
22,福蔭涼品,v3ea,1,['甜點'],False,29.0,79.0,15.0,5.0,1.4600559174356071,668
23,炸G行家 (八里中山店),c7oq,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,2.7449509288371745,862
24,舞茶道 (台北八里店),hmxu,2,['飲料'],False,29.0,79.0,20.0,5.0,2.534204787765403,713
25,馬祖奶茶 (八里華峰店),vbmr,2,['飲料'],False,29.0,79.0,20.0,5.0,2.641449630444663,5
26,品味黑白切,zfbh,2,['台式'],False,29.0,79.0,30.0,10.0,4.044235278667603,228
27,清玉 (新北八里店),ri0g,2,['飲料'],False,29.0,79.0,20.0,5.0,2.519319056866958,337
28,COMEBUY (八里中山店),pfb2,2,['飲料'],False,29.0,79.0,20.0,5.0,2.545751275161413,1471
29,鍋神非炸不可,u77h,2,"['火鍋', '小吃', '炸雞']",False,29.0,79.0,40.0,15.0,2.860590620994082,98
30,姆姆漢堡早午餐店,s3oa,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.8187216659366563,3057
31,餓霸早餐,r4ym,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.9625512011140451,1101
32,BRUNCH 布朗奇複合式早午餐 咖啡,vjgd,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,2.4093961868577907,567
33,飽朝晨早午餐,vcpp,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.4042020452659818,45
34,早安食客,rcu3,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,2.616710763058269,55
35,麥味登 (八里小麥店),i2yt,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.674539916189092,2660
36,BiBi早午餐,zwby,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.8816186665768825,60
