,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (三峽北大店),a7cg,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,20.0,5.0,1.709983177058211,2928
1,Pizza Hut必勝客 (三峽復興店),a7hy,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,0.8706295319857534,3248
2,義級棒義大利麵,k1xv,2,['歐美'],False,29.0,79.0,20.0,5.0,0.5673990903069973,728
3,Johnny Bro 強尼兄弟健康廚房 (三峽北大店),a0mr,2,"['便當', '健康餐']",False,29.0,79.0,25.0,5.0,1.786402780861053,4376
4,厚片牛排鐵板炒飯 (三峽愛國店),pyy4,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.5673990903069973,665
5,松柏園加熱滷味（小火鍋）,o0ev,2,['小吃'],False,29.0,79.0,20.0,5.0,0.5600217876049304,595
6,四海遊龍 (三峽中華店),f0yd,2,"['台式', '餃子']",False,29.0,79.0,20.0,5.0,0.5583464713444608,2563
7,孫東寶 (三峽大學店),jsdt,3,"['台式', '牛排']",False,29.0,79.0,25.0,5.0,1.538848265608118,991
8,珍煮丹 (三峽北大店),z7bi,2,['飲料'],False,29.0,79.0,20.0,5.0,1.6343840983673237,6350
9,玉津咖啡 (三峽學成店),y420,2,"['甜點', '咖啡']",False,29.0,79.0,20.0,5.0,1.5421787328712737,231
10,泰鍋古藝 (北大店),me8o,2,"['火鍋', '台式']",False,29.0,79.0,35.0,20.0,1.5839510963630403,1339
11,Aposo 艾波索 法式甜點 (新北三峽北大總店),a6da,3,"['甜點', '蛋糕']",False,29.0,79.0,25.0,5.0,1.6406172912530739,133
12,師傅很忙平價鐵板燒,a0dy,2,"['鐵板燒', '台式']",False,29.0,79.0,25.0,5.0,1.552306645875029,3003
13,鐘予原味當歸鴨 (新北三峽店),wl7v,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.5611049671572629,1766
14,麥當勞 (S254 三峽文化店),d7ao,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,10.0,0.9449486859903011,11180
15,鬍鬚張魯肉飯 (三峽北大店),bx7b,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,1.4072504532507553,3910
16,麻醉燙加熱滷味,r3og,2,['小吃'],False,29.0,79.0,30.0,15.0,1.1739495951790515,5395
17,50嵐 (三峽光明店),nw1h,2,['飲料'],False,29.0,79.0,20.0,5.0,0.3067103575955248,88
18,弘爺漢堡 (三峽國光店),z1el,2,"['早餐', '台式']",False,29.0,79.0,20.0,5.0,0.9510093727885736,6695
19,元爵味黃燜雞米飯 (三峽店),gr3y,2,['中式'],False,29.0,79.0,20.0,5.0,1.5468711065727532,409
20,日生珍味,f2yl,2,"['麵食', '台式']",False,29.0,79.0,35.0,15.0,1.4480513290068509,4496
21,嚐嚐九九 (新北三峽店),z3sh,3,['台式'],False,29.0,79.0,25.0,10.0,1.3226758249935204,3779
22,三峽碳烤,d9gh,2,['小吃'],False,29.0,79.0,30.0,15.0,0.594914921504345,793
23,すき家 Sukiya (新北三峽店),f5ze,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,1.6985861990692153,7668
24,楊記永和豆漿店,a1vz,2,['小吃'],False,29.0,79.0,15.0,5.0,0.26535759761358624,2146
25,朱家米糕,g6rj,2,"['湯品', '台式']",False,29.0,79.0,25.0,15.0,0.15279048644780566,1240
26,胖老爹美式炸雞 (三峽和平店),jedi,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,1.2461989991445628,335
27,明新豆漿,gf31,2,['小吃'],False,29.0,79.0,20.0,5.0,1.112897803095322,1798
28,鳥地方鹹酥雞,a3xe,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,15.0,1.417795726164473,5267
29,戰鬥雞-油雞/醉雞 輕食 (新北三峽愛國店),a7il,2,"['健康餐', '台式']",True,29.0,79.0,20.0,5.0,0.610973133419925,1950
