,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,龍鹽酥雞 (新北汐止店),t63i,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,5.0,1.089403900433624,358
1,肯德基KFC炸雞漢堡店 (汐止中興店),z7md,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,30.0,5.0,0.45966915891786775,3232
2,麥當勞 (S300 汐止中興店),y0bz,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.5730743736913907,15750
3,すき家 Sukiya (汐止中興店),uw2s,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.5313650935150714,826
4,五花馬水餃館 (新北中興店),y9fk,2,"['湯品', '台式', '餃子']",False,29.0,79.0,35.0,10.0,0.5926313189415757,5033
5,帕思比義式坊 (新北汐止店),e9jw,2,"['歐美', '麵食']",False,29.0,79.0,30.0,5.0,0.35312925021290764,3319
6,(極)黃燜雞米飯 (汐止康寧店),rr8x,2,['中式'],False,29.0,79.0,30.0,5.0,0.6303816786860627,495
7,萬華莊家班麻油雞 (汐止明峰店),lpf8,2,['台式'],False,29.0,79.0,30.0,5.0,0.08141634530907438,136
8,珍煮丹 (汐止中興店),qb2q,2,['飲料'],False,29.0,79.0,30.0,5.0,0.5069624654518302,2284
9,大狗麵線 (內湖康樂店),f4tt,2,"['湯品', '麵食', '小吃']",False,29.0,79.0,35.0,5.0,0.8945546465386011,3860
10,八方雲集 (汐止福德店),j5vf,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.7757431568436285,1489
11,瘦soul輕食 (汐止明峰店),qpws,2,['健康餐'],False,29.0,79.0,30.0,5.0,0.8051303932889939,126
12,微笑碳烤 (新北汐止店),a2ny,2,['小吃'],False,29.0,79.0,30.0,5.0,0.7643792808796189,2072
13,雞窩Chicken Home,loeq,2,"['台式', '炸雞']",False,29.0,79.0,35.0,5.0,0.6456667107622596,152
14,台北永和豆漿大王 (台北東湖店),g237,2,['小吃'],False,29.0,79.0,35.0,5.0,0.8825895514016018,529
15,太祖熱炒 炒飯炒麵專賣,d6wv,2,"['湯品', '台式']",False,29.0,79.0,30.0,5.0,0.7615992274237906,2564
16,好大方甜品,f3ss,2,['甜點'],False,29.0,79.0,35.0,10.0,0.5310076452986061,3025
17,可不可熟成紅茶 (汐止中興店),gilg,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6192566598667382,1461
18,粥師傅廣東粥 (汐止福德店),f1pn,1,"['中式', '粥']",True,29.0,79.0,35.0,5.0,0.8349000210421397,3137
19,清心福全 (汐止福德店),d8cv,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7766619904190981,3092
20,木已成粥,bluw,2,"['粥', '台式']",False,29.0,79.0,30.0,5.0,0.49442619936955845,101
21,男子漢拉麵 (汐止中興店),y1if,2,"['麵食', '日式']",False,29.0,79.0,35.0,5.0,0.7259031602549492,2140
22,三商巧福 (4275中興店),c9nc,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.6894022812100448,1615
23,福德永和豆漿,j9xm,1,['台式'],False,29.0,79.0,30.0,5.0,0.46140817571608345,2035
24,Pizza Hut必勝客 (汐止福德店),z8mt,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.7482334375096156,3343
25,99一品鍋,y5cd,2,"['火鍋', '台式']",False,29.0,79.0,45.0,15.0,0.7423489630194227,4214
26,甲品牛排,jvb9,3,"['歐美', '牛排']",False,29.0,79.0,30.0,5.0,0.5156934489556189,529
27,迷客夏 Milksha (新北汐止福德店),e6vd,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6082936700777103,1610
28,50嵐 (東湖二店),d8yf,2,['飲料'],False,29.0,79.0,35.0,5.0,1.0073114106197596,3702
29,85度C (汐止中興店),y9kq,2,"['甜點', '咖啡', '蛋糕']",False,29.0,79.0,30.0,5.0,0.5649728857776429,1206
30,摩斯漢堡Mos Burger (汐止夢想社區店),qu7g,2,"['漢堡', '日式']",False,29.0,79.0,45.0,15.0,0.5298417903444759,1525
31,CoCo都可 (汐止福德店),ok50,2,['飲料'],False,29.0,79.0,35.0,5.0,0.8250766172113095,498
32,巷裡的麵店,c8hr,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.6663855064441211,462
33,好雞會鹽酥雞,o4wo,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,0.29665912487908336,23
34,沁茶悅 (台北東湖分店),g5ra,2,['飲料'],False,29.0,79.0,35.0,5.0,1.2056231701998668,2913
35,臭味香投,vzuj,2,['台式'],False,29.0,79.0,35.0,5.0,0.633403849488509,227
36,鮮茶道 (汐止福德店),kl1n,2,['飲料'],False,29.0,79.0,35.0,5.0,0.8327232376288298,880
