,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,廟口臭豆腐,a1ko,2,"['麵食', '台式']",False,29.0,79.0,35.0,15.0,2.5008465794048362,5185
1,什麼雞 鹹水雞,t3r3,2,['小吃'],False,29.0,79.0,20.0,5.0,1.2854285135703944,1765
2,來福記永和豆漿,o2gw,2,['小吃'],False,29.0,79.0,20.0,5.0,1.072175699786353,2027
3,喜歡咖哩,a9se,2,"['咖哩', '日式']",False,29.0,79.0,20.0,5.0,1.5219443551816123,898
4,頂呱呱TKK (新北幸福店),qze4,2,"['歐美', '炸雞']",False,29.0,79.0,15.0,5.0,0.7481540748430929,320
5,Pizza Hut必勝客 (新莊幸福店),y1nh,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,1.00457973787478,4846
6,鐘予原味當歸鴨 (新莊輔大店),nqug,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,3.0851703500318,2056
7,正好吃龍鹽酥雞 (新北旗艦店),a7ki,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,1.4548897483368757,3177
8,肯德基KFC炸雞漢堡店 (新莊幸福店),z4jk,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,15.0,5.0,0.8042779930674822,4123
9,1985窯烤披薩 (新莊幸福店),i4ns,3,"['披薩', '歐美']",False,29.0,79.0,30.0,20.0,0.9273712595271608,1795
10,鱻宴生猛活海鲜 (新莊中華店),czs7,3,['台式'],False,29.0,79.0,20.0,5.0,1.7008717537667597,36
11,徐家滷味 (新北新莊店),c8yr,2,['小吃'],False,29.0,79.0,25.0,15.0,0.8804492026678458,4
12,夯麵坊,n627,2,"['歐美', '麵食']",False,29.0,79.0,25.0,5.0,3.0729145568557015,73
13,千職人,ihqt,2,['日式'],False,29.0,79.0,30.0,15.0,1.7598260426944101,89
14,摩多居酒屋,ct8t,3,['日式'],False,29.0,79.0,30.0,15.0,2.5369381888457134,11
15,武鶴個人鍋 (新莊中平店),jze2,3,"['火鍋', '台式']",False,29.0,79.0,20.0,5.0,1.3957544403383617,18
16,旺旺餃子館,lqcx,2,['台式'],False,29.0,79.0,15.0,5.0,0.7179375294838699,362
17,靴子義大利餐廳,z0bf,2,"['歐美', '麵食']",False,29.0,79.0,30.0,10.0,3.0902293959702365,3839
18,屋台一休,z6z9,3,['日式'],False,29.0,79.0,20.0,5.0,1.0736170313186013,13
19,很秋鍋物 (新北新莊店),p1f1,3,"['火鍋', '台式']",False,29.0,79.0,20.0,5.0,0.9441310789108488,37
20,花琢日式料理,zssf,3,['日式'],False,29.0,79.0,20.0,10.0,0.6503615716651725,18
21,祐福牛排館,nibg,3,"['歐美', '牛排']",False,29.0,79.0,20.0,5.0,0.7589491395858545,43
22,鬥牛士義式廚房 (新莊幸福店),j04s,3,"['披薩', '歐美', '麵食']",False,29.0,79.0,20.0,10.0,0.7807184765471241,6
23,麵屋三郎 麵屋天明,ngvn,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,3.2181976286356972,14
24,紅鬍子手工窯烤披薩,t1ec,1,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,3.004954381664497,1841
25,麥當勞 (S454 新莊中平店),r1zl,2,"['漢堡', '歐美']",False,29.0,79.0,20.0,10.0,0.47632021928397017,7364
