,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,廟口臭豆腐,a1ko,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,1.927008694780739,5185
1,什麼雞 鹹水雞,t3r3,2,['小吃'],False,29.0,79.0,15.0,5.0,0.36302942883259276,1765
2,喜歡咖哩,a9se,2,"['咖哩', '日式']",False,29.0,79.0,20.0,5.0,0.8875795307000175,898
3,頂呱呱TKK (新北幸福店),qze4,2,"['歐美', '炸雞']",False,29.0,79.0,20.0,5.0,0.8446968426925827,320
4,Pizza Hut必勝客 (新莊幸福店),y1nh,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,0.253858562659299,4846
5,鐘予原味當歸鴨 (新莊輔大店),nqug,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,3.112849501763699,2056
6,正好吃龍鹽酥雞 (新北旗艦店),a7ki,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,1.160092375066736,3177
7,肯德基KFC炸雞漢堡店 (新莊幸福店),z4jk,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,20.0,5.0,0.8527726802668115,4123
8,1985窯烤披薩 (新莊幸福店),i4ns,3,"['披薩', '歐美']",False,29.0,79.0,30.0,20.0,0.8998129093831878,1795
9,安柏林鐵板燒,y8mf,2,"['鐵板燒', '台式']",False,29.0,79.0,20.0,5.0,0.8852896473939669,2388
10,鱻宴生猛活海鲜 (新莊中華店),czs7,3,['台式'],False,29.0,79.0,20.0,5.0,1.1278054507469957,36
11,徐家滷味 (新北新莊店),c8yr,2,['小吃'],False,29.0,79.0,25.0,15.0,0.3743277444178211,4
12,千職人,ihqt,2,['日式'],False,29.0,79.0,30.0,15.0,1.182349063431043,89
13,夯麵坊,n627,2,"['歐美', '麵食']",False,29.0,79.0,25.0,5.0,3.084364176061979,73
14,武鶴個人鍋 (新莊中平店),jze2,3,"['火鍋', '台式']",False,29.0,79.0,20.0,5.0,1.349839499162779,18
15,旺旺餃子館,lqcx,2,['台式'],False,29.0,79.0,20.0,5.0,0.8494940673820319,362
16,屋台一休,z6z9,3,['日式'],False,29.0,79.0,15.0,5.0,0.27633225551306895,13
17,靴子義大利餐廳,z0bf,2,"['歐美', '麵食']",False,29.0,79.0,30.0,10.0,3.1214321408458474,3839
18,很秋鍋物 (新北新莊店),p1f1,3,"['火鍋', '台式']",False,29.0,79.0,20.0,5.0,1.1075231830076775,37
19,祐福牛排館,nibg,3,"['歐美', '牛排']",False,29.0,79.0,15.0,5.0,0.3489301231304343,43
20,花琢日式料理,zssf,3,['日式'],False,29.0,79.0,20.0,10.0,0.7884464844471902,18
21,鬥牛士義式廚房 (新莊幸福店),j04s,3,"['披薩', '歐美', '麵食']",False,29.0,79.0,20.0,10.0,0.7214096456612102,6
22,麵屋三郎 麵屋天明,ngvn,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,3.177005515510755,14
