,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,八方雲集 (台南鹽水店),i7ah,2,"['台式', '餃子']",False,19.0,79.0,15.0,10.0,0.79905486652978,612
1,魚玄雞小店,s5vj,2,"['湯品', '便當', '台式']",False,19.0,79.0,10.0,5.0,0.6646140093101722,704
2,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.23920631121353,10026
3,鮮茶道 (塩水朝琴店),f7cz,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6178335166093143,635
4,吮指王 (台南鹽水店),qiqp,2,"['台式', '炸雞']",True,19.0,79.0,15.0,10.0,0.8902314171584627,320
5,85度C (台南鹽水店),l9sc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.8965800734725256,696
6,第1佳鹹酥雞,v21y,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,25.0,0.7718813680128052,162
7,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,4.008187433131677,1414
8,就是鬆餅 (鹽水三福店),e3cw,1,['甜點'],False,19.0,79.0,15.0,10.0,0.5693108048579524,185
9,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,4.685783161355004,81
10,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,4.581151948752621,231
11,金茶伍手作茶飲 (台南新營店),j8uj,2,['飲料'],False,19.0,79.0,20.0,5.0,3.994134264695942,1396
12,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.539048729164574,20
13,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,25.0,5.0,4.796934297440372,605
14,品味宵夜,vd0n,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.680576052149818,269
15,川醉湘 (台南新營店),ipt9,2,['中式'],False,19.0,79.0,20.0,5.0,4.429046155529166,61
16,王朝釣蝦場,dvzg,3,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.764420808095426,134
17,炒血快炒店(復興店),qsyb,2,"['湯品', '台式']",False,19.0,79.0,20.0,5.0,4.192450399122655,21
18,甘單冰菓,f1at,1,['甜點'],False,19.0,79.0,20.0,5.0,4.409470349097377,748
19,吳家紅茶冰 (新營復興店),e1tl,1,['飲料'],False,19.0,79.0,20.0,5.0,4.7737487049826335,1031
20,TEAS原味 (新營三民店),e8li,1,['飲料'],False,19.0,79.0,20.0,5.0,4.576872730927815,468
21,九星級平價鍋物,lr4y,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,4.135202316958878,57
22,妙香茶飲,ohv0,1,['飲料'],False,19.0,79.0,20.0,5.0,5.037066763043236,5
23,兩披索靓鍋 (台南新營店),goyp,2,"['火鍋', '台式']",False,19.0,79.0,25.0,10.0,4.4922583499962006,413
24,達美樂 (新營復興店),h5vg,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.7986410967672115,527
25,老饕醬軍,wk4w,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,4.772328353402695,119
26,半個鍋 (台南新營店),e5yu,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,3.607289277998451,87
27,涮嘴現切甘草芭樂,ssl1,1,['甜點'],False,19.0,79.0,25.0,5.0,4.898331075150041,9
28,香茶道,aivh,1,['飲料'],False,19.0,79.0,25.0,10.0,3.823566679815432,2
29,回憶小時候 (台南鹽水店),tztm,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7850083956196066,71
30,好手沏 (台南鹽水店),e7pg,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7971846068224576,495
31,GAN&DAN手作冰菓湯圓專賣,gpze,2,['甜點'],False,19.0,79.0,25.0,10.0,4.3939284761496875,1
32,財神香酥雞,gmgt,1,"['小吃', '炸雞']",False,19.0,79.0,30.0,15.0,4.659578836332639,1
33,日出客棧茶飲-小農鮮奶 (鹽水朝琴店),u2w6,1,['飲料'],False,19.0,79.0,15.0,10.0,1.339091002657761,24
34,呷尚寶 (台南新營店),l18x,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.001198676815452,104
35,東林早餐店,f3t7,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.403064308450522,87
36,新營豆菜麵,yl7s,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.303185478992198,6
37,傻師傅湯包 (台南鹽水店),u1it,2,"['中式', '湯品', '餃子']",False,19.0,79.0,40.0,15.0,0.7535201489941377,697
38,早安山丘 (新營新進店),e2br,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.962676152402176,5537
39,弘爺漢堡 (新營中華店),r8xh,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,5.048336672902172,1029
40,古早味油飯 (台南鹽水店),h2xq,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,0.6964652831770388,73
41,麥町吐司工房 (台南鹽水店),bvz9,2,"['早餐', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.9551815049392021,150
42,宜華蛋餅 (新營三民店),di3b,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.903661961748714,731
43,鹽水豬頭飯,k554,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.488451320701223,209
44,Louisa 路易莎 (台南新營店),n3ea,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,4.668199245699392,2136
45,美美早餐店 (台南鹽水店),e2bn,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,1.1807404158360253,355
46,新塭虱目魚故鄉 (台南鹽水總店),ondm,2,"['湯品', '麵食', '粥', '台式']",False,19.0,79.0,40.0,15.0,1.0938379143790256,26
47,潮四川麻辣鴨血,ea6c,2,['中式'],False,19.0,79.0,40.0,15.0,4.971085430394268,920
48,魚玄雞小店,s5vj,2,"['湯品', '便當', '台式']",False,19.0,79.0,10.0,5.0,0.6646140093101722,704
49,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.23920631121353,10026
50,鮮茶道 (塩水朝琴店),f7cz,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6178335166093143,635
51,吮指王 (台南鹽水店),qiqp,2,"['台式', '炸雞']",True,19.0,79.0,15.0,10.0,0.8902314171584627,320
52,85度C (台南鹽水店),l9sc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.8965800734725256,696
53,第1佳鹹酥雞,v21y,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,25.0,0.7718813680128052,162
54,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,4.008187433131677,1414
55,就是鬆餅 (鹽水三福店),e3cw,1,['甜點'],False,19.0,79.0,15.0,10.0,0.5693108048579524,185
56,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,4.685783161355004,81
57,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,4.581151948752621,231
58,金茶伍手作茶飲 (台南新營店),j8uj,2,['飲料'],False,19.0,79.0,20.0,5.0,3.994134264695942,1396
59,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.539048729164574,20
60,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,25.0,5.0,4.796934297440372,605
61,品味宵夜,vd0n,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.680576052149818,269
62,川醉湘 (台南新營店),ipt9,2,['中式'],False,19.0,79.0,20.0,5.0,4.429046155529166,61
63,王朝釣蝦場,dvzg,3,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.764420808095426,134
64,炒血快炒店(復興店),qsyb,2,"['湯品', '台式']",False,19.0,79.0,20.0,5.0,4.192450399122655,21
65,甘單冰菓,f1at,1,['甜點'],False,19.0,79.0,20.0,5.0,4.409470349097377,748
66,吳家紅茶冰 (新營復興店),e1tl,1,['飲料'],False,19.0,79.0,20.0,5.0,4.7737487049826335,1031
67,TEAS原味 (新營三民店),e8li,1,['飲料'],False,19.0,79.0,20.0,5.0,4.576872730927815,468
68,九星級平價鍋物,lr4y,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,4.135202316958878,57
69,妙香茶飲,ohv0,1,['飲料'],False,19.0,79.0,20.0,5.0,5.037066763043236,5
70,兩披索靓鍋 (台南新營店),goyp,2,"['火鍋', '台式']",False,19.0,79.0,25.0,10.0,4.4922583499962006,413
71,達美樂 (新營復興店),h5vg,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.7986410967672115,527
72,老饕醬軍,wk4w,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,4.772328353402695,119
73,半個鍋 (台南新營店),e5yu,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,3.607289277998451,87
74,涮嘴現切甘草芭樂,ssl1,1,['甜點'],False,19.0,79.0,25.0,5.0,4.898331075150041,9
75,香茶道,aivh,1,['飲料'],False,19.0,79.0,25.0,10.0,3.823566679815432,2
76,回憶小時候 (台南鹽水店),tztm,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7850083956196066,71
77,好手沏 (台南鹽水店),e7pg,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7971846068224576,495
78,GAN&DAN手作冰菓湯圓專賣,gpze,2,['甜點'],False,19.0,79.0,25.0,10.0,4.3939284761496875,1
79,財神香酥雞,gmgt,1,"['小吃', '炸雞']",False,19.0,79.0,30.0,15.0,4.659578836332639,1
80,日出客棧茶飲-小農鮮奶 (鹽水朝琴店),u2w6,1,['飲料'],False,19.0,79.0,15.0,10.0,1.339091002657761,24
81,呷尚寶 (台南新營店),l18x,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.001198676815452,104
82,東林早餐店,f3t7,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.403064308450522,87
83,新營豆菜麵,yl7s,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.303185478992198,6
84,傻師傅湯包 (台南鹽水店),u1it,2,"['中式', '湯品', '餃子']",False,19.0,79.0,40.0,15.0,0.7535201489941377,697
85,早安山丘 (新營新進店),e2br,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.962676152402176,5537
86,弘爺漢堡 (新營中華店),r8xh,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,5.048336672902172,1029
87,古早味油飯 (台南鹽水店),h2xq,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,0.6964652831770388,73
88,麥町吐司工房 (台南鹽水店),bvz9,2,"['早餐', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.9551815049392021,150
89,宜華蛋餅 (新營三民店),di3b,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.903661961748714,731
90,鹽水豬頭飯,k554,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.488451320701223,209
91,Louisa 路易莎 (台南新營店),n3ea,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,4.668199245699392,2136
92,美美早餐店 (台南鹽水店),e2bn,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,1.1807404158360253,355
93,新塭虱目魚故鄉 (台南鹽水總店),ondm,2,"['湯品', '麵食', '粥', '台式']",False,19.0,79.0,40.0,15.0,1.0938379143790256,26
94,潮四川麻辣鴨血,ea6c,2,['中式'],False,19.0,79.0,40.0,15.0,4.971085430394268,920
95,百茗茶坊,f2cy,1,['飲料'],False,19.0,79.0,40.0,15.0,0.6980079279409354,480
96,祥肉羹,e1ac,1,"['麵食', '台式']",False,19.0,79.0,40.0,10.0,0.6206870762632931,421
97,說茶Say Tea,e7ce,1,['飲料'],False,19.0,79.0,40.0,10.0,0.9597669700709873,425
98,cama café (新營民治店),zg70,2,"['咖啡', '飲料']",False,19.0,79.0,40.0,15.0,4.013879194696884,20
99,御食堂 (鍋燒/丼飯),wmbp,2,"['麵食', '日式']",False,19.0,79.0,40.0,15.0,3.8243944719533065,1607
100,TEATOP 第一味 (新營民治店),q7bt,2,['飲料'],False,19.0,79.0,40.0,15.0,4.073975625315086,74
101,聖三 土魠鹹粥,fjx4,2,"['湯品', '粥', '台式']",False,19.0,79.0,40.0,15.0,0.6623747724060813,130
102,懷舊食堂 (台南新營店),k599,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.640408671844035,681
103,古早味阿琴碗粿米糕,e3bw,1,"['麵食', '台式']",False,19.0,79.0,40.0,10.0,3.899744133612614,1695
104,牛之屋溫體牛肉,hjgb,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,4.493267026050972,80
105,上好麵食館,csp1,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,0.4946647701888413,7
106,康曜健康吧,f3rs,2,"['便當', '健康餐']",False,19.0,79.0,40.0,15.0,4.551380590232853,894
107,大埔鐵板燒 (台南新營店),q8qc,2,"['鐵板燒', '台式']",False,19.0,79.0,40.0,15.0,4.573298842986274,2118
108,鑫品味蛋包飯,e8tw,2,['台式'],False,19.0,79.0,40.0,10.0,4.905562406806465,3434
109,泰碳吉小廚,e0fa,2,"['湯品', '咖哩', '東南亞']",False,19.0,79.0,40.0,10.0,4.451340644137821,1445
110,豆三綠豆牛奶冰沙 (新營太子店),q6id,1,['飲料'],False,19.0,79.0,40.0,15.0,2.482626987111754,120
111,豚將日本拉麵 (台南新營店),m5rd,2,"['麵食', '日式']",False,19.0,79.0,40.0,15.0,4.594619135142299,655
112,香香食堂,apiu,2,"['粥', '台式', '餃子']",False,19.0,79.0,40.0,15.0,3.96563487987074,14
113,復興鴨肉飯(烤鱸魚),wb2m,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,4.83326341884587,140
114,食在愛泰,e8ok,1,['東南亞'],False,19.0,79.0,40.0,10.0,4.4745014915034345,372
115,貴族世家 (台南新營鮮饌館),t4uu,2,"['台式', '牛排']",False,19.0,79.0,40.0,15.0,3.7409420386436048,218
116,碳吉泰式小廚,f7s6,2,"['便當', '東南亞']",False,19.0,79.0,40.0,15.0,4.358142090954433,6
117,大碗公冰·甜品 (新營新進店),f0iv,2,['甜點'],False,19.0,79.0,40.0,15.0,4.579551508715375,1005
118,初八拉麵 (台南新營店),q5ay,2,"['麵食', '日式']",False,19.0,79.0,40.0,15.0,4.374745137855299,339
119,NO.162冰滴咖啡,j0zf,1,"['咖啡', '飲料']",False,19.0,79.0,40.0,15.0,3.6846840504416893,39
120,中發白麻辣臭豆腐鴨血,bftx,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,4.703693643508827,4
121,肖年雞蛋糕,q2ut,1,['甜點'],False,19.0,79.0,40.0,15.0,0.635398166268505,3
122,娜咖啡 Hannah’s Cafe & Bar,t8hf,1,"['咖啡', '飲料']",False,19.0,79.0,40.0,15.0,3.1653594581056845,2
123,甜在心紅豆餅 (台南新營店),t9b5,1,['甜點'],False,19.0,79.0,40.0,15.0,4.520988483218675,1
124,昌平炸雞王 (台南新營店),e0ns,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,10.0,4.709129391262211,1000
125,小草韓食,n899,2,['韓式'],False,19.0,79.0,40.0,15.0,0.6529178316910775,44
126,壹伍柒小廚,x200,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,4.498491668880398,23
127,Mr.Wish 鮮果茶玩家 (新營民治店),tggz,2,['飲料'],False,19.0,79.0,40.0,15.0,3.990289619316419,38
128,脆皮爆漿雞蛋糕,tv3v,1,['甜點'],False,19.0,79.0,40.0,15.0,0.8539540319010249,16
129,叔炸甜不辣媽 (台南新營店),owwl,2,['小吃'],False,19.0,79.0,40.0,15.0,3.980295546594981,10
130,阿豪牛車庒冰糖豬腳 (新營公園店),k7i1,2,['台式'],False,19.0,79.0,40.0,15.0,4.264095719943231,371
