,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,桶一天下 (高雄大社店),f7os,2,['小吃'],False,15.0,79.0,30.0,10.0,4.62872681939587,1203
1,牛妞炒飯 (楠梓德祥店),a7sg,2,['台式'],False,15.0,79.0,25.0,5.0,2.73635148804133,4856
2,朝明小館,o0bt,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.378566213535704,1482
3,天心坊湯包 (楠梓藍田店),b7vt,2,"['台式', '餃子']",False,15.0,79.0,40.0,20.0,4.051673144623116,5660
4,石一籠湯包 (高雄楠梓店),i4d3,2,"['中式', '麵食']",False,15.0,79.0,25.0,5.0,2.9902755880368823,158
5,在地人鹽水雞 (高雄後勁店),vz38,2,['小吃'],False,15.0,79.0,25.0,5.0,3.2993021699664835,198
6,玖玖迷你土雞鍋 (楠梓軍校店),a4ss,2,"['火鍋', '台式']",False,15.0,79.0,45.0,20.0,4.791459937202536,3185
7,咕咕雞鹽酥雞 (土庫店),d2wf,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.8955319710767826,2041
8,新上海臭臭鍋 (楠梓益群店),gdqx,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.306869918798448,672
9,炸香四溢手作炸物,td97,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.3430524104479247,222
10,好窩,e8no,2,"['便當', '台式']",False,15.0,79.0,30.0,5.0,4.740478498072245,1692
11,牛刀小事 (楠梓藍昌店),pbzn,3,"['歐美', '牛排']",False,15.0,79.0,30.0,10.0,3.6966013707801912,107
12,板塊牛排 (高雄楠梓店),ivro,2,"['歐美', '牛排']",False,15.0,79.0,25.0,5.0,3.209488274205866,591
13,小次郎披薩館,d6xe,3,"['披薩', '歐美']",False,15.0,79.0,25.0,5.0,2.7415223101344726,2027
14,江西傳藝風味外省麵 (高雄藍田店),zrpk,2,"['麵食', '台式']",False,15.0,79.0,40.0,25.0,3.1898849502322877,1760
15,管家麵食館,h4ws,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,3.4705220864821333,738
