,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,臻鼎幸福圍爐火鍋炭火烤鴨,c49n,3,"['火鍋', '台式']",False,15.0,79.0,35.0,25.0,1.5916488844892294,359
1,肯德基KFC炸雞漢堡店 (鳳山中山店),z7om,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,4.465175631449534,2355
2,鍋底撈滷味 (高雄大寮店),e2bx,2,['小吃'],False,15.0,79.0,15.0,5.0,1.1598574875734016,2221
3,Burger King 漢堡王 (高雄鳳山店),gvl8,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,4.47358922076649,576
4,玖玖迷你土雞鍋 (高雄鳳山店),a9fy,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,4.321115042884596,4189
5,鍋底撈滷味 (大寮中庄店),t8mu,2,['小吃'],False,15.0,79.0,20.0,5.0,3.391864935319016,687
6,簡單生活簡餐,e8pl,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,2.349363720531338,1746
7,巧園飲食店,f4fp,2,['台式'],False,15.0,79.0,25.0,10.0,2.70778513386627,1608
8,老賴茶棧 (鳳山光遠店),uq6k,2,['飲料'],False,15.0,79.0,25.0,5.0,4.540270441562698,1104
9,田丁飲品,pz8l,1,['飲料'],False,15.0,79.0,15.0,5.0,0.5812070929922921,50
10,鳳山鴨肉興,l3lo,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,5.138835681327087,818
11,39焗烤家族 (大寮鳳林店),te3i,2,"['歐美', '麵食']",False,15.0,79.0,15.0,5.0,0.1433202116253914,767
12,早到晚到 (高雄大寮店),qfl9,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,15.0,5.0,0.24703642309448362,162
13,麥當勞 (S283 高雄鳳林店),g0gv,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,1.8583188266768218,13833
14,牛匠太郎x直火炙燒丼飯 (高雄大寮店),ufqb,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.2204373309081356,333
15,大寮牛肉麵,y07p,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.31563131561563,1281
16,可不可熟成紅茶 (高雄大寮店),fq1t,1,['飲料'],False,15.0,79.0,15.0,5.0,0.16981022098858387,1212
17,白巷子 (大寮鳳林店),m473,2,['飲料'],False,15.0,79.0,15.0,5.0,0.362140938914317,58
18,昌平炸雞王 (高雄大寮店),d9fe,2,"['歐美', '炸雞']",False,15.0,79.0,15.0,10.0,0.08027657098228827,1123
19,北港肉羹麵館,e7ye,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.4522699947309893,1332
20,迷客夏 Milksha (高雄大發店),zrwc,2,['飲料'],False,15.0,79.0,15.0,5.0,0.30303907690561377,1156
21,暗公鳥吐司、宵夜 (高雄大寮店),ijaq,2,"['歐美', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,2.41724078310101,1378
22,麥可鹹酥雞,e5gt,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.18871093550335846,1124
23,大蕃茄滷味,bceb,1,['小吃'],False,15.0,79.0,15.0,5.0,0.6369131382621581,366
24,本鄉村牛排,xh46,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.28992583025472585,332
25,港式宵夜點心,scrf,2,"['麵食', '港式', '三明治 / 吐司']",False,15.0,79.0,15.0,10.0,0.3791957741166278,47
26,麻古茶坊 (高雄鳳林店),ol5l,2,['飲料'],False,15.0,79.0,15.0,5.0,0.7411447959109094,1100
27,一派胡塩酵素臭豆腐(高雄大寮店),apm6,1,"['小吃', '素食']",True,15.0,79.0,15.0,5.0,0.36232012879422143,315
28,唰嘴脆皮蚵仔煎,f9mk,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,10.0,1.1629702159449966,1562
29,鮮茶道 (大寮鳳林店),e6bf,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4033928469369535,1531
30,賀呷嗄JK廚房(蠔爽海鮮粥/熱壓吐司）,ejf9,2,"['粥', '台式', '三明治 / 吐司']",False,15.0,79.0,15.0,10.0,0.3780546201478478,97
31,大埔鐵板燒 (大寮鳳林店),f7xr,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,1.6269397189983972,2296
32,麵麵聚道鍋燒意麵店,a80f,1,"['麵食', '台式', '餃子']",False,15.0,79.0,15.0,10.0,0.1483506463192433,23
33,三分春色 (大寮會社店),x0iu,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4165422136632159,1131
34,陞碗粿米糕（大寮店）,l5wu,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,1.5564432307481957,1474
35,喜雞碳烤香雞排,kum5,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.24221534138938494,277
36,水巷茶弄 (大寮鳳林店),e6rx,2,['飲料'],False,15.0,79.0,15.0,5.0,0.31466174709448086,1974
37,儒紀食堂,mqye,2,['台式'],False,15.0,79.0,15.0,5.0,1.1398918543291339,783
38,鳳林複合式遊樂園,fl4s,2,"['便當', '台式']",False,15.0,79.0,15.0,5.0,0.4399108523451559,707
39,孫東寶 (大寮鳳林店),tcqv,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.3617807140895372,527
40,來碗拉麵 (高雄大寮店),v0yy,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,1.097638132821084,1681
41,眼鏡鹹水雞 (大寮鳳林店),jchs,2,['小吃'],False,15.0,79.0,15.0,5.0,0.6928205800559859,82
42,多那之 (高雄鳳林店),psjd,2,"['甜點', '蛋糕']",False,15.0,79.0,15.0,5.0,0.7929673582594188,136
43,福樺鴨肉飯 (高雄大寮店),t7tl,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.349597937802836,2511
44,拿坡里 (大寮店8431),adyf,3,"['披薩', '歐美', '炸雞']",False,15.0,79.0,20.0,10.0,0.8310795190171834,961
45,樂台羽茶 (大寮鳳林店),tb1i,2,['飲料'],False,15.0,79.0,15.0,5.0,0.9380977529524086,129
46,嘉義老牌石頭火鍋 (高雄大發店),xrd5,2,"['火鍋', '台式']",False,15.0,79.0,25.0,20.0,0.1700220590639305,234
47,食反麥面,e574,2,"['麵食', '台式']",False,15.0,79.0,30.0,20.0,0.38990869976811865,25
48,肯德基KFC炸雞漢堡店 (鳳山中山店),z7om,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,4.465175631449534,2355
49,鍋底撈滷味 (高雄大寮店),e2bx,2,['小吃'],False,15.0,79.0,15.0,5.0,1.1598574875734016,2221
50,Burger King 漢堡王 (高雄鳳山店),gvl8,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,4.47358922076649,576
