,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,拾年茶事 (鳳山青年),gkde,2,['飲料'],False,15.0,79.0,20.0,5.0,3.0871760541476356,242
1,好食丼 (高雄陽明店),rjgu,2,['日式'],False,15.0,79.0,20.0,5.0,3.1155886423785657,1863
2,麻入口 排骨鴨血豆腐專賣 (高雄鳳山店),r5s5,2,['台式'],False,15.0,79.0,20.0,5.0,1.156221499400665,36
3,滷味先生 (鳳山自強店),j4vn,2,['小吃'],False,15.0,79.0,25.0,5.0,3.2833476833006463,1495
4,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,1.8486735851971987,2465
5,肯德基KFC炸雞漢堡店 (鳳山中山店),z7om,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,1.106960476818218,2355
6,雞大爺 (鳳山光復店),y2yw,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.3567231670387323,880
7,牛妞炒飯 (高雄文山店),z5af,2,['台式'],False,15.0,79.0,20.0,5.0,2.816387160478669,3751
8,咚雞咚雞韓式炸雞 (鳳山中山店),c7hl,2,"['韓式', '炸雞']",False,15.0,79.0,15.0,5.0,1.1116461874092842,3394
9,鮮茶道 (前鎮復興店),b8qf,1,['飲料'],False,15.0,79.0,25.0,5.0,3.986650903334479,585
10,老江紅茶牛奶 (高雄鳳山店),s8sp,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,30.0,15.0,2.526770852487883,2
11,港式聞雞起爐 (鳳山文衡店),dsdy,3,"['火鍋', '港式']",False,15.0,79.0,30.0,15.0,2.700660055306471,1
12,川醉湘麻辣燙 (鳳山新富店),gass,2,['小吃'],False,15.0,79.0,20.0,10.0,0.2888373651346632,101
13,陳記手工蒸餃鴨肉羹,dhcd,2,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,2.843458549318562,368
14,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,4.989708524265794,1478
15,鍋濤粵式煲鍋,vikd,3,"['中式', '火鍋']",False,15.0,79.0,30.0,15.0,2.7102035096536277,42
16,饈饈火鍋,d215,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.9889597156029986,16
17,235巷義大利麵 (高雄鳳山文山店),y3kn,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,2.9524347375010076,7456
18,正義蚵仔麵線 (高雄正義總店),v5cl,2,"['麵食', '小吃']",False,15.0,79.0,20.0,5.0,1.860246617999404,824
19,鳳山鴨肉興,l3lo,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.3728432304554627,818
20,大亨牛排 (高雄武慶店),vdrn,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.8525391745411268,924
21,好味羊肉店,uhdd,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.927931979233087,749
22,咕嚕咕嚕家うちりょうり (鳳山五甲店),kzkj,3,['日式'],False,15.0,79.0,20.0,5.0,2.6100190927562554,459
23,金鼎牛肉拉麵總店,v9ow,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.7722169220241306,829
24,大吉鐵板燒 (高雄三多店),oo9q,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,2.996971343472121,855
25,原龍羊肉火鍋 (高雄一心總店),zur9,2,"['湯品', '火鍋', '台式']",False,15.0,79.0,30.0,15.0,4.19264709711031,327
