,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,臻鼎幸福圍爐火鍋炭火烤鴨,c49n,3,"['火鍋', '台式']",False,15.0,79.0,30.0,25.0,0.1661574119913979,359
1,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.9890970264729977,2465
2,肯德基KFC炸雞漢堡店 (鳳山中山店),z7om,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,2.9293590092552058,2355
3,鍋底撈滷味 (高雄大寮店),e2bx,2,['小吃'],False,15.0,79.0,15.0,5.0,0.5630100632407596,2221
4,牛妞炒飯 (高雄文山店),z5af,2,['台式'],False,15.0,79.0,25.0,5.0,4.439363461600636,3751
5,宜景園餐館,c4oq,3,['台式'],False,15.0,79.0,30.0,10.0,3.7797474789281122,740
6,鶴茶樓 (鳳山青年店),km77,1,['飲料'],False,15.0,79.0,25.0,5.0,4.425434057761268,857
7,京美小火鍋,aaqz,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,3.764653970004331,1109
8,Burger King 漢堡王 (高雄鳳山店),gvl8,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,2.90572864355966,576
9,鮮茶道 (高雄鳳山店),zhrm,2,['飲料'],False,15.0,79.0,25.0,5.0,3.754213825107641,356
10,235巷義大利麵 (高雄鳳山文山店),y3kn,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,4.796583045486909,7456
11,鳳山鴨肉興,l3lo,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.559934772924736,818
12,麥當勞 (S283 高雄鳳林店),g0gv,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.23688631495756937,13833
13,暗公鳥吐司、宵夜 (高雄大寮店),ijaq,2,"['歐美', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,0.7460760084760524,1378
14,大埔鐵板燒 (大寮鳳林店),f7xr,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.1526131084283512,2296
15,陞碗粿米糕（大寮店）,l5wu,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.19321216012801232,1474
16,唰嘴脆皮蚵仔煎,f9mk,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,10.0,0.5586120885052752,1562
17,簡單生活簡餐,e8pl,2,"['歐美', '麵食']",False,15.0,79.0,15.0,5.0,0.6802021906172513,1746
18,儒紀食堂,mqye,2,['台式'],False,15.0,79.0,15.0,5.0,0.5846045728211358,783
19,39焗烤家族 (大寮鳳林店),te3i,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,1.8143594216495398,767
20,早到晚到 (高雄大寮店),qfl9,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,20.0,5.0,1.8753433411229585,162
21,Pizza Hut必勝客 (高雄大寮店),z0jr,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.348036535375816,3685
22,快樂牛排館 (高雄鳳林店),p2iu,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.458671164065415,1998
23,大蕃茄滷味,bceb,1,['小吃'],False,15.0,79.0,15.0,5.0,1.0457591195631006,366
24,來碗拉麵 (高雄大寮店),v0yy,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.6273540258632396,1681
25,牛匠太郎x直火炙燒丼飯 (高雄大寮店),ufqb,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.575170345579804,333
26,品格up臭豆腐鍋 (鳳林直營店),e6in,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,1.2021603850360714,1182
27,麻古茶坊 (高雄鳳林店),ol5l,2,['飲料'],False,15.0,79.0,20.0,5.0,0.9879308704106043,1100
28,巧園飲食店,f4fp,2,['台式'],False,15.0,79.0,20.0,10.0,1.125157853330763,1608
29,午夜快車 (高雄鳳山店),j8mc,2,['台式'],False,15.0,79.0,25.0,10.0,2.430126459568581,2615
30,天使雞排 (高雄鳳山店),w65i,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.535496166524633,660
31,老先覺功夫窯燒鍋 (高雄大寮MiNi店),e1xk,2,"['火鍋', '台式']",False,15.0,79.0,25.0,20.0,0.24240571140384976,1814
32,白巷子 (大寮鳳林店),m473,2,['飲料'],False,15.0,79.0,20.0,5.0,1.3876242344174663,58
33,樂台羽茶 (大寮鳳林店),tb1i,2,['飲料'],False,15.0,79.0,15.0,5.0,0.7883730573119182,129
34,多那之 (高雄鳳林店),psjd,2,"['甜點', '蛋糕']",False,15.0,79.0,15.0,5.0,0.9335477418043019,136
35,咚雞咚雞韓式炸雞 (鳳山中山店),c7hl,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,2.640378587075534,3394
36,雄讚鹹酥雞,uv33,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,2.938887006125289,472
37,玖玖迷你土雞鍋 (高雄鳳山店),a9fy,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.7274026593957834,4189
38,大寮牛肉麵,y07p,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.9867927112791555,1281
39,食時加春捲,c3ed,2,"['麵食', '台式']",False,15.0,79.0,25.0,10.0,2.6611384286495943,3450
40,微笑檸檬香草雞排,o1hn,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.657056093261447,1449
41,可不可熟成紅茶 (高雄大寮店),fq1t,1,['飲料'],False,15.0,79.0,20.0,5.0,1.8431393268138876,1212
42,阿昇廚房,f5ri,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,10.0,0.2611318307630917,623
43,昌平炸雞王 (高雄大寮店),d9fe,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,10.0,1.754245776123959,1123
44,本鄉村牛排,xh46,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.467249695438804,332
45,三分春色 (高雄鳳林店),v2zm,2,['飲料'],False,15.0,79.0,15.0,5.0,1.092316077199902,1004
46,北港肉羹麵館,e7ye,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.1221180824483064,1332
47,一飛沖天麻辣燙 (高雄中山東路店),c05o,2,['小吃'],False,15.0,79.0,20.0,5.0,1.492191682049218,412
48,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.9890970264729977,2465
49,肯德基KFC炸雞漢堡店 (鳳山中山店),z7om,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,2.9293590092552058,2355
50,鍋底撈滷味 (高雄大寮店),e2bx,2,['小吃'],False,15.0,79.0,15.0,5.0,0.5630100632407596,2221
51,牛妞炒飯 (高雄文山店),z5af,2,['台式'],False,15.0,79.0,25.0,5.0,4.439363461600636,3751
52,宜景園餐館,c4oq,3,['台式'],False,15.0,79.0,30.0,10.0,3.7797474789281122,740
53,鶴茶樓 (鳳山青年店),km77,1,['飲料'],False,15.0,79.0,25.0,5.0,4.425434057761268,857
54,京美小火鍋,aaqz,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,3.764653970004331,1109
55,Burger King 漢堡王 (高雄鳳山店),gvl8,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,2.90572864355966,576
56,鮮茶道 (高雄鳳山店),zhrm,2,['飲料'],False,15.0,79.0,25.0,5.0,3.754213825107641,356
57,235巷義大利麵 (高雄鳳山文山店),y3kn,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,4.796583045486909,7456
58,鳳山鴨肉興,l3lo,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.559934772924736,818
59,麥當勞 (S283 高雄鳳林店),g0gv,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.23688631495756937,13833
60,暗公鳥吐司、宵夜 (高雄大寮店),ijaq,2,"['歐美', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,0.7460760084760524,1378
61,大埔鐵板燒 (大寮鳳林店),f7xr,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.1526131084283512,2296
62,陞碗粿米糕（大寮店）,l5wu,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.19321216012801232,1474
