,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,森盛雲廚,kqab,2,['台式'],False,15.0,79.0,20.0,5.0,2.5013974703326562,301
1,騰之雞排 (大社金龍店),rn17,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.626600025934438,43
2,桶一天下 (高雄大社店),f7os,2,['小吃'],False,15.0,79.0,25.0,10.0,2.529360037997565,1203
3,朝明小館,o0bt,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,4.33036991221037,1482
4,石一籠湯包 (高雄楠梓店),i4d3,2,"['中式', '麵食']",False,15.0,79.0,20.0,5.0,2.2079936706994467,158
5,咕咕雞鹽酥雞 (土庫店),d2wf,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.707954725593554,2041
6,茶客提ChakeTea (大社中山店),czub,1,['飲料'],False,15.0,79.0,25.0,5.0,2.611699343772613,42
7,摩森翡翠 (高雄旗楠店),vr7h,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6098250689885574,267
8,好窩,e8no,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,2.7710788842680545,1692
9,My吐司,abkn,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,25.0,5.0,2.9587217060909508,15
10,板塊牛排 (高雄楠梓店),ivro,2,"['歐美', '牛排']",False,15.0,79.0,25.0,5.0,4.656374132753424,591
11,Ju Guo聚郭·創意鍋物 (高雄大社店),bcs1,2,"['火鍋', '台式']",False,15.0,79.0,25.0,10.0,2.741879110446778,184
12,LaCaSa吐司 (高雄旗楠店),imre,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,35.0,20.0,2.6436350275501295,4356
13,胖月Fatmoon,rxmu,2,['台式'],False,15.0,79.0,20.0,5.0,2.334006207106932,584
14,麻辣天后炒香鍋 (高雄大社店),vulh,2,['台式'],False,15.0,79.0,20.0,5.0,2.429041942011423,118
15,台灣第一家塩酥雞 (大社水巷茶弄旁),h5be,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.5626043262476017,2374
16,八方雲集 (高雄大社店),d9gx,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.5100300307622705,3103
17,藝鍋物 (高雄大社店),n099,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.7574065444661495,2424
18,李桑香菇肉燥飯 (高雄大社店),d2to,1,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,2.5655470056206013,1176
19,大埔鐵板燒 (高雄大社店),d9wy,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,2.712495077687771,2882
20,來碗拉麵 (高雄大社店),n6iu,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.8528134344312286,1491
21,麥當勞 (S183 高雄楠梓店),b2wy,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,4.360746491412317,17304
22,台灣第一家鹽酥雞 (高雄大社店),e4du,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.5212572967304174,2537
23,Pizza Hut必勝客 (高雄大社店),r7eo,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,2.578744444947815,2457
24,戰鬥雞-油雞/醉雞 輕食 (高雄大社店),n9me,2,['小吃'],False,15.0,79.0,20.0,5.0,2.544191932819954,84
25,牛匠太郎x直火炙燒丼飯 (高雄大社店),ml0h,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.6198112971190457,1376
26,早到晚到 (大社中山店),cmbt,2,"['早餐', '台式']",False,15.0,79.0,25.0,10.0,2.8147921547663586,113
27,50元比薩焗烤專賣店 (高雄大社店),no7b,2,['歐美'],False,15.0,79.0,25.0,5.0,2.8341558991548697,1295
28,魯十二 (高雄大社店),d3zv,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,2.6338236792874854,1257
29,客治麵館,y0xv,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.415496969805437,1904
30,泡麵屋,np8c,1,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,2.597066248172274,241
31,麻古茶坊 (高雄大社店),ocsg,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6016192793831,701
32,肯德基KFC炸雞漢堡店 (高雄楠梓二店),z2ze,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,4.345666835427704,7502
33,「兩口子 」老屋茶館,u852,2,['台式'],False,15.0,79.0,20.0,5.0,2.4248626330338876,303
34,咔咔雞 (高雄大社店),v4k7,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.896728730156137,1029
35,二齒外省麵,n4nx,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.780089505739322,2709
36,烹大師廣東粥,l5ow,1,"['中式', '粥']",False,15.0,79.0,20.0,5.0,2.511075926764614,424
37,釜黃金鴨肉飯,cn20,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.29215757529473,165
38,夜梟Nightingale 宵夜 (楠梓土庫店),rm72,2,['台式'],False,15.0,79.0,35.0,15.0,3.334751594089749,839
39,爆Q美式炸雞 (高雄楠梓店),s8ov,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,2.093512790399503,1318
40,可不可熟成紅茶 (高雄大社店),by8y,1,['飲料'],False,15.0,79.0,20.0,5.0,2.611699343772613,1069
