,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S316 岡山中山店),b2fu,2,"['漢堡', '歐美']",False,15.0,79.0,35.0,10.0,6.470584863669992,9903
1,八方雲集 (岡山大仁店),d1ow,2,"['台式', '餃子']",False,15.0,79.0,35.0,10.0,5.7664334549897545,2424
2,大饌章魚小丸子 (高雄嘉興店),zl94,2,['日式'],False,15.0,79.0,30.0,10.0,3.490858855441427,261
3,搶鍋王 (岡山公園東店),asys,2,"['火鍋', '台式']",False,15.0,79.0,45.0,20.0,6.289467371110249,793
4,川醉湘麻辣食堂 (岡山成功店),zmwx,2,['小吃'],False,15.0,79.0,35.0,5.0,5.625165506594695,34
5,達美樂 (路竹店),o5bn,3,"['披薩', '歐美']",False,30.0,199.0,45.0,25.0,6.753092571340779,763
6,金茶伍手作飲品 (岡山大仁門市),h575,2,['飲料'],False,15.0,79.0,30.0,5.0,5.68678105394122,190
7,STARBUCKS 星巴克 (岡山門市),e9hu,2,"['歐美', '飲料']",False,15.0,79.0,35.0,5.0,6.431882407986597,3161
8,深夜麵攤,sv7r,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,4.301612804878661,71
9,晨間廚房 (岡山成功店),b1ol,2,"['早餐', '歐美']",True,15.0,79.0,40.0,10.0,6.059421996735128,3205
10,傻師傅湯包 (岡山嘉興店),c5ir,2,"['中式', '湯品', '餃子']",True,15.0,79.0,40.0,15.0,3.6555318229266023,511
11,蕃茄麻廚房,u3lp,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,6.154068340465562,1515
12,巨林美而美 (岡山壽天店),t0tq,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,6.4315402829917705,1423
13,咕哞妮蔥蛋餅 (岡山成功店),ean5,1,['台式'],False,15.0,79.0,40.0,15.0,5.694002449885584,17
14,92度半咖啡 (高雄岡山大仁號),t477,2,"['咖啡', '飲料']",False,15.0,79.0,40.0,15.0,5.361054945744063,39
15,鮮讚呷尚好湯包店,b7ks,2,"['台式', '餃子']",False,15.0,79.0,40.0,10.0,5.605436462727491,2136
16,滿茶montea (高雄岡山店),o209,1,['飲料'],False,15.0,79.0,40.0,15.0,3.940682094744777,310
17,鮮烘豆咖啡學院,a5vm,2,"['咖啡', '飲料']",False,15.0,79.0,40.0,10.0,5.858826889811119,417
