,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,松正鹽酥雞 (高雄湖內店),x0ga,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,2.4119636524812638,1058
1,八方雲集 (湖內大湖店),h8ay,2,"['台式', '餃子']",False,9.0,79.0,25.0,10.0,2.9966099635510433,2236
2,煮隊友餐坊,ehpp,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,20.0,10.0,2.5599975452966,77
3,3Q雞排 (湖內東方店),jxso,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.9381984762734734,1286
4,茶專 (大湖店),r1fc,1,['飲料'],False,15.0,79.0,15.0,5.0,2.046289623261751,312
5,梁家滷味,c4ub,2,['小吃'],False,9.0,79.0,20.0,5.0,2.817229069294066,623
6,85度C (高雄湖內店),wps8,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,15.0,5.0,1.5221884116917817,48
7,鑫鱻鮮魚湯,x4wn,2,"['湯品', '粥', '台式']",False,9.0,79.0,20.0,5.0,2.960962469769995,654
8,麥當勞 (S266 高雄路竹店),k0nl,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,5.916833645122095,9468
9,老來味炸物專賣店,s5yf,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,5.24714249695835,1827
10,巨象網咖 (高雄湖內店),rs1b,2,['台式'],False,15.0,79.0,20.0,10.0,1.6395644486478382,42
11,Say Hi 肆海豆漿,oqjp,2,['小吃'],False,15.0,79.0,25.0,5.0,5.211257886834386,740
12,哲學炸物,tl1z,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,2.7237032776761096,9
13,路竹廟口,c8yo,2,"['便當', '台式']",False,9.0,79.0,25.0,5.0,5.459039977654278,1438
14,食神滷味 (高雄路竹店),x2iw,2,['小吃'],False,9.0,79.0,25.0,5.0,5.6105141893146575,628
15,客友複合式休閒廣場,xvwq,2,"['火鍋', '台式']",False,9.0,79.0,35.0,15.0,5.206523198063039,650
16,達美樂 (路竹店),o5bn,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,5.244261274710847,763
17,小時候,v9ox,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,25.0,10.0,2.919930942668859,184
18,劉佬冰茶,o6q3,1,['飲料'],False,15.0,79.0,15.0,5.0,2.0495731700683986,49
19,清心福全 (湖內東方店),k8bl,1,['飲料'],False,15.0,79.0,20.0,5.0,2.932880555374643,700
20,紅茶幫 (高雄東方店),t7mq,1,['飲料'],False,9.0,79.0,20.0,5.0,2.9388789646093274,402
21,菓茶坊,vplr,1,['飲料'],False,15.0,79.0,20.0,5.0,2.940589178332852,25
22,STARBUCKS 星巴克 (路竹門市),q9wt,2,"['歐美', '飲料']",False,15.0,79.0,25.0,5.0,4.317837489544348,2069
23,桂林宵夜,a06b,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,1.5273966789963616,8
24,古早味排骨飯,x7wu,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,15.0,5.241212955182212,800
25,早安山丘 (湖內東方店),qlfr,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.9622050589572524,3803
26,阿霞中西式早餐A-xia,h0qo,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.1009036337581812,509
27,弘爺漢堡 (路竹中和店),h8vj,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,5.305793991838725,3795
28,弘爺漢堡 (高雄湖內保生店),tert,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.4034012638861417,0
29,淺嵐美食店,v2wl,1,['台式'],False,9.0,79.0,40.0,15.0,2.8122770084086146,466
30,禾佳恬活力早餐店,fnjz,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,5.10658761169824,750
31,拉亞漢堡 (高雄湖內店),i9zy,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,2.675488838012358,801
32,東方美早餐店,j0lg,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,5.327434670570158,1283
33,巷口飯糰 (湖東店),x4sc,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,2.298058716939753,139
34,92度半咖啡 (高雄湖內號),yth5,2,"['咖啡', '飲料']",False,9.0,79.0,40.0,15.0,1.4263383802893468,18
35,吳家紅茶冰 (高雄新東方店),o0yj,2,['飲料'],False,9.0,79.0,40.0,15.0,2.952608443936759,479
