,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大埔鐵板燒 (路竹旗艦店),u1bp,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,3.4101485898781774,844
1,Pizza Hut必勝客 (高雄路竹店),c7ws,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,2.9817599223072753,1849
2,老賴茶棧 (高雄路竹店),ljm7,2,['飲料'],False,9.0,79.0,20.0,5.0,3.5581707138210175,284
3,白巷子 (高雄路竹店),ccp2,2,['飲料'],False,15.0,79.0,20.0,5.0,3.16335093477192,109
4,大上海臭臭鍋麻辣鍋火鍋 (高雄路竹店),pfxj,2,"['湯品', '火鍋', '台式']",False,9.0,79.0,30.0,15.0,3.772032871938172,1219
5,麥當勞 (S266 高雄路竹店),k0nl,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.326291478480152,9468
6,八方雲集 (湖內大湖店),h8ay,2,"['台式', '餃子']",False,9.0,79.0,20.0,10.0,2.8636679814748627,2236
7,松正鹽酥雞 (高雄湖內店),x0ga,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,2.943597081783499,1058
8,3Q雞排 (湖內東方店),jxso,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.699019161617386,1286
9,煮隊友餐坊,ehpp,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,20.0,10.0,2.698300771322031,77
10,老來味炸物專賣店,s5yf,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,3.018069230537994,1827
11,路竹廟口,c8yo,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,3.1134170327071478,1438
12,Say Hi 肆海豆漿,oqjp,2,['小吃'],False,15.0,79.0,20.0,5.0,3.141626694824387,740
13,湯家牛肉麵,g0or,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.4533035071464346,1014
14,麻古茶坊 (路竹忠孝店),u5ip,2,['飲料'],True,9.0,79.0,20.0,5.0,3.1123683830886426,1991
15,哲-筒仔米糕 (路竹中正店),j1lx,1,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,3.3054200503005102,1167
16,戰鬥雞-油雞/醉雞 輕食 (高雄路竹店),qckc,2,"['小吃', '健康餐']",False,9.0,79.0,20.0,5.0,3.023537734508624,214
17,梁家滷味,c4ub,2,['小吃'],False,9.0,79.0,20.0,5.0,2.7348301190444713,623
18,食神滷味 (高雄路竹店),x2iw,2,['小吃'],False,9.0,79.0,20.0,5.0,3.205525262035123,628
19,伊豆燒烤,v4pd,2,['小吃'],False,15.0,79.0,20.0,10.0,3.070408741187475,914
20,天才老媽.蚵仔煎 (高雄路竹店),remu,2,['台式'],False,15.0,79.0,25.0,10.0,3.3541691369098787,167
21,可不可熟成紅茶 (高雄路竹店),c1sc,1,['飲料'],False,15.0,79.0,20.0,5.0,3.210087146856557,2488
22,鮮茶道 (路竹中正店),n6pp,1,['飲料'],False,9.0,79.0,20.0,5.0,3.4923776884098823,1273
23,大上海香酥雞 (高雄路竹店),uzws,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,2.374729149041226,34
24,三媽臭臭鍋 (高雄路竹店),p1vr,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.5332327344279424,1686
25,鑫鱻鮮魚湯,x4wn,2,"['湯品', '粥', '台式']",False,9.0,79.0,20.0,5.0,2.7041497550071534,654
26,金茶伍手作茶飲 (高雄路竹店),t1oj,2,['飲料'],False,9.0,79.0,20.0,5.0,3.574514673507137,1645
27,水巷茶弄 (路竹中正店),r9cy,2,['飲料'],False,9.0,79.0,20.0,5.0,3.2215630997632543,1391
28,雞遇,k08s,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,3.1248043803565775,167
29,御天然綠豆湯 (高雄路竹店),c9ck,1,['甜點'],False,9.0,79.0,20.0,5.0,3.031788051353736,939
30,迷客夏 Milksha (高雄路竹店),t5ly,2,['飲料'],False,15.0,79.0,20.0,5.0,3.1619787984563197,569
31,藝鍋物 (高雄路竹店),p9ic,2,"['火鍋', '台式']",False,9.0,79.0,40.0,25.0,3.5046224453769472,654
32,嚐仙 冰品專賣店,q8xx,1,['甜點'],False,9.0,79.0,20.0,5.0,3.5698549127216985,893
33,邱記平價碳烤 (高雄路竹店),f1e2,2,['小吃'],False,15.0,79.0,20.0,5.0,3.3315605149050143,91
34,吮指王 (路竹大社店),u9mt,2,"['台式', '炸雞']",False,9.0,79.0,25.0,10.0,3.377899057094595,753
35,茶專 (大湖店),r1fc,1,['飲料'],False,15.0,79.0,20.0,5.0,3.1765462048266273,312
36,客友複合式休閒廣場,xvwq,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,2.7193307284511525,650
37,紅麻麻港式小火鍋,v4nt,2,"['火鍋', '港式']",False,9.0,79.0,35.0,20.0,3.6753337788554927,1018
38,吳家紅茶冰 (高雄路竹店),s9xg,2,['飲料'],False,9.0,79.0,20.0,5.0,3.5439343754131607,824
39,拿坡里 (路竹店8435),izc8,3,"['披薩', '歐美', '炸雞']",False,9.0,79.0,30.0,15.0,3.576754921441063,286
40,永貞新村 (高雄路竹高科店),kr20,2,['飲料'],False,15.0,79.0,25.0,10.0,3.684239359501955,48
41,哲學炸物,tl1z,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,2.7790848372452652,9
42,烏弄 (路竹中正店),fjdv,2,['飲料'],True,9.0,79.0,20.0,5.0,3.5400709267392614,1151
43,古早味肉焿,c7gd,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.6651294955562683,198
44,達美樂 (路竹店),o5bn,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,2.973244402406103,763
45,五鮮級平價鍋物 (高雄路竹店),ixry,2,"['火鍋', '台式']",False,9.0,79.0,35.0,20.0,3.0187392016496695,524
46,樂樂香酥雞,cs08,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,3.7404216471598137,104
