,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南新營店),e0bq,2,"['披薩', '歐美']",False,19.0,79.0,15.0,5.0,2.0785817651504916,2591
1,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,20.0,5.0,2.657872482956827,81
2,麻古茶坊 (台南新營店),rmvq,2,['飲料'],False,19.0,79.0,15.0,5.0,2.3681649999988577,548
3,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,2.7308102074036924,231
4,21PLUS、21風味館 (新營三民門市),qczu,3,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,2.4907625512027627,61
5,八方雲集 (台南新營店),f9ms,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,2.0704160081663514,729
6,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,15.0,5.0,2.341429845949915,605
7,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.8936533641496203,10026
8,來雞特香雞排,d46w,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.1702956393645616,168
9,日船章魚小丸子 (台南新營店),e0mx,1,['日式'],False,19.0,79.0,15.0,5.0,2.2086828157138796,894
10,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,2.639624413661716,20
11,三媽臭臭鍋 (台南柳營店),f3qz,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.6727746954535232,1102
12,藝鍋物 (台南新營店),sqoz,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.6399384000908963,1020
13,金虎麵食館,v2l5,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,2.3540682456608524,103
14,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.1431640264383933,1414
15,迷客夏 Milksha (臺南新營店),e8ww,2,['飲料'],True,19.0,79.0,15.0,5.0,2.791661350929521,1872
16,老李米糕,ewjl,2,['台式'],False,19.0,79.0,15.0,5.0,2.4340861785166674,217
17,小府城,ez5u,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.1813292484133173,1065
18,85度C (台南新營店),ki23,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,2.570936463253281,133
19,十九甲雞排 (新營東興店),t8j7,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.6116022973226465,66
20,拿坡里 (新營店8413),slvt,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,20.0,10.0,2.0270205727603154,749
