,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鄭家雙蛋蚵仔煎,z87s,2,"['湯品', '小吃']",False,15.0,79.0,15.0,5.0,0.5711037959860447,89
1,肯德基KFC炸雞漢堡店 (高雄仁武店),g5sd,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.4599648483384522,118
2,新上海臭臭鍋 (鼎力店),y1xc,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.9537423172732753,9314
3,清心福全 (左營榮總店),ts45,1,['飲料'],False,15.0,79.0,25.0,5.0,3.6808654804401018,733
4,紅鼻子豬腳 (高雄仁雄店),furk,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.6267255427718261,925
5,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,25.0,5.0,4.388138645360314,6031
6,飛天甕缸雞休閒餐廳,da1g,3,['台式'],False,15.0,79.0,20.0,5.0,0.7586319148115608,18
7,阿智喝茶 (高雄重愛店),a3if,1,['飲料'],True,15.0,79.0,25.0,5.0,3.8891782782188002,1411
8,235巷義大利麵 (高雄鳳山文山店),y3kn,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,4.4821311023162975,7456
9,麥當勞 (S480 仁武鳳仁店),g7wp,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.7934030336036281,6735
10,漢林鐵板燒 (高雄仁武店),f0uq,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.6959761561078727,1049
11,牛魔王牛排 (仁武仁雄店),r6zq,2,"['台式', '牛排']",False,15.0,79.0,20.0,10.0,0.6405016115257036,1612
12,來碗拉麵 (高雄仁武店),i5cu,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.4076208232946958,1167
13,三媽臭臭鍋 (高雄仁武店),aeoc,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.4629968915083761,114
14,五桐號 WooTea (高雄仁武店),xjhk,2,['飲料'],False,15.0,79.0,15.0,5.0,0.34779159524474,33
15,烏弄 (高雄仁雄店),b8bh,2,['飲料'],False,15.0,79.0,15.0,5.0,0.3819164284000668,1450
16,迷客夏 Milksha (高雄仁武店),d0pv,2,['飲料'],False,15.0,79.0,15.0,5.0,0.746180031367435,1606
17,Pizza Hut必勝客 (高雄仁武店),e8eo,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.7827781751865168,1868
18,羽宣越南美食,gvam,2,['東南亞'],False,15.0,79.0,15.0,5.0,0.5687313264811105,78
19,岩涼手作 (仁武仁雄店),i0k2,2,['飲料'],False,15.0,79.0,15.0,5.0,0.42413623947811496,162
20,三分春色 (仁武仁雄店),yi54,2,['飲料'],False,15.0,79.0,15.0,5.0,0.9277048465222987,116
21,軍茶 (仁武仁雄店),hxwt,2,['飲料'],False,15.0,79.0,15.0,5.0,0.3535864900685685,113
22,冰茶馬克 (高雄仁雄店),s2gf,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4062736136044765,607
23,鮮茶道 (仁武仁雄店),d0zu,2,['飲料'],False,15.0,79.0,15.0,5.0,0.767503056692011,603
24,新寶號米糕,s4yb,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.0638483430225754,565
25,李桑香菇肉燥飯 (仁武八卦店),b7je,1,"['湯品', '台式']",False,15.0,79.0,25.0,15.0,1.9467583104464519,1228
26,台南担仔麵(登發店),i2mj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.480587362709132,392
27,阿橋師滷味,c6zm,2,['小吃'],False,15.0,79.0,20.0,5.0,2.3123595553533702,938
28,羊窩窩一碗小羊肉 (仁武八德店),eyew,2,['台式'],False,15.0,79.0,20.0,5.0,2.807497184401079,163
29,李家肉粽 (高雄仁武店),phag,2,['小吃'],False,15.0,79.0,20.0,5.0,1.446383336757462,165
30,台灣第一家塩酥雞 (仁武八德店),o3wi,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.0968794380982967,217
