,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義中興店),z4nr,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.746901478771947,2890
1,四海遊龍 (嘉義博愛店),z5tg,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,2.793999484275564,4189
2,春日蔬食(素),a0mp,2,['素食'],False,19.0,79.0,25.0,10.0,4.023134620093253,927
3,清心福全 (嘉義仁愛店),a9xh,1,['飲料'],False,19.0,79.0,20.0,5.0,4.067683186276308,1413
4,三國饌鴛鴦麻辣鍋 (嘉義鼎神店),f0sj,3,"['中式', '火鍋']",True,19.0,79.0,35.0,25.0,3.4792501688536217,286
5,麥當勞 (S312 嘉義北港店),l6qi,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.509679955668582,6836
6,北方水餃,b4rs,2,"['湯品', '台式', '餃子']",False,19.0,79.0,15.0,5.0,1.7474683007828222,1203
7,吉祥鐵板燒,b5od,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,3.197744541227803,1334
8,紅火鶴鴨魯飯,a8fi,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,2.790997701842199,907
9,嘉義豆奶攤 (嘉義興業店),a6lh,2,['台式'],False,19.0,79.0,20.0,5.0,3.1981756030028774,2056
10,午夜快車 (嘉義興業店),q2vn,2,['台式'],False,19.0,79.0,20.0,5.0,2.9614010465796534,203
11,狀元廣東粥 (嘉義中興店),s0km,2,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.7758412753575485,1236
12,好口味陽春麵魯味,tr38,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.8549455533177763,595
13,三媽臭臭鍋 (嘉義興業店),z2li,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.2514636053206165,5067
14,帥叔叔雞排,t7wy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.652239895227322,875
15,在義起義大利麵,ud7q,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,3.866088854460508,2590
16,鮮五丼 (嘉義店4824),oyzq,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,3.907312321146527,1569
17,九湯屋日式拉麵 (嘉義光彩店),z2eu,2,"['麵食', '日式']",True,19.0,79.0,20.0,5.0,4.094560436462334,1926
18,豚將日本拉麵 (嘉義興業店),a4pd,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.2718977534570337,918
19,重慶紅水煮魚麵疙瘩,j5jp,2,"['中式', '麵食']",False,19.0,79.0,20.0,10.0,2.7428647772702104,375
20,摩哦的店 (原木烤肉飯),wxjp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,2.589780276755644,313
21,川牛木石亭 (嘉義店),z1xe,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,4.041893443072876,2089
22,三媽臭臭鍋 (嘉義友愛店),v4ot,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.8328061971439387,4717
23,鮮茶道 (嘉義玉山店),a8ty,2,['飲料'],False,19.0,79.0,15.0,5.0,2.6670750679549333,775
24,21PLUS、21風味館 (嘉義大潤發門市),a7fp,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.904576917278922,2934
25,麥飯樂,x3kj,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,25.0,4.190384875717702,3878
26,八棧雞湯 (嘉義仁愛店),zqxi,2,['台式'],False,19.0,79.0,20.0,5.0,3.7737735269226964,107
27,大上海香酥雞 (嘉義高鐵大道店),swby,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.2892549840092524,250
28,阿滿姨什錦麵,iatd,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.429557129348223,946
29,肯德基KFC炸雞漢堡店 (嘉義中興店),a9ty,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.4377607368637437,1665
30,荳荳龍義大利麵/燉飯/焗烤,e7qu,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,3.288866407057287,2941
31,胖老爹美式炸雞 (嘉義水上店),t4kv,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,2.811473190600416,866
32,水上軒豆漿,p9qh,1,['小吃'],False,19.0,79.0,20.0,5.0,2.992353157635706,991
33,鋒味鹽酥雞,hyac,2,['小吃'],False,19.0,79.0,25.0,10.0,4.572912906991595,306
34,阿德現炒,a3fi,2,"['湯品', '麵食', '台式']",True,19.0,79.0,20.0,5.0,3.7867000437249163,2474
35,上榮新疆烤肉串 (嘉義民生南店),a1mw,2,['小吃'],False,19.0,79.0,25.0,10.0,3.5919743624260883,2462
36,三商巧福 (4439嘉義三店),g1kq,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.8760456931034,945
37,阿亮香雞排 (嘉義興達店),kkqz,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.647456301545016,244
38,古丁 (嘉義博愛店),hht9,2,['飲料'],False,19.0,79.0,20.0,5.0,4.18633835969595,681
39,紅葉牛排 (嘉義友愛店),f4tx,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.9254542401626806,1319
40,85度C (嘉義水上店),g6uc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,2.5411762754017446,456
41,迷客夏 Milksha (嘉義玉山店),bb8w,2,['飲料'],False,19.0,79.0,20.0,5.0,2.4225743383873604,174
42,爆Q美式炸雞 (嘉義民族店),a8zc,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,4.191336865730874,2780
43,黑棟當歸鴨 (嘉義水上店),o6vx,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,2.7734764192864603,225
44,六哥古早味烤玉米,a5mq,2,"['甜點', '小吃']",False,19.0,79.0,20.0,5.0,2.493676801855283,134
