,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S410 嘉義後庄店),d4db,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.552124591932733,8524
1,釜山崔炸雞 (嘉義吳鳳店),pzmv,2,"['韓式', '炸雞']",False,19.0,79.0,20.0,5.0,4.330947299828902,426
2,上榮新疆烤肉串(嘉義後庄店),z7kt,2,['小吃'],False,19.0,79.0,20.0,10.0,3.25660272209934,927
3,粥年慶,d8id,1,"['粥', '台式']",False,19.0,79.0,20.0,5.0,3.0275162530107416,680
4,楓味屋咖哩飯/丼飯/拉麵,e2dq,2,"['麵食', '咖哩', '日式']",False,19.0,79.0,20.0,5.0,3.3935729483709753,1330
5,黑棟當歸鴨 (嘉義後庄店),q4uc,2,"['麵食', '台式']",False,19.0,79.0,25.0,10.0,3.4353489879725605,335
6,欣葉牛排 (嘉義吳鳳南路店),s2zg,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,4.153081881440708,957
7,四海遊龍 (嘉義中埔店),a5ru,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,4.1629711431740715,2019
8,魯都香 (中埔後庄店),sgap,2,['小吃'],False,19.0,79.0,20.0,5.0,3.1894703960332165,313
9,四季臭臭鍋,e3ug,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.5842443232944654,1141
10,小妞魯味 (嘉義後庄店),z0ov,2,['小吃'],False,19.0,79.0,20.0,5.0,3.2542300198881446,1340
11,迷客夏 Milksha (嘉義後庄店),yj82,2,['飲料'],False,19.0,79.0,20.0,5.0,3.2790396923527156,117
12,四川樂山麻辣燙 (嘉義後庄店),z0kx,1,['中式'],False,19.0,79.0,20.0,5.0,3.2502018181499164,744
13,可不可熟成紅茶 (嘉義後庄店),ikop,1,['飲料'],False,19.0,79.0,20.0,5.0,3.5141205668454614,552
14,客客客 鍋物·小火鍋,b4vb,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.777667556160521,1742
15,白巷子 (中埔後庄店),bpst,2,['飲料'],False,19.0,79.0,20.0,5.0,3.457659483288028,465
16,TEATOP 第一味 (嘉義後庄店),k0ng,2,['飲料'],False,19.0,79.0,20.0,5.0,3.5981220105498406,444
17,鮮茶道 (嘉義後庄店),z6em,1,['飲料'],False,19.0,79.0,20.0,5.0,3.516610314442089,867
18,炭烤夯肉小攤,ku3l,2,['小吃'],False,19.0,79.0,20.0,5.0,3.274958315745901,35
19,厚一點雞排專賣店 (嘉義總店),h10t,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,4.498731155273998,1009
20,可可台越黑白炒,nmbn,2,"['湯品', '麵食', '東南亞']",False,19.0,79.0,20.0,10.0,3.6929122989479874,94
21,Tea's原味 (嘉義輔仁店),a2wr,1,['飲料'],False,19.0,79.0,20.0,5.0,4.180610840247426,821
22,客客客綜合美食,e591,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,3.7883833672092475,209
23,吳家紅茶冰 (嘉義後庄店),i6kr,1,['飲料'],False,19.0,79.0,20.0,5.0,3.2682574479115902,376
24,北港老孫羊肉 (嘉義軍輝店),z4uo,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.3721867514202173,383
25,吳家紅茶冰 (嘉義民生店),ar15,1,['飲料'],False,19.0,79.0,20.0,5.0,3.058779292164851,16
26,巧之脆 (中埔後庄店),r7bf,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.527020839872107,45
27,斟有味冷滷專賣,mkmo,2,['小吃'],False,19.0,79.0,20.0,5.0,3.5103618664559417,103
28,極速特區網路美食館,mdp7,2,['中式'],False,19.0,79.0,20.0,5.0,4.176886449852059,68
29,廣東烤肉-45年炭火職人,a4ix,2,['小吃'],False,19.0,79.0,20.0,5.0,3.2981167099653304,156
30,鮮茶道 (嘉義吳鳳南店),p3wu,1,['飲料'],False,19.0,79.0,20.0,5.0,4.213795794334849,44
31,Q董凍圓 (嘉義後庄店),fwla,2,['甜點'],False,19.0,79.0,25.0,10.0,3.7150769803574137,28
32,旅人現烤甜甜圈 (嘉義鳳南店),qch4,2,['甜點'],False,19.0,79.0,35.0,20.0,3.469905890164024,66
33,馬叔叔涮涮鍋,v6io,2,"['火鍋', '日式']",False,19.0,79.0,40.0,30.0,3.601044270474183,268
