,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,阿香麵攤,t1ji,1,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.8384418449442728,395
1,麥當勞 (S448 嘉義民雄店),x5av,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.3061822526387314,6941
2,漢哥一吉軒,i4qo,1,['台式'],False,19.0,79.0,15.0,10.0,0.27261682124689507,1517
3,俗擱大碗鴨肉飯鴨肉羹,t6fu,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.49820199108556623,1973
4,福星藥頭排骨平價快炒 (嘉義民雄店),f1ij,2,['台式'],False,19.0,79.0,15.0,5.0,0.3766670665465518,1245
5,濟濟一堂 (嘉義民雄總店),xlw0,2,"['咖哩', '日式']",False,19.0,79.0,15.0,5.0,0.5413360847716653,347
6,野雞騎士,o9yg,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.054782488882657146,487
7,龍坐鐵板燒,l8as,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,0.9598787999912105,1611
8,爭鮮迴轉壽司 (民雄店),h4gi,2,['日式'],True,19.0,79.0,10.0,5.0,0.24646095509299432,691
9,巧之脆中美式炸雞 (嘉義民雄店),thyn,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,10.0,0.14696875960103412,102
10,小妞魯味 (嘉義民雄店),c0xr,1,['小吃'],False,19.0,79.0,15.0,5.0,0.34964293814798314,522
11,Pizza Hut必勝客 (嘉義民雄店),q0sr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.9072460832082816,1688
12,岩葉拉麵 (嘉義民雄店),j3zd,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.6256384356957344,712
13,鶴茶樓-鶴頂紅茶商行 (嘉義民雄店),bg9t,1,['飲料'],False,19.0,79.0,15.0,10.0,0.3695477713712386,275
14,珍煮丹 (嘉義民雄店),cjka,2,['飲料'],False,19.0,79.0,15.0,5.0,0.42045654263370474,318
15,頂好馨平價小火鍋,n2fm,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.7203551816758923,1167
16,九湯屋日式拉麵 (嘉義民雄店),h5sl,2,"['麵食', '日式']",True,19.0,79.0,15.0,5.0,0.5192340761438285,633
