,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,阿香麵攤,t1ji,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,0.33684608819720824,395
1,麥當勞 (S448 嘉義民雄店),x5av,2,"['漢堡', '歐美']",False,19.0,79.0,40.0,15.0,0.49144442456848564,6941
2,俗擱大碗鴨肉飯鴨肉羹,t6fu,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.21302203216241478,1973
3,龍坐鐵板燒,l8as,2,"['鐵板燒', '台式']",False,19.0,79.0,40.0,15.0,0.44242181501928773,1611
4,濟濟一堂 (嘉義民雄總店),xlw0,2,"['咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.25730683586737496,347
5,福星藥頭排骨平價快炒 (嘉義民雄店),f1ij,2,['台式'],False,19.0,79.0,40.0,15.0,0.46174260539400713,1245
6,漢哥一吉軒,i4qo,1,['台式'],False,19.0,79.0,40.0,15.0,0.4391447328905568,1517
7,頂好馨平價小火鍋,n2fm,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,0.6089768104287568,1167
8,Pizza Hut必勝客 (嘉義民雄店),q0sr,2,"['披薩', '歐美']",False,19.0,79.0,40.0,15.0,0.745387166021212,1688
9,六扇門 (嘉義民雄店),n32f,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,0.39627690656336584,431
10,達美樂 (民雄文化店),t4vz,3,"['披薩', '歐美']",False,30.0,199.0,30.0,15.0,0.2814916141655384,627
11,巧之脆中美式炸雞 (嘉義民雄店),thyn,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,0.47749917784153906,102
12,岩葉拉麵 (嘉義民雄店),j3zd,2,"['麵食', '日式']",False,19.0,79.0,40.0,15.0,0.15467073845956314,712
13,成功牛排 (嘉義民雄店),g5ab,2,"['台式', '牛排']",False,19.0,79.0,40.0,15.0,0.32578963471774913,376
14,野雞騎士,o9yg,2,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,0.6293162597736367,487
15,珍煮丹 (嘉義民雄店),cjka,2,['飲料'],False,19.0,79.0,40.0,15.0,0.2127862333543175,318
16,小妞魯味 (嘉義民雄店),c0xr,1,['小吃'],False,19.0,79.0,40.0,15.0,0.3255266564784371,522
17,九湯屋日式拉麵 (嘉義民雄店),h5sl,2,"['麵食', '日式']",True,19.0,79.0,40.0,15.0,0.25059320711693656,633
18,鶴茶樓-鶴頂紅茶商行 (嘉義民雄店),bg9t,1,['飲料'],False,19.0,79.0,40.0,15.0,0.366439989388568,275
19,爭鮮迴轉壽司 (民雄店),h4gi,2,['日式'],True,19.0,79.0,40.0,15.0,0.6986780063418004,691
20,當歸鴨麵線,h6vy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,0.1351886322894422,539
21,絕佳食雞 (嘉義吳鳳店),f9sw,2,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,2.4005038610705585,1364
22,昌平炸雞王 (嘉義民雄店),k5gh,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,0.2496282352129011,214
23,芭茛茶飲民雄店,h0cs,2,['飲料'],False,19.0,79.0,40.0,15.0,0.36864152706302533,852
24,湯師父美味鍋24H (嘉義民雄店),g9mh,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,0.43915709321062607,860
25,拿坡里 (民雄店8428),v3mu,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,40.0,15.0,0.4578829076173324,619
26,大呼過癮臭臭鍋 (嘉義民雄店),x5px,2,"['火鍋', '台式']",True,19.0,79.0,40.0,15.0,0.5939660962447909,583
27,真心桶仔雞,xw5j,2,['台式'],False,19.0,79.0,40.0,15.0,2.1533887201389272,1082
28,鮮茶道 (民雄東榮店),zd3q,1,['飲料'],False,19.0,79.0,40.0,15.0,0.3896094259238411,100
