,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (彰化三民店),a5dk,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.359040830988903,2772
1,胖老爹美式炸雞 (彰化彰師店),a4wn,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,10.0,1.2357099429935676,1251
2,老先覺功夫窯燒鍋 (彰化中山店),z7al,2,"['火鍋', '台式']",True,19.0,79.0,35.0,20.0,3.3786589213833107,2506
3,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,25.0,5.0,3.716838633720947,44
4,甲文青 (彰化成功店),p2fs,2,['飲料'],False,19.0,79.0,20.0,5.0,3.1692502681093653,679
5,乙奉茶堂,a4wz,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8597182428278485,806
6,頂呱呱TKK (彰化站前店),qb5x,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.1443885729710437,381
7,彰化木瓜牛乳大王 (創始店),z8ig,1,['甜點'],False,19.0,79.0,20.0,5.0,2.9727576874288575,1962
8,品八方 (彰化金馬店),q7es,3,['港式'],False,19.0,79.0,25.0,5.0,3.260840524092655,12
9,員林南門四神湯 (彰化中正店),p7nr,2,"['湯品', '麵食', '台式']",True,19.0,79.0,25.0,5.0,3.748793910174783,2012
10,联亭泡菜鍋 (彰化永安店),g5fz,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,2.7081605247304488,1969
11,鼎香無骨鹽酥雞,eq9k,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.746942823356784,395
12,不時不食清鍋物,rczj,3,"['火鍋', '台式']",False,19.0,79.0,45.0,25.0,4.117721349085626,419
13,福客來牛肉麵 (彰化大竹店),g9bk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.3383880499631786,328
14,謝記燒烤,whk9,2,['小吃'],False,19.0,79.0,20.0,10.0,1.6541610490658065,1644
15,風味主題炒飯,n8ms,2,"['咖哩', '台式']",False,19.0,79.0,30.0,15.0,1.45171672617185,3392
16,炸魂雞排 (彰化彰南店),z6ta,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.1753594065409672,1840
17,麥當勞 (S237 彰化金馬店),d5ii,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.1575995487323447,8825
18,吳記大腸蚵仔麵線 (彰化彰師店),z0no,2,"['湯品', '小吃']",False,19.0,79.0,20.0,5.0,1.5239583715685143,2139
19,潮麻吉 (彰化實踐店),zwzl,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.7009271097175502,870
20,漢林鐵板燒 (彰化三民店),z1lc,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.3823670484828683,4155
21,家味湯包蒸餃,wlt6,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,5.0,1.5264344249014914,259
22,TEATOP 第一味 (彰化彰南店),ppn5,2,['飲料'],False,19.0,79.0,15.0,5.0,1.2414092754121329,238
23,可不可熟成紅茶 (彰化彰南店),nqcp,1,['飲料'],False,19.0,79.0,15.0,5.0,1.2640332535992258,575
24,九龍廣東粥 (彰化實踐店),g6m7,1,"['中式', '湯品', '粥']",False,19.0,79.0,20.0,5.0,1.715010358264477,261
25,洪鹹酥雞,a4kz,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.4578174686191265,1534
26,Burger King 漢堡王 (彰化店),qvfh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.841639227915649,2071
27,溱頌什錦麵,ze2t,1,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.1793456389560264,59
28,21PLUS、21風味館 (彰化中正門市),mctj,3,"['歐美', '炸雞']",False,19.0,79.0,25.0,5.0,3.4042611188912137,260
29,粥公麵婆 (彰化彰南店),c214,2,"['粥', '台式']",False,19.0,79.0,15.0,5.0,1.2000820573361335,170
30,甘老味幸福牛肉麵,f0sv,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.4851329506347515,2132
31,大苑子 (彰化大竹店),z6as,2,['飲料'],False,19.0,79.0,20.0,5.0,1.3528162034759526,2156
32,豚將日本拉麵 (彰化師大店),o8cs,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,1.7079354009049137,541
33,豪傳說雞排 (彰化師大店),cxl4,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.4640629175464643,113
34,老滷仙 (彰化三民店),p1ua,2,['小吃'],False,19.0,79.0,25.0,10.0,2.9894849681179556,1439
35,萬波島嶼紅茶 (彰化中華店),liaa,2,['飲料'],False,19.0,79.0,20.0,5.0,3.136386157298796,157
36,傻師傅湯包 (彰化彰師店),x299,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,1.5293951623954742,669
37,心緣素食麵,u8tm,1,"['湯品', '麵食', '素食']",False,19.0,79.0,20.0,5.0,2.598970341261869,602
38,喫茶小舖 (彰化師大店),hlp8,1,['飲料'],False,19.0,79.0,20.0,5.0,1.4047981161094856,266
39,板井滷肉飯,hj5s,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,1.4289176359893014,288
40,成功牛排 (彰化店),f6rd,2,"['台式', '牛排']",False,19.0,79.0,20.0,10.0,2.0183396746046984,725
41,皇品牛肉麵 (彰化彰美店),f0xb,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,3.012559476989158,2802
42,NuPasta (彰化實踐師大店),z8fg,3,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,1.7638284360180112,1152
43,釜山崔炸雞 (彰化店),z9kv,2,"['韓式', '炸雞']",False,19.0,79.0,20.0,5.0,1.5564845506691056,1640
44,九龍廣東粥 (彰化民生店),z4pw,2,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.081536738764971,2291
45,犁田鹹酥雞 (彰化華山店),tlr0,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.3159461716808716,1188
46,豆豆喝豆漿,b3fj,1,['小吃'],False,19.0,79.0,20.0,5.0,2.928571539769,1507
47,脆皮雞排 (彰化店),b6aw,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.9820383551918455,1848
48,胖老爹美式炸雞 (彰化彰師店),a4wn,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,10.0,1.2357099429935676,1251
49,老先覺功夫窯燒鍋 (彰化中山店),z7al,2,"['火鍋', '台式']",True,19.0,79.0,35.0,20.0,3.3786589213833107,2506
50,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,25.0,5.0,3.716838633720947,44
51,甲文青 (彰化成功店),p2fs,2,['飲料'],False,19.0,79.0,20.0,5.0,3.1692502681093653,679
52,乙奉茶堂,a4wz,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8597182428278485,806
53,頂呱呱TKK (彰化站前店),qb5x,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.1443885729710437,381
54,彰化木瓜牛乳大王 (創始店),z8ig,1,['甜點'],False,19.0,79.0,20.0,5.0,2.9727576874288575,1962
55,品八方 (彰化金馬店),q7es,3,['港式'],False,19.0,79.0,25.0,5.0,3.260840524092655,12
56,員林南門四神湯 (彰化中正店),p7nr,2,"['湯品', '麵食', '台式']",True,19.0,79.0,25.0,5.0,3.748793910174783,2012
57,联亭泡菜鍋 (彰化永安店),g5fz,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,2.7081605247304488,1969
58,鼎香無骨鹽酥雞,eq9k,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.746942823356784,395
59,不時不食清鍋物,rczj,3,"['火鍋', '台式']",False,19.0,79.0,45.0,25.0,4.117721349085626,419
60,福客來牛肉麵 (彰化大竹店),g9bk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.3383880499631786,328
61,謝記燒烤,whk9,2,['小吃'],False,19.0,79.0,20.0,10.0,1.6541610490658065,1644
62,風味主題炒飯,n8ms,2,"['咖哩', '台式']",False,19.0,79.0,30.0,15.0,1.45171672617185,3392
63,炸魂雞排 (彰化彰南店),z6ta,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.1753594065409672,1840
64,麥當勞 (S237 彰化金馬店),d5ii,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.1575995487323447,8825
65,吳記大腸蚵仔麵線 (彰化彰師店),z0no,2,"['湯品', '小吃']",False,19.0,79.0,20.0,5.0,1.5239583715685143,2139
66,潮麻吉 (彰化實踐店),zwzl,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.7009271097175502,870
67,漢林鐵板燒 (彰化三民店),z1lc,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.3823670484828683,4155
68,家味湯包蒸餃,wlt6,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,5.0,1.5264344249014914,259
