,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,韓山寺 (太保南新店),jzha,2,['韓式'],False,19.0,79.0,20.0,5.0,3.6588264007870244,196
1,億客倈鹽酥雞,f9ym,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.0166769718453694,1110
2,林記滷味,vhv6,2,['小吃'],False,19.0,79.0,20.0,5.0,3.0207791744741312,267
3,50嵐 (太保中山店),f1qd,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4440973583127237,746
4,石一籠湯包 (麻魚寮店),h9zi,2,"['中式', '湯品']",False,19.0,79.0,25.0,10.0,2.8378167513346395,532
5,辛鮮串串,f4er,2,['小吃'],False,19.0,79.0,20.0,5.0,2.8331598055372775,414
6,數一數二碳烤香雞排 (嘉義水牛厝店),mdir,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.8170156457963205,40
7,霸味薑母鴨(個人獨享鍋),f6jz,2,"['火鍋', '台式']",False,19.0,79.0,20.0,5.0,3.8946066619939272,144
8,迷客夏 Milksha (太保中山門市),n6t4,1,['飲料'],False,19.0,79.0,20.0,5.0,3.724414982535071,59
9,85度C (嘉義太保店),j1fv,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.9723496550576582,379
10,小鹿冰荳茶,ff48,1,['甜點'],False,19.0,79.0,25.0,10.0,3.996839777468046,5
11,清霖茶莊 (嘉義太保總店),e1fo,1,['飲料'],False,19.0,79.0,20.0,5.0,3.3102671839900326,1040
12,國王來了皇家紅茶 (太保中山店),hyli,1,['飲料'],False,19.0,79.0,20.0,5.0,3.7018075697367485,30
13,早安山丘 (嘉義麻魚寮店),e4wg,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.8871388315336572,1540
14,美而美 (嘉義麻太店),z3p7,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.787017417469708,20
15,吳家紅茶冰 (太保中山店),fg37,1,['飲料'],False,19.0,79.0,40.0,15.0,3.0923338762857293,2
16,清原芋圓 (嘉義太保店),f6wo,1,['甜點'],False,19.0,79.0,40.0,10.0,3.1512176442309037,624
17,嘉合爺古早味紅茶冰,qtb7,1,['飲料'],False,19.0,79.0,40.0,15.0,4.066632109221436,182
18,八方雲集 (太保中山店),k0fx,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,3.211930255022672,919
19,黃家牛肉麵/水餃/飯,f3hs,2,"['便當', '麵食', '台式', '餃子']",False,19.0,79.0,40.0,15.0,3.3069625974913905,1074
20,四海遊龍 (太保南新店),e8od,2,"['台式', '餃子']",False,19.0,79.0,40.0,10.0,3.882070391433686,1018
21,我們茶飲tea-shop,gjvx,1,['飲料'],False,19.0,79.0,40.0,15.0,3.2788906879939246,53
22,五花馬水餃館 (嘉義太保門市),k80x,2,"['湯品', '台式', '餃子']",False,19.0,79.0,40.0,15.0,4.238954332346043,199
23,胖老爹美式炸雞 (嘉義太保店),t2jb,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,2.823122636797227,619
24,加麵食堂日式拉麵,e2kl,2,"['麵食', '日式']",False,19.0,79.0,40.0,10.0,3.166168342916471,325
25,夏立克綠豆沙 (嘉義太保店),rnxo,1,['飲料'],False,19.0,79.0,40.0,15.0,3.01308164019086,138
26,昌平炸雞王 (嘉義太保店),t4rp,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,3.1416723347134434,305
27,石頭BBQ炭火烤肉,e4ze,2,['小吃'],False,19.0,79.0,40.0,10.0,3.051574372442488,386
28,宜華蛋餅 (太保南新店),y0k7,1,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.043295507240434,24
29,億客倈鹽酥雞,f9ym,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.0166769718453694,1110
30,林記滷味,vhv6,2,['小吃'],False,19.0,79.0,20.0,5.0,3.0207791744741312,267
31,50嵐 (太保中山店),f1qd,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4440973583127237,746
32,石一籠湯包 (麻魚寮店),h9zi,2,"['中式', '湯品']",False,19.0,79.0,25.0,10.0,2.8378167513346395,532
33,辛鮮串串,f4er,2,['小吃'],False,19.0,79.0,20.0,5.0,2.8331598055372775,414
34,數一數二碳烤香雞排 (嘉義水牛厝店),mdir,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.8170156457963205,40
35,霸味薑母鴨(個人獨享鍋),f6jz,2,"['火鍋', '台式']",False,19.0,79.0,20.0,5.0,3.8946066619939272,144
36,迷客夏 Milksha (太保中山門市),n6t4,1,['飲料'],False,19.0,79.0,20.0,5.0,3.724414982535071,59
37,85度C (嘉義太保店),j1fv,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.9723496550576582,379
38,小鹿冰荳茶,ff48,1,['甜點'],False,19.0,79.0,25.0,10.0,3.996839777468046,5
39,清霖茶莊 (嘉義太保總店),e1fo,1,['飲料'],False,19.0,79.0,20.0,5.0,3.3102671839900326,1040
40,國王來了皇家紅茶 (太保中山店),hyli,1,['飲料'],False,19.0,79.0,20.0,5.0,3.7018075697367485,30
41,早安山丘 (嘉義麻魚寮店),e4wg,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.8871388315336572,1540
42,美而美 (嘉義麻太店),z3p7,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.787017417469708,20
43,吳家紅茶冰 (太保中山店),fg37,1,['飲料'],False,19.0,79.0,40.0,15.0,3.0923338762857293,2
44,清原芋圓 (嘉義太保店),f6wo,1,['甜點'],False,19.0,79.0,40.0,10.0,3.1512176442309037,624
45,嘉合爺古早味紅茶冰,qtb7,1,['飲料'],False,19.0,79.0,40.0,15.0,4.066632109221436,182
46,八方雲集 (太保中山店),k0fx,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,3.211930255022672,919
47,黃家牛肉麵/水餃/飯,f3hs,2,"['便當', '麵食', '台式', '餃子']",False,19.0,79.0,40.0,15.0,3.3069625974913905,1074
48,四海遊龍 (太保南新店),e8od,2,"['台式', '餃子']",False,19.0,79.0,40.0,10.0,3.882070391433686,1018
49,我們茶飲tea-shop,gjvx,1,['飲料'],False,19.0,79.0,40.0,15.0,3.2788906879939246,53
50,五花馬水餃館 (嘉義太保門市),k80x,2,"['湯品', '台式', '餃子']",False,19.0,79.0,40.0,15.0,4.238954332346043,199
51,胖老爹美式炸雞 (嘉義太保店),t2jb,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,2.823122636797227,619
52,加麵食堂日式拉麵,e2kl,2,"['麵食', '日式']",False,19.0,79.0,40.0,10.0,3.166168342916471,325
53,夏立克綠豆沙 (嘉義太保店),rnxo,1,['飲料'],False,19.0,79.0,40.0,15.0,3.01308164019086,138
54,昌平炸雞王 (嘉義太保店),t4rp,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,3.1416723347134434,305
55,石頭BBQ炭火烤肉,e4ze,2,['小吃'],False,19.0,79.0,40.0,10.0,3.051574372442488,386
56,宜華蛋餅 (太保南新店),y0k7,1,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.043295507240434,24
