,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義吳鳳南店),jezr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.7149609550409897,1724
1,客客客 鍋物·小火鍋,b4vb,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.4589417471093425,1742
2,春日蔬食(素),a0mp,2,['素食'],False,19.0,79.0,25.0,10.0,3.364627461942744,927
3,清心福全 (嘉義仁愛店),a9xh,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4042212092653443,1413
4,燃 手串,z3gg,2,['小吃'],False,19.0,79.0,25.0,15.0,3.4521419964125064,1018
5,黃毛丫頭 (東山鴨頭專賣店),f8fi,2,['小吃'],True,19.0,79.0,20.0,10.0,3.096270164078022,1447
6,光華愛玉,a7ow,1,['甜點'],True,19.0,79.0,20.0,5.0,2.98618016693069,965
7,三國饌鴛鴦麻辣鍋 (嘉義鼎神店),f0sj,3,"['中式', '火鍋']",True,19.0,79.0,35.0,25.0,3.040702801330475,286
8,方櫃仔魯味 (嘉義文化路總店),z7et,1,['小吃'],True,19.0,79.0,20.0,5.0,3.1227347594920456,3754
9,桃城雞排(中正創始店),a5lp,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.5817292599935318,1347
10,樂檸漢堡 (嘉義中山市府門市),a6zh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.395544804236682,5423
11,二丫頭麻辣涼麵,z4ss,2,"['湯品', '麵食', '台式']",True,19.0,79.0,20.0,5.0,2.7896300547150137,1540
12,嘉義品安豆漿豆花,z0ib,1,['甜點'],False,19.0,79.0,20.0,5.0,3.2150664945918366,1920
13,麥當勞 (S410 嘉義後庄店),d4db,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.62266336097768,8524
14,上榮新疆烤肉串(嘉義後庄店),z7kt,2,['小吃'],False,19.0,79.0,15.0,10.0,0.2995946917166342,927
15,釜山崔炸雞 (嘉義吳鳳店),pzmv,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,5.0,1.5680491520972446,426
16,楓味屋咖哩飯/丼飯/拉麵,e2dq,2,"['麵食', '咖哩', '日式']",False,19.0,79.0,15.0,5.0,0.535296846604968,1330
17,四季臭臭鍋,e3ug,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.4891783514412517,1141
18,魯都香 (中埔後庄店),sgap,2,['小吃'],False,19.0,79.0,10.0,5.0,0.2976793250644987,313
19,小妞魯味 (嘉義後庄店),z0ov,2,['小吃'],False,19.0,79.0,10.0,5.0,0.311532947820028,1340
20,黑棟當歸鴨 (嘉義後庄店),q4uc,2,"['麵食', '台式']",False,19.0,79.0,20.0,10.0,0.514065018959987,335
21,迷客夏 Milksha (嘉義後庄店),yj82,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3468463278922234,117
22,欣葉牛排 (嘉義吳鳳南路店),s2zg,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,1.3351402318918555,957
23,粥年慶,d8id,1,"['粥', '台式']",False,19.0,79.0,15.0,5.0,0.6927220617671169,680
24,可不可熟成紅茶 (嘉義後庄店),ikop,1,['飲料'],False,19.0,79.0,10.0,5.0,0.5674269918247736,552
25,四海遊龍 (嘉義中埔店),a5ru,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,1.3250353800916033,2019
26,大眾第一家鹽酥雞,a6xj,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.8666975032192916,1617
27,四川樂山麻辣燙 (嘉義後庄店),z0kx,1,['中式'],False,19.0,79.0,15.0,5.0,0.31122216944787184,744
28,白巷子 (中埔後庄店),bpst,2,['飲料'],False,19.0,79.0,10.0,5.0,0.5128954620325734,465
29,曹家牛肉麵 (嘉義民生店),j4sz,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.8296115122729777,2637
30,三十張燒烤炸物 (嘉義旗艦店),i4tg,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,2.0549975518033605,1373
