,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義中興店),z4nr,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,5.105508711511388,2890
1,韓山寺 (太保南新店),jzha,2,['韓式'],False,19.0,79.0,15.0,5.0,0.5444060364922207,196
2,億客倈鹽酥雞,f9ym,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.346489380626633,1110
3,50嵐 (太保中山店),f1qd,1,['飲料'],False,19.0,79.0,15.0,5.0,0.8032081938283553,746
4,霸味薑母鴨(個人獨享鍋),f6jz,2,"['火鍋', '台式']",False,19.0,79.0,10.0,5.0,0.3539345725325904,144
5,林記滷味,vhv6,2,['小吃'],False,19.0,79.0,15.0,5.0,1.345984840298307,267
6,數一數二碳烤香雞排 (嘉義水牛厝店),mdir,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,0.3613928863178345,40
7,迷客夏 Milksha (太保中山門市),n6t4,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4746036020486798,59
8,85度C (嘉義太保店),j1fv,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.2494008531518522,379
9,石一籠湯包 (麻魚寮店),h9zi,2,"['中式', '湯品']",False,19.0,79.0,20.0,10.0,1.728253299050628,532
10,辛鮮串串,f4er,2,['小吃'],False,19.0,79.0,15.0,5.0,1.735542517696194,414
11,麥當勞 (S312 嘉義北港店),l6qi,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,5.037892538297647,6836
12,小鹿冰荳茶,ff48,1,['甜點'],False,19.0,79.0,15.0,10.0,0.23213027293232785,5
13,六之壹複合式餐飲店,d7tr,2,"['湯品', '台式']",False,19.0,79.0,25.0,5.0,5.51395975364602,123
14,達美樂 (嘉義博愛信義店),crbh,3,['歐美'],False,30.0,199.0,40.0,25.0,5.658650179939467,163
15,國王來了皇家紅茶 (太保中山店),hyli,1,['飲料'],False,19.0,79.0,15.0,5.0,0.4907527444129545,30
16,清霖茶莊 (嘉義太保總店),e1fo,1,['飲料'],False,19.0,79.0,15.0,5.0,0.9722947526961117,1040
17,木昂手作 (嘉義北港店),rph2,1,['飲料'],False,19.0,79.0,15.0,10.0,1.7738033037033918,7
18,早安山丘 (嘉義麻魚寮店),e4wg,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,1.530965123840889,1540
19,美而美 (嘉義麻太店),z3p7,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.1251535519324762,20
20,吳家紅茶冰 (太保中山店),fg37,1,['飲料'],False,19.0,79.0,40.0,15.0,1.2488140752316323,2
21,清原芋圓 (嘉義太保店),f6wo,1,['甜點'],False,19.0,79.0,40.0,10.0,1.1736646572843168,624
22,嘉合爺古早味紅茶冰,qtb7,1,['飲料'],False,19.0,79.0,40.0,15.0,0.10870388747880058,182
23,八方雲集 (太保中山店),k0fx,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,1.089862857271791,919
24,黃家牛肉麵/水餃/飯,f3hs,2,"['便當', '麵食', '台式', '餃子']",False,19.0,79.0,40.0,15.0,0.9763062530014862,1074
25,四海遊龍 (太保南新店),e8od,2,"['台式', '餃子']",False,19.0,79.0,40.0,10.0,0.2897864009210268,1018
26,品譽牛肉湯涮涮鍋,p1ji,2,"['湯品', '火鍋', '日式']",False,19.0,79.0,40.0,15.0,1.5219909176849784,130
27,我們茶飲tea-shop,gjvx,1,['飲料'],False,19.0,79.0,40.0,15.0,1.0105564006089771,53
28,五花馬水餃館 (嘉義太保門市),k80x,2,"['湯品', '台式', '餃子']",False,19.0,79.0,40.0,15.0,0.07816338365146051,199
29,加麵食堂日式拉麵,e2kl,2,"['麵食', '日式']",False,19.0,79.0,40.0,10.0,1.1545670655926203,325
30,胖老爹美式炸雞 (嘉義太保店),t2jb,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,2.2927265351182817,619
31,夏立克綠豆沙 (嘉義太保店),rnxo,1,['飲料'],False,19.0,79.0,40.0,15.0,1.3550431787447483,138
32,昌平炸雞王 (嘉義太保店),t4rp,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,1.1852120355373068,305
33,石頭BBQ炭火烤肉,e4ze,2,['小吃'],False,19.0,79.0,40.0,10.0,1.3085834592930767,386
34,良好餐行(西區外帶店),obam,2,['韓式'],False,19.0,79.0,40.0,15.0,3.913911139645306,78
35,宜華蛋餅 (太保南新店),y0k7,1,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.12947749392591146,24
36,韓山寺 (太保南新店),jzha,2,['韓式'],False,19.0,79.0,15.0,5.0,0.5444060364922207,196
37,億客倈鹽酥雞,f9ym,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.346489380626633,1110
