,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大立快炒,b1pu,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.863410036644028,2441
1,月見町拉麵 (嘉義東義店),z2r2,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.47645158517981,412
2,咔滋起司雞排,g4bx,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.8106749625570258,936
3,八方雲集 (嘉義林森店),n7eu,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,3.878091168983606,244
4,陶樂樂生活茶飲,o2ax,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6401593252377613,5
5,陽光閃閃早午餐,z0xq,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.8265479994074814,860
6,早安山丘 (嘉義林森東店),d6va,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.216240987535461,1375
7,弘爺漢堡 (嘉義林森店),a1xc,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.9225582153040697,836
8,盧家古早味,d3qt,1,"['便當', '台式']",False,19.0,79.0,40.0,10.0,1.0201727571276669,222
9,圃田禾味早午餐,kfiq,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.98855296142132,7
10,老牌涼麵 (嘉義林森店),acl0,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.7005082997206493,5
11,三媽臭臭鍋 (嘉義林森東店精忠國小),a5sk,2,"['火鍋', '台式']",False,19.0,79.0,40.0,10.0,2.58447337065435,2244
12,鼎莊火雞肉飯,b1po,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,10.0,4.025065946188021,442
13,家玲妹便當,w6i5,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.688482399505625,90
14,春井小吃店,x9ia,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.046880909326157,247
15,十四甲潤餅捲舖,ei4x,2,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,3.591347663180213,20
16,幸福山丘,z0i8,2,"['甜點', '蛋糕']",False,19.0,79.0,40.0,15.0,2.2961720180288308,10
17,越南小吃,d6iw,2,['東南亞'],False,19.0,79.0,40.0,10.0,3.0985561702234894,366
18,月見町拉麵 (嘉義東義店),z2r2,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.47645158517981,412
19,咔滋起司雞排,g4bx,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.8106749625570258,936
20,八方雲集 (嘉義林森店),n7eu,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,3.878091168983606,244
21,陶樂樂生活茶飲,o2ax,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6401593252377613,5
22,陽光閃閃早午餐,z0xq,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.8265479994074814,860
23,早安山丘 (嘉義林森東店),d6va,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.216240987535461,1375
24,弘爺漢堡 (嘉義林森店),a1xc,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.9225582153040697,836
25,盧家古早味,d3qt,1,"['便當', '台式']",False,19.0,79.0,40.0,10.0,1.0201727571276669,222
26,圃田禾味早午餐,kfiq,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.98855296142132,7
27,老牌涼麵 (嘉義林森店),acl0,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.7005082997206493,5
28,三媽臭臭鍋 (嘉義林森東店精忠國小),a5sk,2,"['火鍋', '台式']",False,19.0,79.0,40.0,10.0,2.58447337065435,2244
29,鼎莊火雞肉飯,b1po,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,10.0,4.025065946188021,442
30,家玲妹便當,w6i5,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.688482399505625,90
31,春井小吃店,x9ia,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.046880909326157,247
32,十四甲潤餅捲舖,ei4x,2,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,3.591347663180213,20
33,幸福山丘,z0i8,2,"['甜點', '蛋糕']",False,19.0,79.0,40.0,15.0,2.2961720180288308,10
34,越南小吃,d6iw,2,['東南亞'],False,19.0,79.0,40.0,10.0,3.0985561702234894,366
