,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,敖早Brunch早午餐,dn4x,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.9390263146161204,164
1,宜諠素食料理店,itqa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.996013662725185,11
2,喫茶小舖 (苗栗後龍店),k3sv,1,['飲料'],False,9.0,79.0,40.0,15.0,3.97217859339719,1392
3,順道茶飲店,x7jl,2,['飲料'],False,9.0,79.0,40.0,15.0,3.966556618618201,692
4,大瑋香腸/ 吐司專賣店,wip8,2,"['台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,4.0910776624266,44
5,甲一飯包 (苗栗後龍店),nu3u,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.984411847327075,384
6,小食堂-媽媽手作便當,v6zp,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.0044629738285753,229
7,八方雲集 (苗栗後龍店),t1dm,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,4.024028120769403,1726
8,幸福小城 (後龍中山店),jgml,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.9886008520263543,560
9,熊媽咪後龍手工大水餃,v1oe,2,"['湯品', '台式', '餃子']",False,9.0,79.0,40.0,15.0,3.8246403217859584,826
10,珍好味 (苗栗後龍店),lfrc,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.9800083222603164,118
11,讚不絕口火鍋 (苗栗後龍店),vqv2,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,4.120071474498414,380
12,熊媽咪素食店,zqlk,2,['素食'],False,9.0,79.0,40.0,15.0,3.8099448757890437,10
13,丘森茶室 (後龍中華店),xesr,1,['飲料'],False,9.0,79.0,40.0,15.0,4.031296959732791,256
14,茶聚 (苗栗後龍店),oz7n,2,['飲料'],False,9.0,79.0,40.0,15.0,4.027269763469049,229
15,古早味炸粿,h8pj,2,['小吃'],False,9.0,79.0,40.0,15.0,3.5402771885523547,179
16,壹玖柒酒1979熱炒小館,k2hr,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,3.7186976503502525,232
17,拉亞漢堡 (後龍中山店),j8bo,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,4.0015850538931215,1731
18,宋家粗米粉湯,swqe,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,4.096661586296167,44
19,非嚐不可早午餐,i36s,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.805007621846241,1295
20,上林&御品 (炸物.飲料),krt0,2,"['小吃', '炸雞']",False,9.0,79.0,40.0,15.0,3.9940224813825997,13
21,鴻品牛排 (苗栗後龍夜市),l3my,2,"['台式', '牛排']",False,9.0,79.0,40.0,15.0,4.406700342131017,279
22,胖老爹美式炸雞 (苗栗後龍店),r2is,2,"['歐美', '炸雞']",False,9.0,79.0,40.0,15.0,3.8341498457600998,1644
23,清心福全 (後龍三民店),s4hq,1,['飲料'],False,9.0,79.0,40.0,15.0,4.119290379860522,2218
24,Pizza Hut必勝客 (苗栗後龍店),u2oq,2,"['披薩', '歐美']",False,9.0,79.0,40.0,15.0,3.986536024388966,1381
25,CoCo都可 (苗栗後龍店),jicc,2,['飲料'],False,9.0,79.0,40.0,15.0,3.9684613921327876,437
26,真粥道 (苗栗後龍店),j3ri,1,"['麵食', '粥', '台式']",False,9.0,79.0,40.0,15.0,3.933184315128018,615
27,溫洲大餛飩 (苗栗後龍店),g4ra,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.986644095345867,634
28,伍讚美式炸雞,szqk,2,"['小吃', '炸雞']",False,9.0,79.0,40.0,15.0,3.9133354523411508,101
29,成功牛排 (苗栗後龍店),p9ct,2,"['台式', '牛排']",False,9.0,79.0,40.0,15.0,3.613910469507322,409
30,85度C (後龍中山店),jec8,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,40.0,15.0,3.975939985314467,290
31,夏立克 (苗栗後龍店),v5hv,1,['飲料'],False,9.0,79.0,40.0,15.0,4.092361585341972,734
32,一品烤魚 (苗栗後龍店),bu10,2,['中式'],False,9.0,79.0,40.0,15.0,3.285055556681773,21
33,寶貝雞蛋仔茶坊,vm4s,2,['甜點'],False,9.0,79.0,40.0,15.0,3.794144366884517,24
34,黛黛茶 (苗栗後龍店),kpw8,2,['飲料'],False,9.0,79.0,40.0,15.0,3.8247473485440215,162
35,岩語茶 (苗栗後龍店),nql6,1,['飲料'],False,9.0,79.0,40.0,15.0,4.109254849333443,32
36,宜諠素食料理店,itqa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.996013662725185,11
