,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,敖早Brunch早午餐,dn4x,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.759147339160817,164
1,宜諠素食料理店,itqa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.1187732800951498,11
2,喫茶小舖 (苗栗後龍店),k3sv,1,['飲料'],False,9.0,79.0,40.0,15.0,2.902166177612708,1392
3,順道茶飲店,x7jl,2,['飲料'],False,9.0,79.0,40.0,15.0,2.8872467452400494,692
4,大瑋香腸/ 吐司專賣店,wip8,2,"['台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,2.6530825372269664,44
5,甲一飯包 (苗栗後龍店),nu3u,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,2.9724062338912853,384
6,八方雲集 (苗栗後龍店),t1dm,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,2.7336915180782597,1726
7,幸福小城 (後龍中山店),jgml,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.9176517286733374,560
8,熊媽咪後龍手工大水餃,v1oe,2,"['湯品', '台式', '餃子']",False,9.0,79.0,40.0,15.0,3.297320847330646,826
9,珍好味 (苗栗後龍店),lfrc,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.9815244787798303,118
10,讚不絕口火鍋 (苗栗後龍店),vqv2,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.1784236081246684,380
11,熊媽咪素食店,zqlk,2,['素食'],False,9.0,79.0,40.0,15.0,3.317435481476554,10
12,丘森茶室 (後龍中華店),xesr,1,['飲料'],False,9.0,79.0,40.0,15.0,2.678055098013601,256
13,茶聚 (苗栗後龍店),oz7n,2,['飲料'],False,9.0,79.0,40.0,15.0,2.7325343083186766,229
14,羅阿姨小吃 (炒飯、麵),zhth,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,2.2170247522236504,12
15,拉亞漢堡 (後龍中山店),j8bo,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,3.1888860986556016,1731
