,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (彰化三民店),a5dk,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.491439121382801,2772
1,胖老爹美式炸雞 (彰化彰師店),a4wn,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,10.0,2.225191196273532,1251
2,福客來牛肉麵 (彰化大竹店),g9bk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.30219453769382026,328
3,炸魂雞排 (彰化彰南店),z6ta,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,0.4224657509494758,1840
4,TEATOP 第一味 (彰化彰南店),ppn5,2,['飲料'],False,19.0,79.0,15.0,5.0,0.369340513251514,238
5,可不可熟成紅茶 (彰化彰南店),nqcp,1,['飲料'],False,19.0,79.0,15.0,5.0,0.35188781153807824,575
6,大苑子 (彰化大竹店),z6as,2,['飲料'],False,19.0,79.0,15.0,5.0,0.2945957185574355,2156
7,溱頌什錦麵,ze2t,1,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.42308486384979727,59
8,粥公麵婆 (彰化彰南店),c214,2,"['粥', '台式']",False,19.0,79.0,15.0,5.0,0.40105892981529667,170
9,風味主題炒飯,n8ms,2,"['咖哩', '台式']",False,19.0,79.0,30.0,15.0,2.3072872235495687,3392
10,85度C (彰化大竹店),a8kv,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.2672714742752356,1148
11,謝記燒烤,whk9,2,['小吃'],False,19.0,79.0,25.0,10.0,2.530735093877335,1644
12,吳記大腸蚵仔麵線 (彰化彰師店),z0no,2,"['湯品', '小吃']",False,19.0,79.0,20.0,5.0,2.3933123710994404,2139
13,潮麻吉 (彰化實踐店),zwzl,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.5945751847195218,870
14,家味湯包蒸餃,wlt6,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,5.0,2.402690566665688,259
15,麥當勞 (S237 彰化金馬店),d5ii,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.6400717037420387,8825
16,九龍廣東粥 (彰化實踐店),g6m7,1,"['中式', '湯品', '粥']",False,19.0,79.0,20.0,5.0,2.622291549260971,261
17,漢林鐵板燒 (彰化三民店),z1lc,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,3.5103489358771003,4155
18,豚將日本拉麵 (彰化師大店),o8cs,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.6112692269776114,541
19,Burger King 漢堡王 (彰化店),qvfh,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,3.654281608752349,2071
20,豪傳說雞排 (彰化師大店),cxl4,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.324017413482658,113
21,傻師傅湯包 (彰化彰師店),x299,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,2.395894584465862,669
22,喫茶小舖 (彰化師大店),hlp8,1,['飲料'],False,19.0,79.0,20.0,5.0,2.24114592107014,266
23,洪鹹酥雞,a4kz,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.592055005849866,1534
24,板井滷肉飯,hj5s,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,2.4402530253715504,288
25,釜山崔炸雞 (彰化店),z9kv,2,"['韓式', '炸雞']",False,19.0,79.0,20.0,5.0,2.4337500958535725,1640
26,NuPasta (彰化實踐師大店),z8fg,3,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.6678380438845504,1152
27,甘老味幸福牛肉麵,f0sv,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,3.666064099088185,2132
28,買辣麻辣燙 (彰化總店),iaps,2,['小吃'],False,19.0,79.0,20.0,10.0,2.5162700193363454,88
29,堡嗝BUGER SPACE,a7ok,2,"['早餐', '台式']",False,19.0,79.0,20.0,5.0,2.2567340512645577,608
30,九龍廣東粥 (彰化民生店),z4pw,2,"['中式', '粥']",False,19.0,79.0,25.0,5.0,3.84414023809272,2291
31,小仁泉極品豆漿 (彰化大竹店),lasm,2,['甜點'],False,19.0,79.0,15.0,5.0,0.28084080351600543,38
32,成功牛排 (彰化店),f6rd,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,3.027031162104237,725
33,禾豐海鮮粥 (彰化彰工店),xon5,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,2.513764555259058,201
34,心緣素食麵,u8tm,1,"['湯品', '麵食', '素食']",False,19.0,79.0,25.0,5.0,3.930013982073441,602
35,疄木鹹酥雞中正店 (台南鹹酥雞),a3ug,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.9141782595746086,1465
36,龜記茗品 (彰化中正店),ygdq,2,['飲料'],False,19.0,79.0,25.0,5.0,3.8789804963155627,545
37,風味食堂,o9qv,2,"['湯品', '台式']",False,19.0,79.0,35.0,20.0,3.7968480082068186,303
38,丐幫滷味 (中華總舵),a4ed,2,['小吃'],False,19.0,79.0,25.0,5.0,3.8076799704514714,423
39,麻古茶坊 (彰化三民店),jojj,2,['飲料'],False,19.0,79.0,25.0,5.0,3.843004319571833,770
40,摩斯漢堡Mos Burger (彰化孔門店),f1xm,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,3.6669532677778918,3574
41,紅燈籠臭豆腐,e0yq,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.9016111630946675,1421
42,郭 嘉義火雞肉飯,qrfy,2,"['湯品', '便當', '台式']",False,19.0,79.0,25.0,5.0,4.21780653714429,37
43,三顧茅廬 (彰化孔廟店),e6nu,2,['小吃'],False,19.0,79.0,25.0,10.0,3.717458403823967,544
44,隨義X義麵,z7mz,2,['歐美'],False,19.0,79.0,25.0,10.0,3.623164689644902,384
45,茶湯會 (彰化中正店),wosh,2,['飲料'],False,19.0,79.0,25.0,5.0,4.258938573471078,203
46,八方雲集 (彰化長興店),d6fx,1,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,3.6385493977018566,551
